x-axis,B,2
second,Volt,Volt
-90.0000E-06,-353.3593780E-03,-10.3124996E-03
-89.8000E-06,-372.5000033E-03,-7.9687496E-03
-89.6000E-06,-388.9062536E-03,-5.2343745E-03
-89.4000E-06,-404.5312538E-03,-3.2812495E-03
-89.2000E-06,-416.2500040E-03,-3.6718745E-03
-89.0000E-06,-421.7187540E-03,-3.6718745E-03
-88.8000E-06,-425.6250041E-03,-2.4999995E-03
-88.6000E-06,-426.0156291E-03,-937.4995E-06
-88.4000E-06,-425.2343791E-03,-1.3281245E-03
-88.2000E-06,-421.7187540E-03,+14.2968758E-03
-88.0000E-06,-406.4843788E-03,-212.6562526E-03
-87.8000E-06,-400.2343787E-03,-377.5000051E-03
-87.6000E-06,-389.6875036E-03,-363.0468799E-03
-87.4000E-06,-377.1875034E-03,-350.1562547E-03
-87.2000E-06,-363.1250032E-03,-336.0937544E-03
-87.0000E-06,-342.0312529E-03,-315.7812541E-03
-86.8000E-06,-313.5156274E-03,-289.6093788E-03
-86.6000E-06,-281.0937520E-03,-258.3593783E-03
-86.4000E-06,-248.2812515E-03,-227.5000028E-03
-86.2000E-06,-217.0312510E-03,-197.0312524E-03
-86.0000E-06,-186.1718755E-03,-167.7343769E-03
-85.8000E-06,-154.5312501E-03,-136.8750015E-03
-85.6000E-06,-122.4999996E-03,-106.0156260E-03
-85.4000E-06,-91.2499991E-03,-75.5468756E-03
-85.2000E-06,-63.9062487E-03,-47.0312501E-03
-85.0000E-06,-34.9999983E-03,-19.2968747E-03
-84.8000E-06,-4.9218728E-03,+11.1718757E-03
-84.6000E-06,+26.3281276E-03,+42.4218762E-03
-84.4000E-06,+56.4062531E-03,+72.5000016E-03
-84.2000E-06,+86.8750035E-03,+102.5781271E-03
-84.0000E-06,+118.1250040E-03,+133.4375025E-03
-83.8000E-06,+148.5937544E-03,+163.9062530E-03
-83.6000E-06,+177.8906299E-03,+192.0312534E-03
-83.4000E-06,+204.0625053E-03,+218.2031288E-03
-83.2000E-06,+227.1093806E-03,+240.8593791E-03
-83.0000E-06,+247.8125059E-03,+261.1718795E-03
-82.8000E-06,+265.0000062E-03,+278.7500047E-03
-82.6000E-06,+281.4062564E-03,+295.1562550E-03
-82.4000E-06,+293.1250066E-03,+308.4375052E-03
-82.2000E-06,+303.6718818E-03,+319.3750053E-03
-82.0000E-06,+310.7031319E-03,+326.4062554E-03
-81.8000E-06,+315.0000069E-03,+331.8750055E-03
-81.6000E-06,+317.7343820E-03,+333.8281305E-03
-81.4000E-06,+317.7343820E-03,+334.6093805E-03
-81.2000E-06,+313.8281319E-03,+331.8750055E-03
-81.0000E-06,+307.9687568E-03,+325.6250054E-03
-80.8000E-06,+299.7656317E-03,+317.8125053E-03
-80.6000E-06,+289.2187565E-03,+306.8750051E-03
-80.4000E-06,+275.5468813E-03,+294.3750049E-03
-80.2000E-06,+259.9218811E-03,+276.7968797E-03
-80.0000E-06,+240.7812558E-03,+258.4375044E-03
-79.8000E-06,+219.6875055E-03,+238.9062541E-03
-79.6000E-06,+197.4218802E-03,+216.6406288E-03
-79.4000E-06,+172.8125048E-03,+192.0312534E-03
-79.2000E-06,+147.0312544E-03,+166.2500030E-03
-79.0000E-06,+118.5156290E-03,+138.9062526E-03
-78.8000E-06,+91.5625036E-03,+111.5625022E-03
-78.6000E-06,+62.6562532E-03,+82.2656268E-03
-78.4000E-06,+35.7031278E-03,+56.0937514E-03
-78.2000E-06,+8.3593774E-03,+27.5781260E-03
-78.0000E-06,-20.5468731E-03,-546.8744E-06
-77.8000E-06,-47.4999985E-03,-27.1093748E-03
-77.6000E-06,-74.4531239E-03,-52.8906252E-03
-77.4000E-06,-99.8437493E-03,-78.2812506E-03
-77.2000E-06,-124.4531246E-03,-103.2812510E-03
-77.0000E-06,-148.6718750E-03,-127.5000013E-03
-76.8000E-06,-171.7187503E-03,-150.9375017E-03
-76.6000E-06,-193.2031256E-03,-172.8125020E-03
-76.4000E-06,-227.1875012E-03,-172.8125020E-03
-76.2000E-06,-216.6406260E-03,-133.7500014E-03
-76.0000E-06,-238.1250013E-03,-107.5781260E-03
-75.8000E-06,-258.8281266E-03,-90.0000008E-03
-75.6000E-06,-268.2031268E-03,-74.3750005E-03
-75.4000E-06,-278.7500019E-03,-59.9218753E-03
-75.2000E-06,-292.8125021E-03,-47.4218751E-03
-75.0000E-06,-301.7968773E-03,-39.2187500E-03
-74.8000E-06,-307.6562523E-03,-33.7499999E-03
-74.6000E-06,-310.0000024E-03,-29.0624999E-03
-74.4000E-06,-303.7500023E-03,-23.2031248E-03
-74.2000E-06,-297.8906272E-03,-16.9531247E-03
-74.0000E-06,-290.8593771E-03,-12.6562496E-03
-73.8000E-06,-278.7500019E-03,-11.0937496E-03
-73.6000E-06,-263.1250017E-03,-9.1406246E-03
-73.4000E-06,-246.3281264E-03,-7.1874995E-03
-73.2000E-06,-229.9218762E-03,-4.4531245E-03
