x-axis,B,2
second,Volt,Volt
-3.410000E-03,+223.828128E-03,+135.625002E-03
-3.405000E-03,+227.343753E-03,+131.328127E-03
-3.400000E-03,+227.343753E-03,+138.750002E-03
-3.395000E-03,+230.859378E-03,+138.359377E-03
-3.390000E-03,+234.765628E-03,+136.796877E-03
-3.385000E-03,+235.156254E-03,+143.828127E-03
-3.380000E-03,+237.890629E-03,+141.875002E-03
-3.375000E-03,+242.187504E-03,+141.093752E-03
-3.370000E-03,+242.578129E-03,+148.906252E-03
-3.365000E-03,+244.531254E-03,+145.781252E-03
-3.360000E-03,+249.609379E-03,+146.562502E-03
-3.355000E-03,+250.000004E-03,+153.203127E-03
-3.350000E-03,+251.562504E-03,+149.296877E-03
-3.345000E-03,+256.640629E-03,+150.859377E-03
-3.340000E-03,+257.031254E-03,+159.062502E-03
-3.335000E-03,+258.593754E-03,+154.375002E-03
-3.330000E-03,+264.062504E-03,+155.546877E-03
-3.325000E-03,+264.453129E-03,+162.968752E-03
-3.320000E-03,+266.406254E-03,+159.062502E-03
-3.315000E-03,+271.093754E-03,+159.453127E-03
-3.310000E-03,+271.875004E-03,+168.046877E-03
-3.305000E-03,+274.218754E-03,+164.531252E-03
-3.300000E-03,+277.734379E-03,+163.750002E-03
-3.295000E-03,+279.296879E-03,+172.343753E-03
-3.290000E-03,+282.031254E-03,+168.828127E-03
-3.285000E-03,+285.546879E-03,+170.000002E-03
-3.280000E-03,+286.718754E-03,+176.250003E-03
-3.275000E-03,+289.843754E-03,+172.734378E-03
-3.270000E-03,+292.968754E-03,+175.468753E-03
-3.265000E-03,+293.359379E-03,+179.765628E-03
-3.260000E-03,+297.265629E-03,+177.812503E-03
-3.255000E-03,+300.781254E-03,+181.718753E-03
-3.250000E-03,+300.781254E-03,+184.453128E-03
-3.245000E-03,+304.687505E-03,+181.328128E-03
-3.240000E-03,+307.812505E-03,+186.406253E-03
-3.235000E-03,+307.421880E-03,+189.531253E-03
-3.230000E-03,+311.718755E-03,+185.234378E-03
-3.225000E-03,+315.625005E-03,+191.875003E-03
-3.220000E-03,+315.234380E-03,+193.046878E-03
-3.215000E-03,+319.140630E-03,+189.531253E-03
-3.210000E-03,+323.046880E-03,+196.171878E-03
-3.205000E-03,+322.656255E-03,+198.515628E-03
-3.200000E-03,+326.562505E-03,+193.437503E-03
-3.195000E-03,+329.687505E-03,+200.078128E-03
-3.190000E-03,+330.859380E-03,+203.593753E-03
-3.185000E-03,+334.375005E-03,+198.515628E-03
-3.180000E-03,+336.328130E-03,+204.765628E-03
-3.175000E-03,+338.671880E-03,+207.890628E-03
-3.170000E-03,+341.796880E-03,+202.421878E-03
-3.165000E-03,+343.359380E-03,+209.453128E-03
-3.160000E-03,+346.484380E-03,+213.359378E-03
-3.155000E-03,+349.609380E-03,+207.500003E-03
-3.150000E-03,+350.390630E-03,+213.750003E-03
-3.145000E-03,+353.906255E-03,+217.265628E-03
-3.140000E-03,+357.031255E-03,+211.796878E-03
-3.135000E-03,+357.812505E-03,+218.437503E-03
-3.130000E-03,+360.937505E-03,+220.781253E-03
-3.125000E-03,+364.843755E-03,+217.265628E-03
-3.120000E-03,+365.234380E-03,+223.906253E-03
-3.115000E-03,+368.359380E-03,+223.515628E-03
-3.110000E-03,+373.046881E-03,+222.734378E-03
-3.105000E-03,+373.437506E-03,+228.984378E-03
-3.100000E-03,+375.390631E-03,+226.640628E-03
-3.095000E-03,+380.468756E-03,+227.031253E-03
-3.090000E-03,+381.250006E-03,+234.062503E-03
-3.085000E-03,+382.812506E-03,+231.328128E-03
-3.080000E-03,+388.281256E-03,+231.718753E-03
-3.075000E-03,+388.671881E-03,+238.359379E-03
-3.070000E-03,+389.843756E-03,+235.234378E-03
-3.065000E-03,+395.703131E-03,+236.406253E-03
-3.060000E-03,+395.703131E-03,+243.046879E-03
-3.055000E-03,+397.656256E-03,+240.312504E-03
-3.050000E-03,+402.734381E-03,+241.093754E-03
-3.045000E-03,+403.515631E-03,+247.734379E-03
-3.040000E-03,+405.468756E-03,+245.000004E-03
-3.035000E-03,+409.375006E-03,+245.000004E-03
-3.030000E-03,+410.937506E-03,+252.812504E-03
-3.025000E-03,+412.890631E-03,+249.687504E-03
-3.020000E-03,+416.796881E-03,+250.078129E-03
-3.015000E-03,+417.187506E-03,+256.328129E-03
-3.010000E-03,+420.703131E-03,+253.984379E-03
-3.005000E-03,+424.218756E-03,+255.156254E-03
-3.000000E-03,+425.000006E-03,+260.625004E-03
-2.995000E-03,+428.125006E-03,+258.281254E-03
-2.990000E-03,+431.640631E-03,+260.625004E-03
-2.985000E-03,+431.640631E-03,+263.750004E-03
-2.980000E-03,+435.546881E-03,+262.187504E-03
-2.975000E-03,+439.062507E-03,+266.093754E-03
-2.970000E-03,+439.062507E-03,+268.046879E-03
-2.965000E-03,+442.578132E-03,+265.703129E-03
-2.960000E-03,+446.093757E-03,+270.390629E-03
-2.955000E-03,+445.703132E-03,+273.515629E-03
-2.950000E-03,+449.609382E-03,+270.000004E-03
-2.945000E-03,+453.125007E-03,+275.468754E-03
-2.940000E-03,+453.125007E-03,+277.421879E-03
-2.935000E-03,+457.031257E-03,+274.296879E-03
-2.930000E-03,+459.765632E-03,+280.156254E-03
-2.925000E-03,+460.546882E-03,+282.890629E-03
-2.920000E-03,+464.062507E-03,+277.812504E-03
-2.915000E-03,+466.406257E-03,+284.062504E-03
-2.910000E-03,+468.359382E-03,+287.578129E-03
-2.905000E-03,-310.156255E-03,+282.500004E-03
-2.900000E-03,-507.421883E-03,+287.578129E-03
-2.895000E-03,-507.031258E-03,+291.484379E-03
-2.890000E-03,-504.687508E-03,+286.796879E-03
-2.885000E-03,-504.296883E-03,+292.656254E-03
-2.880000E-03,-501.562507E-03,+295.390629E-03
-2.875000E-03,-498.828132E-03,+283.281254E-03
-2.870000E-03,-497.265632E-03,+259.843754E-03
-2.865000E-03,-494.140632E-03,+202.421878E-03
-2.860000E-03,-491.015632E-03,+79.375001E-03
-2.855000E-03,-490.625007E-03,-137.421877E-03
-2.850000E-03,-487.109382E-03,-393.671881E-03
-2.845000E-03,-483.203132E-03,-484.296882E-03
-2.840000E-03,-483.203132E-03,-324.921880E-03
-2.835000E-03,-480.468757E-03,-121.796877E-03
-2.830000E-03,-475.781257E-03,-117.500002E-03
-2.825000E-03,-475.000007E-03,-299.140630E-03
-2.820000E-03,-473.046882E-03,-439.765632E-03
-2.815000E-03,-467.968757E-03,-371.406256E-03
-2.810000E-03,-467.578132E-03,-214.375003E-03
-2.805000E-03,-466.015632E-03,-194.453128E-03
-2.800000E-03,-460.546882E-03,-292.109379E-03
-2.795000E-03,-460.156257E-03,-341.718755E-03
-2.790000E-03,-458.593757E-03,-289.765629E-03
-2.785000E-03,-453.125007E-03,-211.640628E-03
-2.780000E-03,-452.343757E-03,-231.953129E-03
-2.775000E-03,-450.390632E-03,-326.484380E-03
-2.770000E-03,-446.093757E-03,-342.109380E-03
-2.765000E-03,-445.312507E-03,-261.250004E-03
-2.760000E-03,-442.968757E-03,-207.343753E-03
-2.755000E-03,-439.062507E-03,-235.859379E-03
-2.750000E-03,-437.500007E-03,-292.109379E-03
-2.745000E-03,-435.156256E-03,-308.125005E-03
-2.740000E-03,-432.031256E-03,-258.906254E-03
-2.735000E-03,-430.468756E-03,-225.312503E-03
-2.730000E-03,-427.343756E-03,-259.687504E-03
-2.725000E-03,-424.218756E-03,-286.250004E-03
-2.720000E-03,-423.828131E-03,-269.062504E-03
-2.715000E-03,-419.921881E-03,-238.593754E-03
-2.710000E-03,-416.406256E-03,-226.875003E-03
-2.705000E-03,-416.796881E-03,-255.781254E-03
-2.700000E-03,-412.500006E-03,-281.562504E-03
-2.695000E-03,-409.375006E-03,-257.734379E-03
-2.690000E-03,-409.375006E-03,-230.390628E-03
-2.685000E-03,-405.468756E-03,-237.031254E-03
-2.680000E-03,-401.562506E-03,-247.968754E-03
-2.675000E-03,-401.953131E-03,-255.390629E-03
-2.670000E-03,-398.046881E-03,-247.187504E-03
-2.665000E-03,-394.531256E-03,-226.093753E-03
-2.660000E-03,-394.140631E-03,-233.125004E-03
-2.655000E-03,-390.625006E-03,-253.046879E-03
-2.650000E-03,-387.500006E-03,-242.109379E-03
-2.645000E-03,-386.718756E-03,-228.046878E-03
-2.640000E-03,-383.203131E-03,-229.218753E-03
-2.635000E-03,-381.250006E-03,-227.656253E-03
-2.630000E-03,-378.515631E-03,-234.687504E-03
-2.625000E-03,-375.781256E-03,-238.203129E-03
-2.620000E-03,-374.218756E-03,-220.625003E-03
-2.615000E-03,-371.484381E-03,-219.062503E-03
-2.610000E-03,-368.359380E-03,-231.562503E-03
-2.605000E-03,-367.187505E-03,-224.140628E-03
-2.600000E-03,-364.062505E-03,-219.062503E-03
-2.595000E-03,-361.328130E-03,-219.843753E-03
-2.590000E-03,-360.546880E-03,-212.421878E-03
-2.585000E-03,-357.421880E-03,-218.671878E-03
-2.580000E-03,-353.515630E-03,-222.187503E-03
-2.575000E-03,-353.125005E-03,-208.906253E-03
-2.570000E-03,-350.390630E-03,-210.078128E-03
-2.565000E-03,-346.093755E-03,-212.812503E-03
-2.560000E-03,-345.703130E-03,-205.781253E-03
-2.555000E-03,-343.359380E-03,-210.468753E-03
-2.550000E-03,-338.671880E-03,-207.343753E-03
-2.545000E-03,-338.281255E-03,-197.968753E-03
-2.540000E-03,-336.328130E-03,-206.171878E-03
-2.535000E-03,-330.859380E-03,-204.609378E-03
-2.530000E-03,-330.468755E-03,-194.843753E-03
-2.525000E-03,-328.906255E-03,-200.312503E-03
-2.520000E-03,-323.437505E-03,-197.578128E-03
-2.515000E-03,-323.046880E-03,-190.546878E-03
-2.510000E-03,-321.484380E-03,-197.578128E-03
-2.505000E-03,-316.015630E-03,-194.453128E-03
-2.500000E-03,-315.625005E-03,-184.687503E-03
-2.495000E-03,-313.281255E-03,-191.718753E-03
-2.490000E-03,-309.375005E-03,-190.156253E-03
-2.485000E-03,-308.203130E-03,-181.171878E-03
-2.480000E-03,-305.859380E-03,-187.031253E-03
-2.475000E-03,-301.562504E-03,-183.906253E-03
-2.470000E-03,-301.171879E-03,-177.265628E-03
-2.465000E-03,-298.046879E-03,-183.125003E-03
-2.460000E-03,-294.531254E-03,-179.218753E-03
-2.455000E-03,-293.750004E-03,-172.578128E-03
-2.450000E-03,-290.234379E-03,-177.656253E-03
-2.445000E-03,-286.718754E-03,-172.968753E-03
-2.440000E-03,-286.718754E-03,-170.234378E-03
-2.435000E-03,-282.812504E-03,-174.921878E-03
-2.430000E-03,-279.296879E-03,-167.109378E-03
-2.425000E-03,-278.906254E-03,-165.156253E-03
-2.420000E-03,-275.000004E-03,-170.625003E-03
-2.415000E-03,-271.484379E-03,-162.421877E-03
-2.410000E-03,-271.875004E-03,-160.468752E-03
-2.405000E-03,-267.578129E-03,-166.718753E-03
-2.400000E-03,-264.062504E-03,-157.343752E-03
-2.395000E-03,-264.062504E-03,-156.953127E-03
-2.390000E-03,-260.156254E-03,-162.031252E-03
-2.385000E-03,-257.031254E-03,-153.046877E-03
-2.380000E-03,-256.250004E-03,-152.265627E-03
-2.375000E-03,-252.734379E-03,-158.515627E-03
-2.370000E-03,-250.000004E-03,-148.750002E-03
-2.365000E-03,-248.046879E-03,-147.578127E-03
-2.360000E-03,-244.921879E-03,-153.828127E-03
-2.355000E-03,-242.578129E-03,-145.234377E-03
-2.350000E-03,-239.843754E-03,-143.671877E-03
-2.345000E-03,-237.109379E-03,-149.140627E-03
-2.340000E-03,-235.937504E-03,-140.156252E-03
-2.335000E-03,-232.031253E-03,-139.765627E-03
-2.330000E-03,-229.296878E-03,-145.234377E-03
-2.325000E-03,-228.515628E-03,-135.859377E-03
-2.320000E-03,-225.000003E-03,-135.859377E-03
-2.315000E-03,-221.484378E-03,-139.765627E-03
-2.310000E-03,-220.703128E-03,-131.171877E-03
-2.305000E-03,-217.968753E-03,-133.125002E-03
-2.300000E-03,-213.671878E-03,-134.687502E-03
-2.295000E-03,-213.281253E-03,-125.312502E-03
-2.290000E-03,-210.937503E-03,-129.218752E-03
-2.285000E-03,-206.250003E-03,-130.000002E-03
-2.280000E-03,-205.859378E-03,-121.015627E-03
-2.275000E-03,-203.906253E-03,-126.093752E-03
-2.270000E-03,-198.828128E-03,-124.140627E-03
-2.265000E-03,-198.437503E-03,-115.546877E-03
-2.260000E-03,-196.875003E-03,-121.796877E-03
-2.255000E-03,-191.015628E-03,-119.843752E-03
-2.250000E-03,-190.625003E-03,-110.468752E-03
-2.245000E-03,-189.453128E-03,-117.109377E-03
-2.240000E-03,-184.375003E-03,-114.765627E-03
-2.235000E-03,-183.593753E-03,-106.562502E-03
-2.230000E-03,-181.640628E-03,-112.812502E-03
-2.225000E-03,-177.343753E-03,-110.468752E-03
-2.220000E-03,-176.171878E-03,-101.875002E-03
-2.215000E-03,-173.828128E-03,-107.734377E-03
-2.210000E-03,-170.312503E-03,-106.562502E-03
-2.205000E-03,-168.750003E-03,-97.187501E-03
-2.200000E-03,-166.015627E-03,-103.437502E-03
-2.195000E-03,-162.890627E-03,-100.703127E-03
-2.190000E-03,-161.328127E-03,-93.671876E-03
-2.185000E-03,-158.593752E-03,-99.140627E-03
-2.180000E-03,-155.078127E-03,-94.843751E-03
-2.175000E-03,-154.687502E-03,-90.937501E-03
-2.170000E-03,-151.171877E-03,-95.234376E-03
-2.165000E-03,-147.656252E-03,-89.375001E-03
-2.160000E-03,-147.656252E-03,-87.031251E-03
-2.155000E-03,-143.359377E-03,-91.328126E-03
-2.150000E-03,-139.843752E-03,-84.296876E-03
-2.145000E-03,-140.234377E-03,-81.562501E-03
-2.140000E-03,-135.937502E-03,-87.031251E-03
-2.135000E-03,-132.421877E-03,-78.828126E-03
-2.130000E-03,-132.421877E-03,-78.046876E-03
-2.125000E-03,-128.906252E-03,-82.734376E-03
-2.120000E-03,-125.390627E-03,-73.750001E-03
-2.115000E-03,-125.000002E-03,-72.187501E-03
-2.110000E-03,-121.093752E-03,-78.828126E-03
