x-axis,B,2
second,Volt,Volt
-2.500000E-03,-515.625008E-03,-291.718754E-03
-2.495000E-03,-515.234383E-03,-301.484380E-03
-2.490000E-03,-514.062508E-03,-291.718754E-03
-2.485000E-03,-516.015633E-03,-294.843754E-03
-2.480000E-03,-515.234383E-03,-303.828130E-03
-2.475000E-03,-514.062508E-03,-292.890629E-03
-2.470000E-03,-514.843758E-03,-295.234379E-03
-2.465000E-03,-514.062508E-03,-305.390630E-03
-2.460000E-03,-513.281258E-03,-294.453129E-03
-2.455000E-03,-513.281258E-03,-296.406254E-03
-2.450000E-03,-512.109383E-03,-306.171880E-03
-2.445000E-03,-510.937508E-03,-294.843754E-03
-2.440000E-03,-510.156258E-03,-296.406254E-03
-2.435000E-03,-508.593758E-03,-305.390630E-03
-2.430000E-03,-507.812508E-03,-294.453129E-03
-2.425000E-03,-506.250008E-03,-296.796879E-03
-2.420000E-03,-504.296883E-03,-305.390630E-03
-2.415000E-03,-502.734382E-03,-293.671879E-03
-2.410000E-03,-501.562507E-03,-296.796879E-03
-2.405000E-03,-498.828132E-03,-303.828130E-03
-2.400000E-03,-497.265632E-03,-291.718754E-03
-2.395000E-03,-495.312507E-03,-296.406254E-03
-2.390000E-03,-491.796882E-03,-299.921880E-03
-2.385000E-03,-490.234382E-03,-288.984379E-03
-2.380000E-03,-488.281257E-03,-296.406254E-03
-2.375000E-03,-483.984382E-03,-298.359379E-03
-2.370000E-03,-481.640632E-03,-285.859379E-03
-2.365000E-03,-480.078132E-03,-293.671879E-03
-2.360000E-03,-475.000007E-03,-293.281254E-03
-2.355000E-03,-473.046882E-03,-282.734379E-03
-2.350000E-03,-471.093757E-03,-291.718754E-03
-2.345000E-03,-465.625007E-03,-288.593754E-03
-2.340000E-03,-462.890632E-03,-277.265629E-03
-2.335000E-03,-460.546882E-03,-287.812504E-03
-2.330000E-03,-455.078132E-03,-285.078129E-03
-2.325000E-03,-452.343757E-03,-273.750004E-03
-2.320000E-03,-448.828132E-03,-282.343754E-03
-2.315000E-03,-443.750007E-03,-278.046879E-03
-2.310000E-03,-440.234382E-03,-267.890629E-03
-2.305000E-03,-436.328132E-03,-278.046879E-03
-2.300000E-03,-431.640631E-03,-273.750004E-03
-2.295000E-03,-427.734381E-03,-261.250004E-03
-2.290000E-03,-423.046881E-03,-271.015629E-03
-2.285000E-03,-417.968756E-03,-265.937504E-03
-2.280000E-03,-414.453131E-03,-256.953129E-03
-2.275000E-03,-408.984381E-03,-264.765629E-03
-2.270000E-03,-403.515631E-03,-256.562504E-03
-2.265000E-03,-400.390631E-03,-250.312504E-03
-2.260000E-03,-394.531256E-03,-257.734379E-03
-2.255000E-03,-388.281256E-03,-247.968754E-03
-2.250000E-03,-385.546881E-03,-244.062504E-03
-2.245000E-03,-379.296881E-03,-250.312504E-03
-2.240000E-03,-372.656256E-03,-239.765629E-03
-2.235000E-03,-369.531256E-03,-235.859379E-03
-2.230000E-03,-363.281255E-03,-242.500004E-03
-2.225000E-03,-356.250005E-03,-229.218753E-03
-2.220000E-03,-352.734380E-03,-227.265628E-03
-2.215000E-03,-346.875005E-03,-233.906254E-03
-2.210000E-03,-339.453130E-03,-220.234378E-03
-2.205000E-03,-335.156255E-03,-217.890628E-03
-2.200000E-03,-328.515630E-03,-224.140628E-03
-2.195000E-03,-321.875005E-03,-209.687503E-03
-2.190000E-03,-316.406255E-03,-207.734378E-03
-2.185000E-03,-310.156255E-03,-214.375003E-03
-2.180000E-03,-303.515630E-03,-199.921878E-03
-2.175000E-03,-297.265629E-03,-197.187503E-03
-2.170000E-03,-290.625004E-03,-203.437503E-03
-2.165000E-03,-283.984379E-03,-188.593753E-03
-2.160000E-03,-277.734379E-03,-186.640628E-03
-2.155000E-03,-269.921879E-03,-192.890628E-03
-2.150000E-03,-264.062504E-03,-177.656253E-03
-2.145000E-03,-257.421879E-03,-175.703128E-03
-2.140000E-03,-249.609379E-03,-180.781253E-03
-2.135000E-03,-242.968754E-03,-165.937503E-03
