x-axis,B,2
second,Volt,Volt
+23.00000E-06,-471.09375702E-03,-47.82812568E-03
+23.05000E-06,-477.73438212E-03,-48.21875069E-03
+23.10000E-06,-481.25000717E-03,-48.21875069E-03
+23.15000E-06,-482.42188219E-03,-47.04687567E-03
+23.20000E-06,-484.37500722E-03,-47.82812568E-03
+23.25000E-06,-489.06250729E-03,-47.43750067E-03
+23.30000E-06,-492.18750733E-03,-46.26562566E-03
+23.35000E-06,-495.31250738E-03,-47.43750067E-03
+23.40000E-06,-496.09375739E-03,-48.21875069E-03
+23.45000E-06,-500.78125746E-03,-47.04687567E-03
+23.50000E-06,-502.73438249E-03,-48.21875069E-03
+23.55000E-06,-503.90625751E-03,-49.78125071E-03
+23.60000E-06,-505.85938254E-03,-49.00000070E-03
+23.65000E-06,-507.42188256E-03,-48.60937569E-03
+23.70000E-06,-507.42188256E-03,-48.21875069E-03
+23.75000E-06,-508.20313257E-03,-48.60937569E-03
+23.80000E-06,-508.59375758E-03,-49.39062570E-03
+23.85000E-06,-511.71875763E-03,-49.00000070E-03
+23.90000E-06,-511.32813262E-03,-49.39062570E-03
+23.95000E-06,-510.93750761E-03,-49.39062570E-03
+24.00000E-06,-510.54688261E-03,-48.60937569E-03
+24.05000E-06,-509.37500759E-03,-49.39062570E-03
+24.10000E-06,-507.42188256E-03,-48.60937569E-03
+24.15000E-06,-509.76563260E-03,-49.00000070E-03
+24.20000E-06,-507.03125756E-03,-49.00000070E-03
+24.25000E-06,-508.59375758E-03,-49.78125071E-03
+24.30000E-06,-505.46875753E-03,-48.21875069E-03
+24.35000E-06,-503.90625751E-03,-48.60937569E-03
+24.40000E-06,-503.90625751E-03,-49.78125071E-03
+24.45000E-06,-498.82813243E-03,-51.34375073E-03
+24.50000E-06,-498.04688242E-03,-50.56250072E-03
+24.55000E-06,-494.53125737E-03,-50.56250072E-03
+24.60000E-06,-491.79688233E-03,-50.95312573E-03
+24.65000E-06,-489.45313229E-03,-50.56250072E-03
+24.70000E-06,-484.37500722E-03,-49.78125071E-03
+24.75000E-06,-483.20313220E-03,-49.78125071E-03
+24.80000E-06,-481.25000717E-03,-50.17187572E-03
+24.85000E-06,-475.78125709E-03,-50.56250072E-03
+24.90000E-06,-470.70313201E-03,-49.78125071E-03
+24.95000E-06,-466.79688196E-03,-50.95312573E-03
+25.00000E-06,-462.10938189E-03,-49.39062570E-03
+25.05000E-06,-458.98438184E-03,-51.34375073E-03
+25.10000E-06,-454.68750678E-03,-52.12500074E-03
+25.15000E-06,-448.82813169E-03,-50.95312573E-03
+25.20000E-06,-441.40625658E-03,-50.56250072E-03
+25.25000E-06,-437.50000652E-03,-50.17187572E-03
+25.30000E-06,-431.25000643E-03,-49.00000070E-03
+25.35000E-06,-424.21875632E-03,-49.00000070E-03
+25.40000E-06,-421.09375627E-03,-48.21875069E-03
+25.45000E-06,-415.62500619E-03,-50.95312573E-03
+25.50000E-06,-408.20313108E-03,-52.51562575E-03
+25.55000E-06,-401.17188098E-03,-52.12500074E-03
+25.60000E-06,-394.14063087E-03,-51.34375073E-03
+25.65000E-06,-387.89063078E-03,-50.56250072E-03
+25.70000E-06,-382.81250570E-03,-49.00000070E-03
+25.75000E-06,-375.00000559E-03,-49.00000070E-03
+25.80000E-06,-367.18750547E-03,-48.21875069E-03
+25.85000E-06,-360.15625537E-03,-50.17187572E-03
