x-axis,B,2
second,Volt,Volt
-100.0000E-06,+46.0937507E-03,-212.8125032E-03
-99.8000E-06,+51.9531258E-03,-218.6718783E-03
-99.6000E-06,+57.4218759E-03,-222.9687534E-03
-99.4000E-06,+63.6718759E-03,-228.8281285E-03
-99.2000E-06,+69.9218760E-03,-233.9062535E-03
-99.0000E-06,+75.7812511E-03,-239.7656286E-03
-98.8000E-06,+82.4218762E-03,-245.2343787E-03
-98.6000E-06,+87.8906263E-03,-251.0937538E-03
-98.4000E-06,+94.1406264E-03,-256.1718789E-03
-98.2000E-06,+99.6093765E-03,-261.6406289E-03
-98.0000E-06,+105.0781266E-03,-267.5000040E-03
-97.8000E-06,+112.8906267E-03,-271.7968791E-03
-97.6000E-06,+117.1875017E-03,-280.0000042E-03
-97.4000E-06,+124.2187519E-03,-281.5625042E-03
-97.2000E-06,+129.2968769E-03,-289.7656294E-03
-97.0000E-06,+137.1093770E-03,-294.4531294E-03
-96.8000E-06,+142.9687521E-03,-298.3593795E-03
-96.6000E-06,+148.8281272E-03,-308.1250046E-03
-96.4000E-06,+154.6875023E-03,-304.2187546E-03
-96.2000E-06,+158.5937524E-03,-319.4531298E-03
-96.0000E-06,+167.9687525E-03,-320.2343798E-03
-95.8000E-06,+171.8750026E-03,-324.1406299E-03
-95.6000E-06,+176.9531276E-03,-333.1250050E-03
-95.4000E-06,+184.3750027E-03,-336.2500051E-03
-95.2000E-06,+187.8906278E-03,-341.3281301E-03
-95.0000E-06,+194.1406279E-03,-347.9687552E-03
-94.8000E-06,+200.0000030E-03,-351.8750053E-03
-94.6000E-06,+205.4687531E-03,-357.3437554E-03
-94.4000E-06,+210.1562531E-03,-362.0312554E-03
-94.2000E-06,+216.0156282E-03,-367.1093805E-03
-94.0000E-06,+221.4843783E-03,-372.1875056E-03
-93.8000E-06,+225.7812534E-03,-376.4843807E-03
-93.6000E-06,+231.6406285E-03,-381.5625057E-03
-93.4000E-06,+236.3281285E-03,-386.2500058E-03
-93.2000E-06,+241.7968786E-03,-392.1093809E-03
-93.0000E-06,+247.2656287E-03,-396.0156309E-03
-92.8000E-06,+252.3437538E-03,-400.7031310E-03
-92.6000E-06,+257.8125038E-03,-404.2187561E-03
-92.4000E-06,+262.5000039E-03,-409.2968811E-03
-92.2000E-06,+267.1875040E-03,-413.9843812E-03
-92.0000E-06,+272.6562541E-03,-418.2812563E-03
-91.8000E-06,+276.5625041E-03,-421.7968813E-03
-91.6000E-06,+281.6406292E-03,-426.0937564E-03
-91.4000E-06,+286.3281293E-03,-430.3906315E-03
-91.2000E-06,+291.7968793E-03,-435.0781315E-03
-91.0000E-06,+296.0937544E-03,-438.9843816E-03
-90.8000E-06,+301.5625045E-03,-442.5000066E-03
-90.6000E-06,+305.8593796E-03,-446.7968817E-03
-90.4000E-06,+311.7187546E-03,-447.9687567E-03
-90.2000E-06,+311.3281296E-03,-459.6875069E-03
-90.0000E-06,+321.4843798E-03,-447.9687567E-03
-89.8000E-06,+321.4843798E-03,-467.8906320E-03
-89.6000E-06,+329.2968799E-03,-459.2968819E-03
-89.4000E-06,+332.0312549E-03,-466.7187570E-03
-89.2000E-06,+335.9375050E-03,-470.6250071E-03
-89.0000E-06,+341.4062551E-03,-472.1875071E-03
-88.8000E-06,+344.5312551E-03,-475.7031321E-03
-88.6000E-06,+348.8281302E-03,-477.6562572E-03
-88.4000E-06,+353.1250053E-03,-480.7812572E-03
-88.2000E-06,+357.4218803E-03,-482.7343822E-03
-88.0000E-06,+361.3281304E-03,-485.0781323E-03
-87.8000E-06,+365.6250054E-03,-487.4218823E-03
-87.6000E-06,+368.7500055E-03,-490.1562574E-03
-87.4000E-06,+372.6562556E-03,-491.3281324E-03
-87.2000E-06,+376.9531306E-03,-493.2812574E-03
-87.0000E-06,+380.4687557E-03,-494.4531324E-03
-86.8000E-06,+383.5937557E-03,-496.0156324E-03
-86.6000E-06,+387.8906308E-03,-498.3593825E-03
-86.4000E-06,+391.0156308E-03,-499.1406325E-03
-86.2000E-06,+392.5781308E-03,-501.0937575E-03
-86.0000E-06,+400.3906310E-03,-500.3125075E-03
-85.8000E-06,+396.0937559E-03,-504.6093826E-03
-85.6000E-06,+403.9062560E-03,-501.4843825E-03
-85.4000E-06,+405.0781310E-03,-505.0000076E-03
-85.2000E-06,+409.7656311E-03,-505.0000076E-03
-85.0000E-06,+409.7656311E-03,-510.0781326E-03
-84.8000E-06,+409.7656311E-03,-499.9218825E-03
-84.6000E-06,+423.4375063E-03,-508.9062576E-03
-84.4000E-06,+419.5312563E-03,-505.3906326E-03
-84.2000E-06,+424.2187563E-03,-509.6875076E-03
-84.0000E-06,+431.6406314E-03,-476.0937571E-03
-83.8000E-06,+441.4062566E-03,-487.8125073E-03
-83.6000E-06,+439.8437566E-03,-485.8593823E-03
-83.4000E-06,+433.2031315E-03,-490.5468824E-03
-83.2000E-06,+437.1093815E-03,-504.2187576E-03
-83.0000E-06,+440.6250066E-03,-497.5781325E-03
-82.8000E-06,+435.5468815E-03,-494.0625074E-03
