x-axis,B,2
second,Volt,Volt
-990.000E-06,-92.031249E-03,+379.765632E-03
-988.000E-06,-500.625005E-03,+377.421882E-03
-986.000E-06,-502.187505E-03,+384.453132E-03
-984.000E-06,-490.078130E-03,+399.296882E-03
-982.000E-06,-496.718755E-03,+386.015632E-03
-980.000E-06,-482.656255E-03,+410.625007E-03
-978.000E-06,-486.171880E-03,+394.218757E-03
-976.000E-06,-477.578130E-03,+413.359382E-03
-974.000E-06,-472.500005E-03,+409.453132E-03
-972.000E-06,-471.718755E-03,+415.312507E-03
-970.000E-06,-458.828130E-03,+429.765633E-03
-968.000E-06,-464.687505E-03,+418.046882E-03
-966.000E-06,-450.625004E-03,+443.437508E-03
-964.000E-06,-452.968755E-03,+429.375008E-03
-962.000E-06,-444.765629E-03,+447.343758E-03
-960.000E-06,-438.906254E-03,+443.437508E-03
-958.000E-06,-438.906254E-03,+439.140633E-03
-956.000E-06,-424.453129E-03,+440.703133E-03
-954.000E-06,-431.093754E-03,+403.593757E-03
-952.000E-06,-415.468754E-03,+389.140632E-03
-950.000E-06,-418.593754E-03,+315.703131E-03
-948.000E-06,-409.609379E-03,+255.156255E-03
-946.000E-06,-404.921879E-03,+145.390628E-03
-944.000E-06,-402.968754E-03,+18.046876E-03
-942.000E-06,-390.859379E-03,-116.718751E-03
-940.000E-06,-396.328129E-03,-283.906253E-03
-938.000E-06,-381.484378E-03,-413.203130E-03
-936.000E-06,-385.000004E-03,-564.375007E-03
-934.000E-06,-376.015628E-03,-653.046884E-03
-932.000E-06,-370.937503E-03,-719.453135E-03
-930.000E-06,-369.765628E-03,-731.953135E-03
-928.000E-06,-357.265628E-03,-685.078134E-03
-926.000E-06,-362.734378E-03,-618.671883E-03
-924.000E-06,-347.890628E-03,-494.062506E-03
-922.000E-06,-351.406253E-03,-396.406255E-03
-920.000E-06,-341.640628E-03,-283.515628E-03
-918.000E-06,-336.953128E-03,-224.921877E-03
-916.000E-06,-336.562503E-03,-206.562502E-03
-914.000E-06,-322.890628E-03,-231.171877E-03
-912.000E-06,-328.359378E-03,-315.937504E-03
-910.000E-06,-313.515627E-03,-391.328130E-03
-908.000E-06,-317.031252E-03,-499.140631E-03
-906.000E-06,-306.484377E-03,-553.046882E-03
-904.000E-06,-302.968752E-03,-589.375008E-03
-902.000E-06,-300.625002E-03,-568.281257E-03
-900.000E-06,-288.906252E-03,-503.046881E-03
-898.000E-06,-293.984377E-03,-427.656255E-03
-896.000E-06,-278.750002E-03,-319.453129E-03
-894.000E-06,-282.656252E-03,-256.953128E-03
-892.000E-06,-272.109377E-03,-196.406252E-03
-890.000E-06,-268.984377E-03,-205.000002E-03
-888.000E-06,-265.468752E-03,-238.593752E-03
-886.000E-06,-252.968752E-03,-302.656253E-03
-884.000E-06,-258.437502E-03,-390.156255E-03
-882.000E-06,-242.812501E-03,-439.765630E-03
-880.000E-06,-247.500001E-03,-492.890631E-03
-878.000E-06,-235.390626E-03,-475.312506E-03
-876.000E-06,-234.218751E-03,-447.578131E-03
-874.000E-06,-229.531251E-03,-372.578129E-03
-872.000E-06,-218.984376E-03,-292.890628E-03
-870.000E-06,-223.671876E-03,-232.343752E-03
-868.000E-06,-208.828126E-03,-171.796876E-03
-866.000E-06,-212.734376E-03,-179.609377E-03
-864.000E-06,-201.796876E-03,-190.156252E-03
-862.000E-06,-199.843751E-03,-255.000003E-03
-860.000E-06,-195.156251E-03,-306.953128E-03
-858.000E-06,-185.000001E-03,-358.906254E-03
-856.000E-06,-189.296876E-03,-398.750005E-03
-854.000E-06,-174.453125E-03,-384.296880E-03
-852.000E-06,-178.750000E-03,-370.625004E-03
-850.000E-06,-167.421875E-03,-302.265628E-03
-848.000E-06,-165.859375E-03,-251.875003E-03
-846.000E-06,-161.171875E-03,-185.468752E-03
