x-axis,B,2
second,Volt,Volt
-1.000000E-03,+453.828132E-03,+333.203130E-03
-998.000E-06,+451.093757E-03,+346.875005E-03
-996.000E-06,+462.031257E-03,+316.406255E-03
-994.000E-06,+463.593757E-03,+355.859380E-03
-992.000E-06,+459.687507E-03,+345.703130E-03
-990.000E-06,-496.953133E-03,+391.015631E-03
-988.000E-06,-504.765633E-03,+392.968756E-03
-986.000E-06,-489.140632E-03,+423.828131E-03
-984.000E-06,-501.250008E-03,+415.625006E-03
-982.000E-06,-480.937507E-03,+421.484381E-03
-980.000E-06,-492.656258E-03,+410.156256E-03
-978.000E-06,-475.468757E-03,+392.578131E-03
-976.000E-06,-479.765632E-03,+402.343756E-03
-974.000E-06,-467.656257E-03,+373.437506E-03
-972.000E-06,-468.828132E-03,+408.203131E-03
-970.000E-06,-463.359382E-03,+392.968756E-03
-968.000E-06,-454.375007E-03,+439.843757E-03
-966.000E-06,-457.500007E-03,+441.406257E-03
-964.000E-06,-441.875007E-03,+472.656257E-03
-962.000E-06,-450.468757E-03,+469.531257E-03
-960.000E-06,-430.546882E-03,+472.656257E-03
-958.000E-06,-441.875007E-03,+455.859382E-03
-956.000E-06,-421.171881E-03,+426.953131E-03
-954.000E-06,-427.812507E-03,+404.296881E-03
-952.000E-06,-413.750006E-03,+327.343755E-03
-950.000E-06,-414.140631E-03,+293.359379E-03
-948.000E-06,-407.890631E-03,+178.906253E-03
-946.000E-06,-401.640631E-03,+98.437501E-03
-944.000E-06,-401.250006E-03,-42.968751E-03
-942.000E-06,-386.796881E-03,-167.187502E-03
-940.000E-06,-395.390631E-03,-326.171880E-03
-938.000E-06,-375.468756E-03,-459.375007E-03
-936.000E-06,-386.796881E-03,-588.281259E-03
-934.000E-06,-366.875006E-03,-682.812510E-03
-932.000E-06,-374.296881E-03,-719.140636E-03
-930.000E-06,-359.062506E-03,-738.281261E-03
-928.000E-06,-360.625006E-03,-657.812510E-03
-926.000E-06,-353.593755E-03,-594.140634E-03
-924.000E-06,-347.734380E-03,-451.171882E-03
-922.000E-06,-347.343755E-03,-353.125005E-03
-920.000E-06,-333.671880E-03,-244.140629E-03
-918.000E-06,-341.093755E-03,-205.078128E-03
-916.000E-06,-321.562505E-03,-198.437503E-03
-914.000E-06,-332.500005E-03,-254.687504E-03
-912.000E-06,-313.359380E-03,-338.671880E-03
-910.000E-06,-321.562505E-03,-429.296881E-03
-908.000E-06,-304.765630E-03,-539.453133E-03
-906.000E-06,-306.718755E-03,-571.484384E-03
-904.000E-06,-300.078130E-03,-616.796884E-03
-902.000E-06,-294.218755E-03,-555.078133E-03
-900.000E-06,-293.828130E-03,-503.515633E-03
-898.000E-06,-282.109379E-03,-388.281256E-03
-896.000E-06,-287.187504E-03,-307.031255E-03
-894.000E-06,-269.218754E-03,-221.875003E-03
-892.000E-06,-278.984379E-03,-188.281253E-03
-890.000E-06,-259.843754E-03,-198.437503E-03
-888.000E-06,-267.265629E-03,-237.109379E-03
-886.000E-06,-250.468754E-03,-326.562505E-03
-884.000E-06,-254.765629E-03,-381.250006E-03
-882.000E-06,-245.390629E-03,-478.515632E-03
-880.000E-06,-240.312504E-03,-481.640632E-03
-878.000E-06,-239.921879E-03,-500.781257E-03
-876.000E-06,-226.250004E-03,-433.984381E-03
-874.000E-06,-233.671879E-03,-378.125006E-03
-872.000E-06,-214.921878E-03,-287.890629E-03
-870.000E-06,-224.687504E-03,-219.140628E-03
-868.000E-06,-205.156253E-03,-170.312503E-03
-866.000E-06,-213.750003E-03,-151.562502E-03
-864.000E-06,-196.171878E-03,-190.625003E-03
-862.000E-06,-198.906253E-03,-217.187503E-03
-860.000E-06,-189.921878E-03,-313.671880E-03
-858.000E-06,-186.015628E-03,-339.062505E-03
-856.000E-06,-182.890628E-03,-402.734381E-03
-854.000E-06,-171.953128E-03,-388.671881E-03
-852.000E-06,-176.640628E-03,-378.515631E-03
-850.000E-06,-159.843753E-03,-320.312505E-03
-848.000E-06,-170.000003E-03,-266.015629E-03
-846.000E-06,-148.125002E-03,-197.265628E-03
-844.000E-06,-159.062503E-03,-148.828127E-03
-842.000E-06,-142.265627E-03,-141.406252E-03
-840.000E-06,-144.218752E-03,-125.781252E-03
-838.000E-06,-134.062502E-03,-187.890628E-03
-836.000E-06,-133.281252E-03,-203.515628E-03
-834.000E-06,-128.984377E-03,-276.953129E-03
-832.000E-06,-118.046877E-03,-284.375004E-03
-830.000E-06,-123.125002E-03,-312.890630E-03
-828.000E-06,-106.328127E-03,-288.671879E-03
-826.000E-06,-115.312502E-03,-262.109379E-03
-824.000E-06,-96.171877E-03,-213.281253E-03
-822.000E-06,-105.156252E-03,-163.281252E-03
-820.000E-06,-87.578126E-03,-133.984377E-03
-818.000E-06,-91.484377E-03,-92.578126E-03
-816.000E-06,-79.765626E-03,-123.046877E-03
-814.000E-06,-79.375001E-03,-111.718752E-03
-812.000E-06,-73.906251E-03,-171.093753E-03
-810.000E-06,-64.140626E-03,-176.953128E-03
-808.000E-06,-67.656251E-03,-218.359378E-03
-806.000E-06,-51.250001E-03,-212.890628E-03
-804.000E-06,-60.234376E-03,-211.328128E-03
-802.000E-06,-41.875001E-03,-182.812503E-03
-800.000E-06,-49.687501E-03,-146.484377E-03
-798.000E-06,-33.281251E-03,-116.015627E-03
-796.000E-06,-36.796876E-03,-66.015626E-03
-794.000E-06,-25.468751E-03,-78.906251E-03
-792.000E-06,-25.078126E-03,-48.828126E-03
-790.000E-06,-19.609375E-03,-94.531251E-03
