x-axis,B,2
second,Volt,Volt
-2.500000E-03,-298.515630E-03,-308.984380E-03
-2.495000E-03,-296.953130E-03,-304.687505E-03
-2.490000E-03,-295.390630E-03,-304.296880E-03
-2.485000E-03,-291.484380E-03,-303.515630E-03
-2.480000E-03,-289.921880E-03,-296.875004E-03
-2.475000E-03,-288.359379E-03,-295.703129E-03
-2.470000E-03,-283.671879E-03,-295.312504E-03
-2.465000E-03,-282.500004E-03,-291.406254E-03
-2.460000E-03,-280.937504E-03,-289.843754E-03
-2.455000E-03,-276.250004E-03,-286.328129E-03
-2.450000E-03,-275.468754E-03,-282.031254E-03
-2.445000E-03,-273.515629E-03,-283.203129E-03
-2.440000E-03,-268.437504E-03,-280.468754E-03
-2.435000E-03,-267.656254E-03,-275.390629E-03
-2.430000E-03,-266.484379E-03,-275.000004E-03
-2.425000E-03,-261.015629E-03,-271.484379E-03
-2.420000E-03,-260.234379E-03,-267.578129E-03
-2.415000E-03,-259.062504E-03,-269.140629E-03
-2.410000E-03,-253.984379E-03,-264.062504E-03
-2.405000E-03,-252.812504E-03,-258.593754E-03
-2.400000E-03,-252.031254E-03,-261.328129E-03
-2.395000E-03,-246.171879E-03,-257.812504E-03
-2.390000E-03,-245.000004E-03,-252.343754E-03
-2.385000E-03,-244.609379E-03,-253.906254E-03
-2.380000E-03,-238.750004E-03,-248.437504E-03
-2.375000E-03,-237.578129E-03,-243.750004E-03
-2.370000E-03,-237.187504E-03,-247.656254E-03
-2.365000E-03,-231.718754E-03,-242.578129E-03
-2.360000E-03,-230.156254E-03,-235.937504E-03
-2.355000E-03,-229.765629E-03,-239.062504E-03
-2.350000E-03,-223.906254E-03,-233.984378E-03
-2.345000E-03,-222.343753E-03,-228.515628E-03
-2.340000E-03,-222.343753E-03,-232.031253E-03
-2.335000E-03,-216.484378E-03,-226.562503E-03
-2.330000E-03,-214.921878E-03,-220.312503E-03
-2.325000E-03,-214.531253E-03,-224.609378E-03
-2.320000E-03,-209.453128E-03,-219.531253E-03
-2.315000E-03,-207.500003E-03,-212.890628E-03
-2.310000E-03,-206.718753E-03,-216.406253E-03
-2.305000E-03,-202.031253E-03,-211.718753E-03
-2.300000E-03,-199.687503E-03,-205.468753E-03
-2.295000E-03,-198.906253E-03,-208.593753E-03
-2.290000E-03,-194.609378E-03,-203.906253E-03
-2.285000E-03,-192.265628E-03,-197.656253E-03
-2.280000E-03,-191.093753E-03,-201.171878E-03
-2.275000E-03,-186.796878E-03,-197.265628E-03
-2.270000E-03,-184.843753E-03,-190.625003E-03
-2.265000E-03,-183.281253E-03,-192.968753E-03
-2.260000E-03,-179.375003E-03,-189.062503E-03
-2.255000E-03,-177.031253E-03,-183.203128E-03
-2.250000E-03,-175.468753E-03,-185.546878E-03
-2.245000E-03,-171.953128E-03,-181.640628E-03
-2.240000E-03,-170.000003E-03,-176.171878E-03
-2.235000E-03,-167.656253E-03,-178.125003E-03
-2.230000E-03,-164.531253E-03,-173.828128E-03
-2.225000E-03,-162.578128E-03,-168.359378E-03
-2.220000E-03,-160.234378E-03,-170.312503E-03
-2.215000E-03,-157.109378E-03,-166.015627E-03
-2.210000E-03,-155.156252E-03,-160.937502E-03
-2.205000E-03,-152.812502E-03,-162.890627E-03
-2.200000E-03,-150.078127E-03,-158.984377E-03
-2.195000E-03,-148.125002E-03,-153.906252E-03
-2.190000E-03,-145.000002E-03,-155.859377E-03
-2.185000E-03,-142.656252E-03,-151.562502E-03
-2.180000E-03,-140.703127E-03,-147.656252E-03
-2.175000E-03,-137.968752E-03,-149.609377E-03
-2.170000E-03,-135.234377E-03,-143.359377E-03
-2.165000E-03,-133.671877E-03,-141.015627E-03
-2.160000E-03,-130.546877E-03,-142.578127E-03
-2.155000E-03,-127.812502E-03,-136.718752E-03
-2.150000E-03,-126.640627E-03,-133.203127E-03
-2.145000E-03,-123.515627E-03,-134.375002E-03
-2.140000E-03,-120.000002E-03,-127.734377E-03
-2.135000E-03,-119.609377E-03,-127.734377E-03
-2.130000E-03,-116.484377E-03,-128.125002E-03
-2.125000E-03,-112.578127E-03,-118.750002E-03
-2.120000E-03,-112.578127E-03,-118.750002E-03
-2.115000E-03,-109.062502E-03,-120.312502E-03
-2.110000E-03,-105.156252E-03,-112.109377E-03
-2.105000E-03,-105.546877E-03,-112.890627E-03
-2.100000E-03,-101.640627E-03,-113.281252E-03
-2.095000E-03,-97.343752E-03,-103.515627E-03
-2.090000E-03,-97.734377E-03,-105.468752E-03
-2.085000E-03,-94.218752E-03,-106.640627E-03
-2.080000E-03,-89.921877E-03,-96.093751E-03
-2.075000E-03,-90.312502E-03,-97.265626E-03
-2.070000E-03,-86.796876E-03,-99.218751E-03
-2.065000E-03,-82.109376E-03,-89.453126E-03
-2.060000E-03,-82.890626E-03,-89.843751E-03
-2.055000E-03,-79.375001E-03,-91.406251E-03
-2.050000E-03,-75.078126E-03,-81.250001E-03
-2.045000E-03,-75.468751E-03,-82.812501E-03
-2.040000E-03,-71.953126E-03,-84.375001E-03
-2.035000E-03,-67.656251E-03,-73.046876E-03
-2.030000E-03,-68.046876E-03,-74.218751E-03
-2.025000E-03,-64.140626E-03,-75.781251E-03
-2.020000E-03,-60.234376E-03,-66.406251E-03
-2.015000E-03,-60.234376E-03,-66.796876E-03
-2.010000E-03,-56.718751E-03,-68.750001E-03
-2.005000E-03,-53.203126E-03,-59.375001E-03
-2.000000E-03,-52.812501E-03,-58.593751E-03
-1.995000E-03,-49.296876E-03,-60.937501E-03
-1.990000E-03,-45.390626E-03,-52.343751E-03
-1.985000E-03,-45.000001E-03,-51.171876E-03
-1.980000E-03,-41.484376E-03,-52.734376E-03
-1.975000E-03,-38.750001E-03,-45.312501E-03
-1.970000E-03,-37.187501E-03,-44.921876E-03
-1.965000E-03,-34.062501E-03,-46.484376E-03
-1.960000E-03,-31.718751E-03,-38.281251E-03
-1.955000E-03,-30.156251E-03,-36.718751E-03
-1.950000E-03,-27.031251E-03,-38.281251E-03
-1.945000E-03,-24.687501E-03,-32.421875E-03
-1.940000E-03,-22.734376E-03,-30.468750E-03
-1.935000E-03,-19.609375E-03,-30.078125E-03
-1.930000E-03,-17.656250E-03,-24.218750E-03
-1.925000E-03,-15.703125E-03,-23.046875E-03
-1.920000E-03,-12.187500E-03,-23.437500E-03
-1.915000E-03,-10.625000E-03,-17.578125E-03
-1.910000E-03,-9.062500E-03,-16.015625E-03
-1.905000E-03,-4.765625E-03,-15.234375E-03
-1.900000E-03,-3.593750E-03,-10.937500E-03
-1.895000E-03,-2.031250E-03,-10.546875E-03
-1.890000E-03,+2.656250E-03,-8.203125E-03
-1.885000E-03,+3.437500E-03,-3.906250E-03
-1.880000E-03,+5.000000E-03,-3.906250E-03
-1.875000E-03,+9.687500E-03,-1.562500E-03
-1.870000E-03,+10.859375E-03,+3.125000E-03
-1.865000E-03,+12.031250E-03,+2.343750E-03
-1.860000E-03,+17.109375E-03,+5.859375E-03
-1.855000E-03,+17.890625E-03,+10.546875E-03
-1.850000E-03,+19.453125E-03,+9.765625E-03
-1.845000E-03,+24.531250E-03,+13.671875E-03
-1.840000E-03,+25.312500E-03,+18.359375E-03
-1.835000E-03,+26.484375E-03,+16.406250E-03
-1.830000E-03,+31.953125E-03,+20.312500E-03
-1.825000E-03,+33.125000E-03,+26.171875E-03
-1.820000E-03,+33.906250E-03,+23.828125E-03
-1.815000E-03,+39.375000E-03,+28.515625E-03
-1.810000E-03,+40.937500E-03,+33.984376E-03
-1.805000E-03,+41.328125E-03,+30.859375E-03
-1.800000E-03,+47.187501E-03,+36.328126E-03
-1.795000E-03,+48.359376E-03,+42.187501E-03
-1.790000E-03,+48.750001E-03,+38.281251E-03
-1.785000E-03,+54.609376E-03,+42.578126E-03
-1.780000E-03,+55.781251E-03,+49.609376E-03
-1.775000E-03,+56.171876E-03,+46.484376E-03
-1.770000E-03,+62.031251E-03,+51.171876E-03
-1.765000E-03,+63.593751E-03,+56.640626E-03
-1.760000E-03,+63.984376E-03,+52.734376E-03
-1.755000E-03,+69.453126E-03,+58.593751E-03
-1.750000E-03,+71.015626E-03,+65.625001E-03
-1.745000E-03,+71.406251E-03,+60.937501E-03
-1.740000E-03,+76.484376E-03,+65.234376E-03
-1.735000E-03,+78.437501E-03,+71.875001E-03
-1.730000E-03,+79.218751E-03,+69.140626E-03
-1.725000E-03,+83.906251E-03,+73.828126E-03
-1.720000E-03,+85.859376E-03,+79.296876E-03
-1.715000E-03,+86.640626E-03,+75.781251E-03
-1.710000E-03,+90.937501E-03,+80.859376E-03
-1.705000E-03,+92.890626E-03,+87.109376E-03
-1.700000E-03,+94.453126E-03,+83.984376E-03
-1.695000E-03,+97.968751E-03,+87.109376E-03
-1.690000E-03,+100.312501E-03,+92.968751E-03
-1.685000E-03,+101.484376E-03,+91.015626E-03
-1.680000E-03,+105.000001E-03,+95.703126E-03
-1.675000E-03,+107.343751E-03,+100.781252E-03
-1.670000E-03,+108.906251E-03,+97.656251E-03
-1.665000E-03,+112.031251E-03,+101.171877E-03
-1.660000E-03,+114.375002E-03,+107.421877E-03
-1.655000E-03,+116.718752E-03,+105.859377E-03
-1.650000E-03,+119.453127E-03,+109.765627E-03
-1.645000E-03,+121.406252E-03,+114.453127E-03
-1.640000E-03,+124.140627E-03,+112.109377E-03
-1.635000E-03,+126.484377E-03,+116.796877E-03
-1.630000E-03,+128.437502E-03,+122.656252E-03
-1.625000E-03,+131.171877E-03,+121.093752E-03
-1.620000E-03,+133.906252E-03,+124.609377E-03
-1.615000E-03,+136.250002E-03,+129.296877E-03
-1.610000E-03,+138.984377E-03,+127.343752E-03
-1.605000E-03,+141.718752E-03,+133.593752E-03
-1.600000E-03,+143.281252E-03,+136.328127E-03
-1.595000E-03,+146.406252E-03,+134.765627E-03
-1.590000E-03,+149.140627E-03,+140.234377E-03
-1.585000E-03,+151.093752E-03,+142.968752E-03
-1.580000E-03,+153.828127E-03,+142.187502E-03
-1.575000E-03,+157.343752E-03,+149.218752E-03
-1.570000E-03,+158.125002E-03,+151.171877E-03
-1.565000E-03,+161.250002E-03,+149.218752E-03
-1.560000E-03,+164.765627E-03,+157.031252E-03
-1.555000E-03,+165.156252E-03,+157.031252E-03
-1.550000E-03,+169.062502E-03,+155.859377E-03
-1.545000E-03,+172.968752E-03,+166.015627E-03
-1.540000E-03,+172.578127E-03,+166.015627E-03
-1.535000E-03,+176.484377E-03,+164.453127E-03
-1.530000E-03,+180.390628E-03,+173.437503E-03
-1.525000E-03,+180.000002E-03,+171.093753E-03
