x-axis,B,2
second,Volt,Volt
-50.0000E-06,-276.6406293E-03,-390.6250E-06
-49.9000E-06,-270.7812542E-03,-7.0312501E-03
-49.8000E-06,-259.0625040E-03,-14.0625002E-03
-49.7000E-06,-247.3437539E-03,-4.6875001E-03
-49.6000E-06,-235.6250037E-03,+7.8125001E-03
-49.5000E-06,-225.4687535E-03,+11.3281252E-03
-49.4000E-06,-216.4843784E-03,+13.2812502E-03
-49.3000E-06,-207.1093783E-03,+15.6250002E-03
-49.2000E-06,-201.2500032E-03,+20.3125003E-03
-49.1000E-06,-194.2187531E-03,+17.9687503E-03
-49.0000E-06,-187.1875030E-03,+13.6718752E-03
-48.9000E-06,-181.7187529E-03,+13.6718752E-03
-48.8000E-06,-174.6875028E-03,+12.8906252E-03
-48.7000E-06,-170.0000027E-03,+8.5937501E-03
-48.6000E-06,-163.7500026E-03,+3.5156251E-03
-48.5000E-06,-154.7656275E-03,-390.6250E-06
-48.4000E-06,-152.8125025E-03,+20.3125003E-03
-48.3000E-06,-141.4843773E-03,-14.8437502E-03
-48.2000E-06,-126.2500021E-03,+31.2500005E-03
-48.1000E-06,-126.6406271E-03,+28.5156254E-03
-48.0000E-06,-127.4218771E-03,-5.4687501E-03
-47.9000E-06,-132.1093772E-03,-8.2031251E-03
-47.8000E-06,-128.5937521E-03,-16.4062502E-03
-47.7000E-06,-119.6093770E-03,-25.7812504E-03
-47.6000E-06,-114.9218769E-03,-34.3750005E-03
-47.5000E-06,-106.3281268E-03,-26.9531254E-03
-47.4000E-06,-101.6406267E-03,-10.9375002E-03
-47.3000E-06,-96.5625016E-03,-15.2343752E-03
-47.2000E-06,-91.0937515E-03,-34.7656255E-03
-47.1000E-06,-83.6718764E-03,-40.6250006E-03
-47.0000E-06,-77.0312513E-03,-25.0000004E-03
-46.9000E-06,-69.6093762E-03,-3.9062501E-03
-46.8000E-06,-61.4062511E-03,+1.1718750E-03
-46.7000E-06,-55.1562510E-03,-7.4218751E-03
-46.6000E-06,-45.7812509E-03,-12.8906252E-03
-46.5000E-06,-34.8437507E-03,-7.4218751E-03
-46.4000E-06,-23.5156255E-03,+2.7343750E-03
-46.3000E-06,-12.9687504E-03,+8.9843751E-03
-46.2000E-06,-5.9375003E-03,+7.0312501E-03
-46.1000E-06,+312.4998E-06,+5.8593751E-03
-46.0000E-06,+6.1718749E-03,+7.8125001E-03
-45.9000E-06,+13.5937500E-03,+6.6406251E-03
-45.8000E-06,+19.0625001E-03,+2.7343750E-03
-45.7000E-06,+23.7500002E-03,+2.7343750E-03
-45.6000E-06,+29.6093753E-03,+3.1250000E-03
-45.5000E-06,+33.5156253E-03,-3.5156251E-03
-45.4000E-06,+43.6718755E-03,-8.5937501E-03
-45.3000E-06,+52.6562506E-03,-7.0312501E-03
-45.2000E-06,+56.5625007E-03,+12.5000002E-03
-45.1000E-06,+64.7656258E-03,-23.4375003E-03
