x-axis,B,2
second,Volt,Volt
-2.500000E-03,-513.359383E-03,-494.140632E-03
-2.495000E-03,-514.531258E-03,-492.578132E-03
-2.490000E-03,-514.531258E-03,-498.046882E-03
-2.485000E-03,-514.140633E-03,-497.656257E-03
-2.480000E-03,-514.531258E-03,-496.093757E-03
-2.475000E-03,-514.140633E-03,-500.781257E-03
-2.470000E-03,-513.750008E-03,-500.390632E-03
-2.465000E-03,-513.750008E-03,-498.437507E-03
-2.460000E-03,-513.359383E-03,-503.125007E-03
-2.455000E-03,-512.578133E-03,-501.953132E-03
-2.450000E-03,-512.187508E-03,-500.000007E-03
-2.445000E-03,-511.406258E-03,-504.296883E-03
-2.440000E-03,-510.234383E-03,-503.125007E-03
-2.435000E-03,-509.453133E-03,-500.390632E-03
-2.430000E-03,-507.890633E-03,-503.515633E-03
-2.425000E-03,-506.718758E-03,-501.562507E-03
-2.420000E-03,-505.546883E-03,-499.609382E-03
-2.415000E-03,-503.593758E-03,-503.515633E-03
-2.410000E-03,-502.031258E-03,-500.781257E-03
-2.405000E-03,-500.468758E-03,-497.265632E-03
-2.400000E-03,-498.515633E-03,-500.390632E-03
-2.395000E-03,-496.171883E-03,-498.437507E-03
-2.390000E-03,-494.609383E-03,-495.312507E-03
-2.385000E-03,-491.875008E-03,-497.656257E-03
-2.380000E-03,-489.531257E-03,-493.750007E-03
-2.375000E-03,-487.187507E-03,-490.234382E-03
-2.370000E-03,-484.062507E-03,-493.750007E-03
-2.365000E-03,-481.328132E-03,-489.453132E-03
-2.360000E-03,-479.375007E-03,-485.546882E-03
-2.355000E-03,-475.859382E-03,-487.500007E-03
-2.350000E-03,-472.343757E-03,-482.031257E-03
-2.345000E-03,-470.781257E-03,-480.078132E-03
-2.340000E-03,-466.484382E-03,-481.250007E-03
-2.335000E-03,-462.968757E-03,-474.609382E-03
-2.330000E-03,-460.234382E-03,-472.265632E-03
-2.325000E-03,-455.937507E-03,-473.046882E-03
-2.320000E-03,-452.031257E-03,-467.187507E-03
-2.315000E-03,-448.906257E-03,-464.062507E-03
-2.310000E-03,-443.828132E-03,-463.671882E-03
-2.305000E-03,-439.921882E-03,-457.421882E-03
-2.300000E-03,-436.796882E-03,-454.687507E-03
-2.295000E-03,-431.328132E-03,-455.468757E-03
-2.290000E-03,-426.640632E-03,-447.656257E-03
-2.285000E-03,-423.125006E-03,-442.968757E-03
-2.280000E-03,-417.656256E-03,-443.750007E-03
-2.275000E-03,-412.968756E-03,-436.718757E-03
-2.270000E-03,-409.062506E-03,-432.421881E-03
-2.265000E-03,-403.203131E-03,-432.031256E-03
-2.260000E-03,-397.343756E-03,-423.437506E-03
-2.255000E-03,-394.218756E-03,-420.312506E-03
-2.250000E-03,-388.359381E-03,-420.312506E-03
-2.245000E-03,-382.109381E-03,-411.328131E-03
-2.240000E-03,-378.984381E-03,-407.031256E-03
-2.235000E-03,-372.343756E-03,-406.640631E-03
-2.230000E-03,-366.093756E-03,-396.875006E-03
-2.225000E-03,-362.578131E-03,-393.750006E-03
-2.220000E-03,-355.546880E-03,-392.578131E-03
-2.215000E-03,-348.906255E-03,-381.250006E-03
-2.210000E-03,-345.390630E-03,-378.515631E-03
-2.205000E-03,-337.968755E-03,-377.734381E-03
-2.200000E-03,-331.328130E-03,-366.796880E-03
-2.195000E-03,-327.812505E-03,-363.671880E-03
-2.190000E-03,-320.390630E-03,-361.718755E-03
-2.185000E-03,-312.968755E-03,-350.000005E-03
-2.180000E-03,-309.453130E-03,-348.046880E-03
-2.175000E-03,-302.031255E-03,-346.093755E-03
-2.170000E-03,-294.218755E-03,-332.812505E-03
-2.165000E-03,-290.703130E-03,-330.078130E-03
-2.160000E-03,-282.890629E-03,-328.515630E-03
-2.155000E-03,-274.687504E-03,-315.625005E-03
-2.150000E-03,-270.781254E-03,-313.281255E-03
-2.145000E-03,-262.968754E-03,-310.546880E-03
-2.140000E-03,-254.765629E-03,-296.875004E-03
-2.135000E-03,-250.468754E-03,-293.750004E-03
-2.130000E-03,-242.265629E-03,-291.015629E-03
-2.125000E-03,-233.671879E-03,-278.125004E-03
-2.120000E-03,-229.375004E-03,-276.171879E-03
-2.115000E-03,-220.781253E-03,-272.656254E-03
-2.110000E-03,-212.578128E-03,-257.421879E-03
-2.105000E-03,-207.890628E-03,-254.687504E-03
-2.100000E-03,-198.906253E-03,-252.734379E-03
-2.095000E-03,-189.921878E-03,-237.890629E-03
-2.090000E-03,-185.234378E-03,-234.375003E-03
-2.085000E-03,-177.031253E-03,-230.468753E-03
-2.080000E-03,-167.656253E-03,-215.625003E-03
-2.075000E-03,-162.968753E-03,-212.890628E-03
-2.070000E-03,-154.375002E-03,-210.156253E-03
-2.065000E-03,-145.390627E-03,-193.750003E-03
-2.060000E-03,-140.703127E-03,-189.843753E-03
-2.055000E-03,-132.109377E-03,-187.500003E-03
-2.050000E-03,-123.125002E-03,-173.046878E-03
-2.045000E-03,-118.828127E-03,-169.140628E-03
-2.040000E-03,-109.843752E-03,-165.625002E-03
-2.035000E-03,-100.468752E-03,-150.000002E-03
-2.030000E-03,-95.781252E-03,-146.484377E-03
-2.025000E-03,-86.796876E-03,-144.140627E-03
-2.020000E-03,-77.421876E-03,-129.296877E-03
-2.015000E-03,-72.343751E-03,-124.218752E-03
-2.010000E-03,-63.359376E-03,-121.484377E-03
-2.005000E-03,-53.593751E-03,-105.468752E-03
-2.000000E-03,-48.515626E-03,-101.953127E-03
-1.995000E-03,-39.921876E-03,-99.218751E-03
-1.990000E-03,-30.546876E-03,-83.203126E-03
-1.985000E-03,-25.859376E-03,-78.515626E-03
-1.980000E-03,-17.265625E-03,-75.390626E-03
-1.975000E-03,-7.890625E-03,-58.203126E-03
-1.970000E-03,-3.593750E-03,-55.078126E-03
-1.965000E-03,+5.000000E-03,-52.734376E-03
-1.960000E-03,+14.375000E-03,-36.328126E-03
-1.955000E-03,+18.671875E-03,-31.640625E-03
-1.950000E-03,+28.046875E-03,-29.296875E-03
-1.945000E-03,+37.421875E-03,-14.062500E-03
-1.940000E-03,+42.109375E-03,-10.937500E-03
-1.935000E-03,+51.093751E-03,-7.812500E-03
-1.930000E-03,+60.859376E-03,+8.203125E-03
-1.925000E-03,+65.937501E-03,+12.500000E-03
-1.920000E-03,+74.531251E-03,+14.843750E-03
-1.915000E-03,+84.296876E-03,+30.859375E-03
-1.910000E-03,+88.984376E-03,+35.546876E-03
-1.905000E-03,+97.187501E-03,+38.671876E-03
-1.900000E-03,+105.781251E-03,+54.687501E-03
-1.895000E-03,+110.468751E-03,+58.984376E-03
-1.890000E-03,+119.062502E-03,+61.718751E-03
-1.885000E-03,+128.046877E-03,+77.734376E-03
-1.880000E-03,+132.734377E-03,+82.812501E-03
-1.875000E-03,+140.937502E-03,+84.765626E-03
-1.870000E-03,+149.921877E-03,+99.218751E-03
-1.865000E-03,+155.000002E-03,+104.296877E-03
-1.860000E-03,+163.203127E-03,+107.031252E-03
-1.855000E-03,+171.796877E-03,+121.875002E-03
-1.850000E-03,+176.484377E-03,+127.734377E-03
-1.845000E-03,+184.687503E-03,+129.687502E-03
-1.840000E-03,+193.671878E-03,+143.750002E-03
-1.835000E-03,+198.359378E-03,+149.609377E-03
-1.830000E-03,+206.171878E-03,+152.343752E-03
-1.825000E-03,+214.765628E-03,+167.187502E-03
-1.820000E-03,+219.453128E-03,+173.046878E-03
-1.815000E-03,+227.265628E-03,+174.218753E-03
-1.810000E-03,+235.078128E-03,+188.671878E-03
-1.805000E-03,+239.765628E-03,+194.531253E-03
-1.800000E-03,+247.187503E-03,+196.484378E-03
-1.795000E-03,+254.218754E-03,+210.546878E-03
-1.790000E-03,+258.906254E-03,+216.406253E-03
-1.785000E-03,+265.937504E-03,+217.578128E-03
-1.780000E-03,+272.968754E-03,+230.859378E-03
-1.775000E-03,+277.656254E-03,+236.718754E-03
-1.770000E-03,+284.296879E-03,+237.890629E-03
-1.765000E-03,+290.937504E-03,+251.171879E-03
-1.760000E-03,+295.625004E-03,+257.031254E-03
-1.755000E-03,+302.265629E-03,+258.203129E-03
-1.750000E-03,+308.125004E-03,+270.312504E-03
-1.745000E-03,+312.421879E-03,+275.390629E-03
-1.740000E-03,+319.062505E-03,+277.343754E-03
-1.735000E-03,+324.921880E-03,+289.453129E-03
-1.730000E-03,+329.218755E-03,+293.750004E-03
-1.725000E-03,+335.468755E-03,+294.921879E-03
-1.720000E-03,+340.937505E-03,+305.859380E-03
-1.715000E-03,+345.234380E-03,+310.937505E-03
-1.710000E-03,+351.484380E-03,+313.671880E-03
-1.705000E-03,+356.171880E-03,+324.609380E-03
-1.700000E-03,+360.468755E-03,+328.906255E-03
-1.695000E-03,+366.328130E-03,+330.078130E-03
-1.690000E-03,+370.625005E-03,+340.234380E-03
-1.685000E-03,+374.531255E-03,+345.312505E-03
-1.680000E-03,+380.000005E-03,+347.656255E-03
-1.675000E-03,+384.296881E-03,+356.640630E-03
-1.670000E-03,+388.203131E-03,+361.328130E-03
-1.665000E-03,+393.281256E-03,+362.890630E-03
-1.660000E-03,+396.796881E-03,+371.875006E-03
-1.655000E-03,+400.312506E-03,+376.171881E-03
-1.650000E-03,+405.781256E-03,+378.125006E-03
-1.645000E-03,+408.906256E-03,+385.937506E-03
-1.640000E-03,+412.031256E-03,+390.234381E-03
-1.635000E-03,+416.718756E-03,+391.796881E-03
-1.630000E-03,+420.234381E-03,+400.000006E-03
-1.625000E-03,+422.968756E-03,+403.515631E-03
-1.620000E-03,+427.656256E-03,+404.687506E-03
-1.615000E-03,+430.000006E-03,+412.109381E-03
-1.610000E-03,+432.343756E-03,+416.015631E-03
-1.605000E-03,+437.031256E-03,+417.968756E-03
-1.600000E-03,+438.984381E-03,+425.000006E-03
-1.595000E-03,+441.328131E-03,+428.125006E-03
-1.590000E-03,+445.234381E-03,+428.906256E-03
-1.585000E-03,+446.796881E-03,+435.546881E-03
-1.580000E-03,+448.750007E-03,+438.281257E-03
-1.575000E-03,+452.265632E-03,+440.234382E-03
-1.570000E-03,+453.437507E-03,+446.093757E-03
-1.565000E-03,+455.000007E-03,+447.656257E-03
-1.560000E-03,+458.906257E-03,+448.437507E-03
-1.555000E-03,+459.296882E-03,+454.296882E-03
-1.550000E-03,+460.468757E-03,+456.640632E-03
-1.545000E-03,+463.984382E-03,+458.203132E-03
-1.540000E-03,+463.984382E-03,+462.500007E-03
-1.535000E-03,+464.375007E-03,+462.890632E-03
-1.530000E-03,+467.500007E-03,+464.843757E-03
-1.525000E-03,+467.500007E-03,+469.921882E-03
-1.520000E-03,+467.890632E-03,+469.921882E-03
-1.515000E-03,+471.015632E-03,+471.093757E-03
-1.510000E-03,+469.843757E-03,+474.609382E-03
-1.505000E-03,+469.843757E-03,+474.218757E-03
-1.500000E-03,+472.578132E-03,+476.953132E-03
-1.495000E-03,+471.406257E-03,+479.687507E-03
-1.490000E-03,+471.015632E-03,+478.515632E-03
-1.485000E-03,+473.359382E-03,+480.078132E-03
