x-axis,B,2
second,Volt,Volt
-50.0000E-06,-502.0312577E-03,+13.2812502E-03
-49.9000E-06,-500.8593826E-03,+8.9843751E-03
-49.8000E-06,-500.8593826E-03,+7.0312501E-03
-49.7000E-06,-497.3437576E-03,+3.9062501E-03
-49.6000E-06,-492.6562575E-03,-1.9531250E-03
-49.5000E-06,-482.5000074E-03,-781.2500E-06
-49.4000E-06,-488.3593825E-03,+13.2812502E-03
-49.3000E-06,-475.0781323E-03,-17.1875003E-03
-49.2000E-06,-457.5000070E-03,+27.3437504E-03
-49.1000E-06,-458.6718820E-03,+21.4843753E-03
-49.0000E-06,-455.1562570E-03,-8.2031251E-03
-48.9000E-06,-457.8906320E-03,-10.9375002E-03
-48.8000E-06,-447.7343819E-03,-20.3125003E-03
-48.7000E-06,-434.8437567E-03,-32.0312505E-03
-48.6000E-06,-422.7343815E-03,-35.9375005E-03
-48.5000E-06,-409.0625063E-03,-26.5625004E-03
-48.4000E-06,-398.1250061E-03,-12.5000002E-03
-48.3000E-06,-385.2343809E-03,-16.4062502E-03
-48.2000E-06,-371.5625057E-03,-35.1562505E-03
-48.1000E-06,-355.1562555E-03,-40.2343756E-03
-48.0000E-06,-339.1406302E-03,-23.0468753E-03
-47.9000E-06,-320.0000050E-03,+390.6250E-06
-47.8000E-06,-307.5000048E-03,-1.5625000E-03
-47.7000E-06,-287.1875045E-03,-9.3750001E-03
-47.6000E-06,-267.6562542E-03,-9.7656251E-03
-47.5000E-06,-243.0468788E-03,-5.0781251E-03
-47.4000E-06,-220.7812535E-03,+4.6875001E-03
-47.3000E-06,-196.5625031E-03,+8.9843751E-03
-47.2000E-06,-175.4687528E-03,+8.5937501E-03
-47.1000E-06,-157.1093775E-03,+4.2968751E-03
-47.0000E-06,-137.5781272E-03,+6.2500001E-03
-46.9000E-06,-117.2656269E-03,+6.2500001E-03
-46.8000E-06,-97.7343766E-03,+2.7343750E-03
-46.7000E-06,-78.9843764E-03,-0.0E+00
-46.6000E-06,-57.5000010E-03,-1.5625000E-03
-46.5000E-06,-37.5781257E-03,-2.3437500E-03
-46.4000E-06,-18.0468755E-03,-7.0312501E-03
-46.3000E-06,+15.1562500E-03,-3.1250000E-03
-46.2000E-06,+14.3750000E-03,-781.2500E-06
-46.1000E-06,+46.7968755E-03,-18.7500003E-03
-46.0000E-06,+80.7812510E-03,+28.1250004E-03
-45.9000E-06,+88.5937511E-03,+17.5781253E-03
-45.8000E-06,+104.6093764E-03,-11.3281252E-03
-45.7000E-06,+111.6406265E-03,-15.6250002E-03
-45.6000E-06,+133.9062518E-03,-23.0468753E-03
-45.5000E-06,+152.6562521E-03,-31.6406255E-03
-45.4000E-06,+172.5781274E-03,-37.8906256E-03
-45.3000E-06,+190.5468777E-03,-27.7343754E-03
-45.2000E-06,+208.5156279E-03,-14.0625002E-03
-45.1000E-06,+224.5312532E-03,-20.3125003E-03
-45.0000E-06,+241.7187534E-03,-41.0156256E-03
-44.9000E-06,+258.5156287E-03,-44.1406257E-03
-44.8000E-06,+276.4843789E-03,-26.1718754E-03
-44.7000E-06,+290.9375041E-03,-8.2031251E-03
-44.6000E-06,+305.0000044E-03,-5.8593751E-03
-44.5000E-06,+321.0156296E-03,-15.2343752E-03
-44.4000E-06,+337.0312548E-03,-19.9218753E-03
-44.3000E-06,+355.7812551E-03,-12.8906252E-03
-44.2000E-06,+372.5781304E-03,-2.3437500E-03
-44.1000E-06,+388.5937556E-03,+1.1718750E-03
-44.0000E-06,+399.5312558E-03,-1.9531250E-03
-43.9000E-06,+410.0781309E-03,-1.9531250E-03
-43.8000E-06,+419.4531311E-03,-1.1718750E-03
-43.7000E-06,+428.8281312E-03,-1.5625000E-03
-43.6000E-06,+438.2031313E-03,-2.3437500E-03
-43.5000E-06,+444.0625064E-03,-4.2968751E-03
-43.4000E-06,+449.9218815E-03,-5.4687501E-03
-43.3000E-06,+455.0000066E-03,-8.5937501E-03
-43.2000E-06,+460.0781317E-03,-11.7187502E-03
-43.1000E-06,+481.5625070E-03,+1.1718750E-03
-43.0000E-06,+453.8281316E-03,-7.8125001E-03
-42.9000E-06,+474.9218819E-03,-17.5781253E-03
-42.8000E-06,+486.2500071E-03,+23.8281254E-03
