x-axis,B,2
second,Volt,Volt
-2.500000E-03,-47.890623E-03,+188.203128E-03
-2.495000E-03,-83.437499E-03,+181.562503E-03
-2.490000E-03,-120.546875E-03,+163.593752E-03
-2.485000E-03,-156.875000E-03,+150.703127E-03
-2.480000E-03,-191.250001E-03,+137.812502E-03
-2.475000E-03,-217.812501E-03,+105.000001E-03
-2.470000E-03,-245.156251E-03,+61.640626E-03
-2.465000E-03,-267.031252E-03,+30.781250E-03
-2.460000E-03,-283.046877E-03,+10.468750E-03
-2.455000E-03,-292.421877E-03,-20.781250E-03
-2.450000E-03,-295.156252E-03,-71.171876E-03
-2.445000E-03,-290.859377E-03,-123.515627E-03
-2.440000E-03,-279.531252E-03,-156.328128E-03
-2.435000E-03,-260.781252E-03,-182.109378E-03
-2.430000E-03,-235.781251E-03,-215.703128E-03
-2.425000E-03,-205.312501E-03,-256.328129E-03
-2.420000E-03,-169.765625E-03,-288.359379E-03
-2.415000E-03,-127.187500E-03,-292.656255E-03
-2.410000E-03,-86.171874E-03,-276.640629E-03
-2.405000E-03,-38.515623E-03,-254.375004E-03
-2.400000E-03,+11.093752E-03,-245.390629E-03
-2.395000E-03,+59.140628E-03,-254.375004E-03
-2.390000E-03,+107.578129E-03,-259.453129E-03
-2.385000E-03,+154.843755E-03,-237.968754E-03
-2.380000E-03,+198.593755E-03,-191.875003E-03
-2.375000E-03,+234.531256E-03,-138.750002E-03
-2.370000E-03,+267.343756E-03,-103.984377E-03
-2.365000E-03,+292.734382E-03,-76.640626E-03
-2.360000E-03,+311.093757E-03,-28.984376E-03
-2.355000E-03,+321.640632E-03,+44.062500E-03
-2.350000E-03,+323.984382E-03,+110.078126E-03
-2.345000E-03,+316.171882E-03,+143.671877E-03
-2.340000E-03,+302.500007E-03,+165.156252E-03
-2.335000E-03,+278.281256E-03,+203.437503E-03
-2.330000E-03,+246.640631E-03,+253.828129E-03
-2.325000E-03,+207.968755E-03,+288.203129E-03
-2.320000E-03,+162.656255E-03,+301.484379E-03
-2.315000E-03,+109.140629E-03,+310.468754E-03
-2.310000E-03,+56.406253E-03,+335.078130E-03
-2.305000E-03,-2.187498E-03,+344.453130E-03
-2.300000E-03,-62.734374E-03,+326.093755E-03
-2.295000E-03,-121.328125E-03,+298.750004E-03
-2.290000E-03,-179.921875E-03,+284.296879E-03
-2.285000E-03,-235.000001E-03,+272.968754E-03
-2.280000E-03,-287.343752E-03,+236.250003E-03
-2.275000E-03,-331.484378E-03,+164.765627E-03
-2.270000E-03,-368.593753E-03,+100.703126E-03
-2.265000E-03,-398.281254E-03,+61.250001E-03
-2.260000E-03,-419.375004E-03,+24.140625E-03
-2.255000E-03,-430.312504E-03,-40.312501E-03
-2.250000E-03,-431.875004E-03,-121.953127E-03
-2.245000E-03,-421.328129E-03,-189.531253E-03
-2.240000E-03,-402.968754E-03,-232.500004E-03
-2.235000E-03,-374.453128E-03,-275.859379E-03
-2.230000E-03,-336.953128E-03,-332.109380E-03
-2.225000E-03,-290.078127E-03,-382.109381E-03
-2.220000E-03,-235.000001E-03,-405.156256E-03
-2.215000E-03,-176.796875E-03,-403.984381E-03
-2.210000E-03,-109.999999E-03,-403.593756E-03
-2.205000E-03,-44.765623E-03,-412.578131E-03
-2.200000E-03,+23.984378E-03,-412.578131E-03
-2.195000E-03,+91.953129E-03,-394.218756E-03
-2.190000E-03,+159.140630E-03,-362.187506E-03
-2.185000E-03,+221.250006E-03,-321.953130E-03
-2.180000E-03,+278.281256E-03,-273.515629E-03
-2.175000E-03,+327.500007E-03,-209.453128E-03
-2.170000E-03,+369.687508E-03,-149.296877E-03
-2.165000E-03,+402.500008E-03,-93.046877E-03
-2.160000E-03,+423.984384E-03,-27.812501E-03
-2.155000E-03,+434.140634E-03,+59.296876E-03
-2.150000E-03,+436.093759E-03,+145.234377E-03
-2.145000E-03,+421.640634E-03,+193.671878E-03
-2.140000E-03,+402.109383E-03,+227.265628E-03
-2.135000E-03,+368.515633E-03,+271.796879E-03
-2.130000E-03,+324.375007E-03,+339.375005E-03
-2.125000E-03,+272.031256E-03,+405.390631E-03
-2.120000E-03,+213.046880E-03,+435.859381E-03
-2.115000E-03,+147.812504E-03,+435.468756E-03
-2.110000E-03,+74.765628E-03,+433.515631E-03
-2.105000E-03,+2.500002E-03,+438.984381E-03
-2.100000E-03,-72.499999E-03,+434.687506E-03
-2.095000E-03,-145.546875E-03,+412.031256E-03
-2.090000E-03,-216.640626E-03,+379.218755E-03
-2.085000E-03,-284.218752E-03,+340.156255E-03
-2.080000E-03,-345.546878E-03,+287.812504E-03
-2.075000E-03,-395.937504E-03,+216.328128E-03
-2.070000E-03,-440.078129E-03,+143.281252E-03
-2.065000E-03,-473.671880E-03,+81.171876E-03
-2.060000E-03,-496.718755E-03,+21.015625E-03
-2.055000E-03,-508.437505E-03,-57.890626E-03
-2.050000E-03,-508.437505E-03,-148.906252E-03
-2.045000E-03,-490.859380E-03,-222.734379E-03
-2.040000E-03,-467.421880E-03,-283.671879E-03
-2.035000E-03,-431.484379E-03,-341.093755E-03
-2.030000E-03,-385.390629E-03,-400.859381E-03
-2.025000E-03,-330.703128E-03,-451.250007E-03
-2.020000E-03,-267.031252E-03,-475.859382E-03
-2.015000E-03,-198.281251E-03,-478.984382E-03
-2.010000E-03,-122.109375E-03,-482.890632E-03
-2.005000E-03,-47.499998E-03,-484.453132E-03
-2.000000E-03,+29.453128E-03,-473.125007E-03
-1.995000E-03,+105.234379E-03,-442.265632E-03
-1.990000E-03,+178.671880E-03,-409.062506E-03
-1.985000E-03,+246.250006E-03,-378.984381E-03
-1.980000E-03,+307.187507E-03,-334.453130E-03
-1.975000E-03,+360.312508E-03,-252.812504E-03
-1.970000E-03,+404.062508E-03,-162.187503E-03
-1.965000E-03,+436.093759E-03,-90.312502E-03
-1.960000E-03,+456.796884E-03,-27.421876E-03
-1.955000E-03,+466.171884E-03,+55.781251E-03
-1.950000E-03,+463.437509E-03,+149.140627E-03
-1.945000E-03,+449.375009E-03,+213.593753E-03
-1.940000E-03,+424.375009E-03,+247.578129E-03
-1.935000E-03,+388.046883E-03,+301.093754E-03
-1.930000E-03,+340.000007E-03,+385.468756E-03
-1.925000E-03,+283.750006E-03,+455.000007E-03
-1.920000E-03,+221.250006E-03,+471.796882E-03
-1.915000E-03,+153.671880E-03,+454.609382E-03
-1.910000E-03,+76.718753E-03,+456.171882E-03
-1.905000E-03,+2.500002E-03,+473.359382E-03
-1.900000E-03,-72.890624E-03,+470.234382E-03
-1.895000E-03,-146.328125E-03,+435.078131E-03
-1.890000E-03,-217.421876E-03,+391.328131E-03
-1.885000E-03,-282.265627E-03,+354.218755E-03
-1.880000E-03,-344.765628E-03,+299.140629E-03
-1.875000E-03,-391.640629E-03,+227.656253E-03
-1.870000E-03,-433.046879E-03,+146.796877E-03
-1.865000E-03,-464.296880E-03,+80.000001E-03
-1.860000E-03,-484.218755E-03,+21.015625E-03
-1.855000E-03,-492.812505E-03,-56.718751E-03
-1.850000E-03,-488.906255E-03,-148.125002E-03
-1.845000E-03,-473.281255E-03,-227.031254E-03
-1.840000E-03,-446.718754E-03,-284.453129E-03
-1.835000E-03,-410.390629E-03,-338.359380E-03
-1.830000E-03,-365.859378E-03,-395.390631E-03
-1.825000E-03,-312.343752E-03,-443.046882E-03
-1.820000E-03,-250.625001E-03,-464.921882E-03
-1.815000E-03,-185.390626E-03,-465.703132E-03
-1.810000E-03,-114.687499E-03,-466.484382E-03
-1.805000E-03,-45.546873E-03,-465.703132E-03
-1.800000E-03,+24.765628E-03,-453.593757E-03
-1.795000E-03,+93.906254E-03,-422.343756E-03
-1.790000E-03,+160.312505E-03,-390.312506E-03
-1.785000E-03,+219.296881E-03,-363.359381E-03
