x-axis,B,2
second,Volt,Volt
-90.0000E-06,-251.4062515E-03,-241.9531280E-03
-89.8000E-06,-264.6875017E-03,-250.1562532E-03
-89.6000E-06,-273.6718768E-03,-264.6093784E-03
-89.4000E-06,-281.8750020E-03,-270.8593785E-03
-89.2000E-06,-287.3437520E-03,-280.2343786E-03
-89.0000E-06,-289.2968771E-03,-281.4062536E-03
-88.8000E-06,-289.6875021E-03,-279.0625036E-03
-88.6000E-06,-284.6093770E-03,-266.9531284E-03
-88.4000E-06,-290.0781271E-03,-304.0625040E-03
-88.2000E-06,-269.7656268E-03,-247.8125031E-03
-88.0000E-06,-270.1562518E-03,-278.6718786E-03
-87.8000E-06,-257.2656266E-03,-244.2968781E-03
-87.6000E-06,-245.1562514E-03,-241.5625030E-03
-87.4000E-06,-233.0468762E-03,-231.7968779E-03
-87.2000E-06,-216.6406260E-03,-212.6562526E-03
-87.0000E-06,-201.7968758E-03,-195.8593774E-03
-86.8000E-06,-185.0000005E-03,-181.0156271E-03
-86.6000E-06,-167.4218753E-03,-164.6093769E-03
-86.4000E-06,-147.8906250E-03,-146.2500016E-03
-86.2000E-06,-128.3593747E-03,-118.1250012E-03
-86.0000E-06,-106.8749994E-03,-105.6250010E-03
-85.8000E-06,-87.3437491E-03,-79.0625006E-03
-85.6000E-06,-67.0312488E-03,-65.3906254E-03
-85.4000E-06,-47.1093735E-03,-36.8750000E-03
-85.2000E-06,-25.2343731E-03,-15.3906247E-03
-85.0000E-06,-3.7499978E-03,-546.8744E-06
-84.8000E-06,+16.5625025E-03,+27.1875010E-03
-84.6000E-06,+35.3125028E-03,+44.3750012E-03
-84.4000E-06,+52.5000030E-03,+65.0781265E-03
-84.2000E-06,+68.5156283E-03,+85.7812518E-03
-84.0000E-06,+84.5312535E-03,+93.2031269E-03
-83.8000E-06,+108.7500039E-03,+184.2187533E-03
-83.6000E-06,+125.5468791E-03,+85.0000018E-03
-83.4000E-06,+131.4062542E-03,+64.2968765E-03
-83.2000E-06,+140.0000043E-03,+79.1406267E-03
-83.0000E-06,+140.3906293E-03,+486.5625078E-03
-82.8000E-06,+147.8125044E-03,+39.6875012E-03
-82.6000E-06,+151.3281295E-03,+178.3593782E-03
-82.4000E-06,+152.8906295E-03,+167.4218781E-03
-82.2000E-06,+152.1093795E-03,+154.5312529E-03
-82.0000E-06,+157.1875046E-03,+165.8593780E-03
-81.8000E-06,+163.8281297E-03,+188.5156284E-03
-81.6000E-06,+166.1718797E-03,+194.7656285E-03
-81.4000E-06,+165.7812547E-03,+191.2500034E-03
-81.2000E-06,+162.6562547E-03,+197.1093785E-03
-81.0000E-06,+158.7500046E-03,+186.9531283E-03
-80.8000E-06,+152.1093795E-03,+197.1093785E-03
-80.6000E-06,+143.1250044E-03,+165.8593780E-03
-80.4000E-06,+131.7968792E-03,+168.5937531E-03
-80.2000E-06,+117.3437540E-03,+144.3750027E-03
-80.0000E-06,+102.8906288E-03,+135.0000026E-03
-79.8000E-06,+89.6093786E-03,+120.9375024E-03
-79.6000E-06,+73.5937533E-03,+97.8906270E-03
-79.4000E-06,+60.7031281E-03,+92.4218769E-03
-79.2000E-06,+45.0781279E-03,+76.4062517E-03
-79.0000E-06,+29.8437527E-03,+56.4843764E-03
-78.8000E-06,+19.2968775E-03,+52.1875013E-03
-78.6000E-06,+1.7187523E-03,+26.0156259E-03
-78.4000E-06,-9.6093729E-03,+21.3281259E-03
-78.2000E-06,-26.4062482E-03,+4.1406256E-03
-78.0000E-06,-42.4218734E-03,-28.2812499E-03
-77.8000E-06,-51.4062485E-03,-20.8593748E-03
-77.6000E-06,-65.4687487E-03,-47.4218751E-03
-77.4000E-06,-77.1874989E-03,-51.3281252E-03
-77.2000E-06,-86.1718740E-03,-70.8593755E-03
-77.0000E-06,-97.1093742E-03,-76.3281256E-03
-76.8000E-06,-106.8749994E-03,-90.0000008E-03
-76.6000E-06,-115.0781245E-03,-91.5625008E-03
-76.4000E-06,-121.7187496E-03,-106.4062510E-03
-76.2000E-06,-127.5781247E-03,-111.0937511E-03
-76.0000E-06,-130.3124997E-03,-112.6562511E-03
-75.8000E-06,-139.2968748E-03,-120.8593762E-03
-75.6000E-06,-136.9531248E-03,-121.6406263E-03
-75.4000E-06,-139.2968748E-03,-123.2031263E-03
-75.2000E-06,-140.8593749E-03,-132.1875014E-03
-75.0000E-06,-140.0781249E-03,-115.7812512E-03
-74.8000E-06,-141.2499999E-03,-140.3906265E-03
-74.6000E-06,-127.9687497E-03,-106.0156260E-03
-74.4000E-06,-142.4218749E-03,-146.6406266E-03
-74.2000E-06,-129.9218747E-03,-106.4062510E-03
-74.0000E-06,-127.1874997E-03,-116.9531262E-03
-73.8000E-06,-118.2031245E-03,-109.9218761E-03
-73.6000E-06,-118.5937495E-03,-109.5312511E-03
