x-axis,B,2
second,Volt,Volt
-90.0000E-06,+79.0625034E-03,-458.9062557E-03
-89.8000E-06,+67.7343782E-03,-465.9375058E-03
-89.6000E-06,+57.5781281E-03,-471.4062559E-03
-89.4000E-06,+47.4218779E-03,-477.2656310E-03
-89.2000E-06,+36.8750028E-03,-482.3437561E-03
-89.0000E-06,+27.1093776E-03,-488.9843812E-03
-88.8000E-06,+17.3437525E-03,-493.2812562E-03
-88.6000E-06,+9.5312524E-03,-497.5781313E-03
-88.4000E-06,-9.2187479E-03,-507.7343814E-03
-88.2000E-06,-11.9531229E-03,-505.7812564E-03
-88.0000E-06,-26.7968732E-03,-516.7187566E-03
-87.8000E-06,-35.7812483E-03,-515.5468816E-03
-87.6000E-06,-47.1093735E-03,-524.5312567E-03
-87.4000E-06,-58.0468736E-03,-525.3125067E-03
-87.2000E-06,-68.2031238E-03,-528.8281318E-03
-87.0000E-06,-77.9687489E-03,-530.7812568E-03
-86.8000E-06,-88.1249991E-03,-533.5156318E-03
-86.6000E-06,-99.0624992E-03,-535.8593819E-03
-86.4000E-06,-108.8281244E-03,-536.2500069E-03
-86.2000E-06,-120.9374996E-03,-538.5937569E-03
-86.0000E-06,-130.7031247E-03,-538.5937569E-03
-85.8000E-06,-142.0312499E-03,-540.1562569E-03
-85.6000E-06,-152.5781250E-03,-538.5937569E-03
-85.4000E-06,-163.5156252E-03,-539.7656319E-03
-85.2000E-06,-168.2031253E-03,-501.4843814E-03
-85.0000E-06,-181.4843755E-03,-559.6875072E-03
-84.8000E-06,-183.4375005E-03,-499.1406313E-03
-84.6000E-06,-204.9218758E-03,-522.1875067E-03
-84.4000E-06,-215.4687510E-03,-528.4375068E-03
-84.2000E-06,-221.3281261E-03,-529.6093818E-03
-84.0000E-06,-235.3906263E-03,-514.7656316E-03
-83.8000E-06,-251.7968765E-03,-539.7656319E-03
-83.6000E-06,-261.5625017E-03,-523.7500067E-03
-83.4000E-06,-270.9375018E-03,-520.6250066E-03
-83.2000E-06,-280.7031269E-03,-527.6562567E-03
-83.0000E-06,-285.3906270E-03,-512.8125065E-03
-82.8000E-06,-297.5000022E-03,-515.1562566E-03
-82.6000E-06,-301.7968773E-03,-495.2343813E-03
-82.4000E-06,-311.5625024E-03,-504.2187564E-03
-82.2000E-06,-315.8593775E-03,-486.2500061E-03
-82.0000E-06,-324.4531276E-03,-483.1250061E-03
-81.8000E-06,-333.4375027E-03,-481.1718811E-03
-81.6000E-06,-341.2500028E-03,-473.7500059E-03
-81.4000E-06,-349.4531280E-03,-468.6718809E-03
-81.2000E-06,-356.8750031E-03,-465.1562558E-03
-81.0000E-06,-363.1250032E-03,-460.8593807E-03
-80.8000E-06,-370.9375033E-03,-453.4375056E-03
-80.6000E-06,-379.5312534E-03,-450.3125056E-03
-80.4000E-06,-386.1718785E-03,-443.2812555E-03
-80.2000E-06,-393.9843786E-03,-437.4218804E-03
-80.0000E-06,-400.2343787E-03,-429.2187553E-03
-79.8000E-06,-407.2656288E-03,-424.5312552E-03
-79.6000E-06,-414.2968789E-03,-416.3281301E-03
-79.4000E-06,-421.7187540E-03,-410.0781300E-03
-79.2000E-06,-427.1875041E-03,-403.8281299E-03
-79.0000E-06,-434.6093792E-03,-397.9687548E-03
-78.8000E-06,-440.8593793E-03,-391.3281297E-03
-78.6000E-06,-445.9375044E-03,-384.2968796E-03
-78.4000E-06,-451.4062545E-03,-376.8750045E-03
-78.2000E-06,-456.4843796E-03,-370.6250044E-03
-78.0000E-06,-466.2500047E-03,-382.3437546E-03
-77.8000E-06,-472.5000048E-03,-360.4687543E-03
-77.6000E-06,-474.8437548E-03,-365.5468793E-03
-77.4000E-06,-477.9687549E-03,-353.4375041E-03
-77.2000E-06,-478.7500049E-03,-344.0625040E-03
-77.0000E-06,-480.7031299E-03,-330.3906288E-03
-76.8000E-06,-483.0468800E-03,-321.0156287E-03
-76.6000E-06,-482.6562550E-03,-308.5156285E-03
-76.4000E-06,-483.4375050E-03,-299.5312533E-03
-76.2000E-06,-486.1718800E-03,-289.7656282E-03
-76.0000E-06,-489.6875051E-03,-281.5625031E-03
-75.8000E-06,-493.9843801E-03,-273.7500030E-03
-75.6000E-06,-498.6718802E-03,-269.4531279E-03
-75.4000E-06,-501.7968802E-03,-263.5937528E-03
-75.2000E-06,-505.7031303E-03,-258.9062527E-03
-75.0000E-06,-509.6093804E-03,-252.6562526E-03
-74.8000E-06,-512.7343804E-03,-244.4531275E-03
-74.6000E-06,-515.0781304E-03,-238.9843774E-03
