x-axis,B,2
second,Volt,Volt
-240.0000E-06,-361.1718781E-03,+220.3906294E-03
-239.5000E-06,-371.7187533E-03,+208.2812542E-03
-239.0000E-06,-381.4843784E-03,+196.9531291E-03
-238.5000E-06,-392.0312536E-03,+186.0156289E-03
-238.0000E-06,-402.5781288E-03,+175.8593787E-03
-237.5000E-06,-411.9531289E-03,+168.0468786E-03
-237.0000E-06,-421.7187540E-03,+161.0156285E-03
-236.5000E-06,-429.9218792E-03,+155.1562534E-03
-236.0000E-06,-437.7343793E-03,+151.2500034E-03
-235.5000E-06,-445.9375044E-03,+148.9062533E-03
-235.0000E-06,-453.3593795E-03,+147.7343783E-03
-234.5000E-06,-460.7812546E-03,+147.3437533E-03
-234.0000E-06,-468.2031297E-03,+150.4687534E-03
-233.5000E-06,-474.0625048E-03,+153.9843784E-03
-233.0000E-06,-479.9218799E-03,+157.8906285E-03
-232.5000E-06,-485.7812550E-03,+163.3593786E-03
-232.0000E-06,-490.8593801E-03,+169.6093786E-03
-231.5000E-06,-495.9375052E-03,+175.4687537E-03
-231.0000E-06,-497.8906302E-03,+188.3593789E-03
-230.5000E-06,-503.3593803E-03,+193.8281290E-03
-230.0000E-06,-507.6562553E-03,+204.3750042E-03
-229.5000E-06,-504.5312553E-03,+216.0937543E-03
-229.0000E-06,-512.3437554E-03,+219.2187544E-03
-228.5000E-06,-512.3437554E-03,+230.1562545E-03
-228.0000E-06,-513.5156304E-03,+237.5781297E-03
-227.5000E-06,-514.6875054E-03,+239.5312547E-03
-227.0000E-06,-515.0781304E-03,+248.1250048E-03
-226.5000E-06,-514.2968804E-03,+242.2656297E-03
-226.0000E-06,-510.0000054E-03,+247.7343798E-03
-225.5000E-06,-506.0937553E-03,+257.1093799E-03
-225.0000E-06,-503.7500053E-03,+265.3125051E-03
-224.5000E-06,-504.1406303E-03,+271.1718802E-03
-224.0000E-06,-504.1406303E-03,+273.1250052E-03
-223.5000E-06,-503.7500053E-03,+273.5156302E-03
-223.0000E-06,-502.1875052E-03,+275.0781302E-03
-222.5000E-06,-497.5000052E-03,+276.2500052E-03
-222.0000E-06,-492.0312551E-03,+276.6406302E-03
-221.5000E-06,-484.2187550E-03,+276.6406302E-03
-221.0000E-06,-477.5781299E-03,+277.0312552E-03
-220.5000E-06,-470.5468798E-03,+276.6406302E-03
-220.0000E-06,-463.1250047E-03,+273.5156302E-03
-219.5000E-06,-456.8750046E-03,+268.8281301E-03
-219.0000E-06,-450.2343795E-03,+264.1406301E-03
-218.5000E-06,-443.5937544E-03,+258.2812550E-03
-218.0000E-06,-435.7812543E-03,+252.4218799E-03
-217.5000E-06,-427.1875041E-03,+247.7343798E-03
-217.0000E-06,-418.2031290E-03,+240.3125047E-03
-216.5000E-06,-407.6562538E-03,+234.4531296E-03
-216.0000E-06,-397.8906287E-03,+227.0312545E-03
-215.5000E-06,-388.1250035E-03,+219.6093794E-03
-215.0000E-06,-378.3593784E-03,+211.7968793E-03
-214.5000E-06,-367.0312532E-03,+204.3750042E-03
-214.0000E-06,-357.2656281E-03,+196.9531291E-03
-213.5000E-06,-345.9375029E-03,+188.3593789E-03
-213.0000E-06,-333.4375027E-03,+180.5468788E-03
-212.5000E-06,-321.7187526E-03,+172.7343787E-03
-212.0000E-06,-308.0468774E-03,+165.7031286E-03
-211.5000E-06,-296.3281272E-03,+157.1093785E-03
-211.0000E-06,-283.4375020E-03,+148.9062533E-03
-210.5000E-06,-268.2031268E-03,+141.0937532E-03
-210.0000E-06,-255.7031266E-03,+132.5000031E-03
-209.5000E-06,-241.6406264E-03,+123.9062530E-03
-209.0000E-06,-227.9687512E-03,+115.7031278E-03
-208.5000E-06,-213.5156259E-03,+107.1093777E-03
-208.0000E-06,-199.0625007E-03,+97.7343776E-03
-207.5000E-06,-185.3906255E-03,+88.3593774E-03
-207.0000E-06,-170.5468753E-03,+77.4218773E-03
-206.5000E-06,-156.0937501E-03,+67.6562521E-03
-206.0000E-06,-140.8593749E-03,+55.9375020E-03
-205.5000E-06,-125.2343746E-03,+43.4375018E-03
-205.0000E-06,-109.6093744E-03,+30.5468766E-03
-204.5000E-06,-95.1562492E-03,+15.7031264E-03
-204.0000E-06,-79.9218740E-03,-312.4989E-06
-203.5000E-06,-66.2499988E-03,-16.3281241E-03
-203.0000E-06,-51.4062485E-03,-32.7343744E-03
-202.5000E-06,-35.3906233E-03,-49.9218746E-03
-202.0000E-06,-18.9843730E-03,-68.2812499E-03
-201.5000E-06,-4.1406228E-03,-87.4218752E-03
-201.0000E-06,+12.2656274E-03,-108.5156255E-03
-200.5000E-06,+26.7187526E-03,-130.7812508E-03
-200.0000E-06,+41.5625029E-03,-155.7812512E-03
-199.5000E-06,+57.9687531E-03,-173.3593765E-03
-199.0000E-06,+71.2500033E-03,-196.7968768E-03
-198.5000E-06,+87.6562535E-03,-220.6250022E-03
-198.0000E-06,+102.5000038E-03,-244.0625025E-03
-197.5000E-06,+118.1250040E-03,-267.5000029E-03
-197.0000E-06,+133.3593792E-03,-290.5468782E-03
-196.5000E-06,+147.8125044E-03,-313.9843786E-03
-196.0000E-06,+162.2656297E-03,-336.2500039E-03
-195.5000E-06,+176.7187549E-03,-358.1250042E-03
-195.0000E-06,+190.3906301E-03,-379.2187545E-03
-194.5000E-06,+204.8437553E-03,-398.7500048E-03
-194.0000E-06,+218.1250055E-03,-418.6718801E-03
-193.5000E-06,+231.0156307E-03,-437.0312554E-03
-193.0000E-06,+243.9062559E-03,-454.6093807E-03
-192.5000E-06,+257.1875061E-03,-470.6250059E-03
-192.0000E-06,+269.2968812E-03,-485.4687561E-03
-191.5000E-06,+281.7968814E-03,-498.7500063E-03
-191.0000E-06,+293.5156316E-03,-513.2031315E-03
-190.5000E-06,+304.8437568E-03,-521.0156316E-03
-190.0000E-06,+316.1718819E-03,-529.2187568E-03
-189.5000E-06,+327.5000071E-03,-536.6406319E-03
-189.0000E-06,+338.8281323E-03,-541.3281319E-03
-188.5000E-06,+348.9843824E-03,-544.4531320E-03
-188.0000E-06,+358.7500076E-03,-548.3593821E-03
-187.5000E-06,+365.7812577E-03,-549.5312571E-03
-187.0000E-06,+381.0156329E-03,-546.7968820E-03
-186.5000E-06,+385.3125080E-03,-544.4531320E-03
-186.0000E-06,+395.0781331E-03,-541.7187570E-03
-185.5000E-06,+403.6718833E-03,-536.6406319E-03
-185.0000E-06,+410.7031334E-03,-531.1718818E-03
-184.5000E-06,+417.7343835E-03,-524.1406317E-03
-184.0000E-06,+423.9843836E-03,-517.5000066E-03
-183.5000E-06,+429.8437586E-03,-508.9062565E-03
-183.0000E-06,+435.3125087E-03,-500.3125063E-03
-182.5000E-06,+440.7812588E-03,-491.3281312E-03
-182.0000E-06,+445.4687589E-03,-482.3437561E-03
-181.5000E-06,+449.7656339E-03,-472.9687559E-03
-181.0000E-06,+454.0625090E-03,-464.3750058E-03
-180.5000E-06,+456.7968840E-03,-455.0000057E-03
-180.0000E-06,+459.5312591E-03,-447.1875055E-03
-179.5000E-06,+463.0468841E-03,-439.7656304E-03
-179.0000E-06,+464.2187592E-03,-431.5625053E-03
-178.5000E-06,+466.5625092E-03,-424.5312552E-03
-178.0000E-06,+466.9531342E-03,-418.2812551E-03
-177.5000E-06,+468.5156342E-03,-411.2500050E-03
-177.0000E-06,+468.5156342E-03,-406.5625049E-03
-176.5000E-06,+472.8125093E-03,-378.4375045E-03
-176.0000E-06,+462.2656341E-03,-382.3437546E-03
-175.5000E-06,+457.5781341E-03,-375.3125045E-03
-175.0000E-06,+454.8437590E-03,-375.7031295E-03
-174.5000E-06,+457.1875090E-03,-377.6562545E-03
-174.0000E-06,+456.7968840E-03,-376.8750045E-03
-173.5000E-06,+457.5781341E-03,-375.3125045E-03
-173.0000E-06,+456.0156340E-03,-373.7500045E-03
-172.5000E-06,+452.5000090E-03,-372.5781294E-03
-172.0000E-06,+447.4218839E-03,-372.9687544E-03
-171.5000E-06,+440.3906338E-03,-374.9218795E-03
-171.0000E-06,+431.7968837E-03,-376.8750045E-03
-170.5000E-06,+424.7656336E-03,-376.8750045E-03
-170.0000E-06,+419.2968835E-03,-372.9687544E-03
-169.5000E-06,+410.7031334E-03,-376.4843795E-03
-169.0000E-06,+406.7968833E-03,-369.8437544E-03
-168.5000E-06,+400.1562582E-03,-364.3750043E-03
-168.0000E-06,+393.1250081E-03,-359.2968792E-03
-167.5000E-06,+384.5312580E-03,-352.6562541E-03
-167.0000E-06,+375.5468828E-03,-346.0156290E-03
-166.5000E-06,+365.3906327E-03,-336.2500039E-03
-166.0000E-06,+355.6250075E-03,-325.7031287E-03
-165.5000E-06,+345.0781324E-03,-312.8125035E-03
-165.0000E-06,+334.5312572E-03,-297.9687533E-03
-164.5000E-06,+324.3750071E-03,-280.7812531E-03
-164.0000E-06,+313.4375069E-03,-263.5937528E-03
-163.5000E-06,+301.3281317E-03,-244.4531275E-03
-163.0000E-06,+289.6093816E-03,-224.5312522E-03
-162.5000E-06,+276.3281314E-03,-203.8281269E-03
-162.0000E-06,+263.8281312E-03,-181.5625016E-03
-161.5000E-06,+251.3281310E-03,-158.9062513E-03
-161.0000E-06,+239.2187558E-03,-134.2968759E-03
-160.5000E-06,+225.9375056E-03,-110.0781255E-03
-160.0000E-06,+213.8281304E-03,-83.1250001E-03
-159.5000E-06,+199.3750052E-03,-59.2968748E-03
-159.0000E-06,+185.7031300E-03,-37.0312494E-03
-158.5000E-06,+171.2500048E-03,-14.3749991E-03
-158.0000E-06,+156.4062546E-03,+9.4531263E-03
-157.5000E-06,+141.9531294E-03,+31.7187516E-03
-157.0000E-06,+127.1093791E-03,+53.5937519E-03
-156.5000E-06,+111.4843789E-03,+72.7343772E-03
-156.0000E-06,+96.6406287E-03,+91.0937525E-03
-155.5000E-06,+81.0156284E-03,+107.8906277E-03
-155.0000E-06,+66.1718782E-03,+123.1250030E-03
-154.5000E-06,+51.3281280E-03,+136.0156281E-03
-154.0000E-06,+36.0937528E-03,+147.3437533E-03
-153.5000E-06,+21.2500026E-03,+157.1093785E-03
-153.0000E-06,+5.6250023E-03,+164.1406286E-03
-152.5000E-06,-9.9999979E-03,+169.6093786E-03
-152.0000E-06,-25.6249981E-03,+171.9531287E-03
-151.5000E-06,-41.6406234E-03,+173.1250037E-03
-151.0000E-06,-57.2656236E-03,+171.5625037E-03
-150.5000E-06,-71.3281238E-03,+169.2187536E-03
-150.0000E-06,-85.7812490E-03,+164.5312536E-03
-149.5000E-06,-100.6249993E-03,+159.0625035E-03
-149.0000E-06,-115.4687495E-03,+151.2500034E-03
-148.5000E-06,-131.4843747E-03,+142.2656282E-03
-148.0000E-06,-147.1093750E-03,+133.2812531E-03
-147.5000E-06,-161.9531252E-03,+122.7343779E-03
-147.0000E-06,-176.0156254E-03,+111.7968778E-03
-146.5000E-06,-190.0781256E-03,+102.8125026E-03
-146.0000E-06,-206.0937508E-03,+87.9687524E-03
-145.5000E-06,-219.3750010E-03,+78.9843773E-03
-145.0000E-06,-233.4375012E-03,+66.4843771E-03
-144.5000E-06,-248.2812515E-03,+59.4531270E-03
-144.0000E-06,-263.1250017E-03,+48.1250018E-03
-143.5000E-06,-272.8906268E-03,+39.9218767E-03
-143.0000E-06,-288.5156271E-03,+30.9375016E-03
-142.5000E-06,-301.0156273E-03,+23.9062515E-03
-142.0000E-06,-313.5156274E-03,+17.2656264E-03
-141.5000E-06,-326.4062526E-03,+11.7968763E-03
-141.0000E-06,-338.5156278E-03,+7.8906262E-03
-140.5000E-06,-349.0625030E-03,+7.1093762E-03
-140.0000E-06,-361.5625032E-03,+2.4218762E-03
-139.5000E-06,-371.7187533E-03,+5.9375012E-03
-139.0000E-06,-381.0937534E-03,+5.9375012E-03
-138.5000E-06,-391.6406286E-03,+7.8906262E-03
-138.0000E-06,-402.1875038E-03,+11.0156263E-03
-137.5000E-06,-411.5625039E-03,+14.9218763E-03
-137.0000E-06,-420.9375040E-03,+20.0000014E-03
-136.5000E-06,-429.9218792E-03,+25.8593765E-03
-136.0000E-06,-438.5156293E-03,+32.8906266E-03
-135.5000E-06,-445.9375044E-03,+39.5312517E-03
-135.0000E-06,-453.7500045E-03,+47.7343768E-03
-134.5000E-06,-460.7812546E-03,+53.9843769E-03
-134.0000E-06,-468.2031297E-03,+62.1875020E-03
-133.5000E-06,-475.2343798E-03,+66.0937521E-03
-133.0000E-06,-477.5781299E-03,+76.2500023E-03
-132.5000E-06,-489.2968801E-03,+67.6562521E-03
-132.0000E-06,-489.2968801E-03,+70.3906272E-03
-131.5000E-06,-491.2500051E-03,+77.0312523E-03
-131.0000E-06,-492.0312551E-03,+85.6250024E-03
-130.5000E-06,-496.7187552E-03,+93.8281275E-03
-130.0000E-06,-502.5781303E-03,+98.5156276E-03
-129.5000E-06,-508.4375053E-03,+104.7656277E-03
-129.0000E-06,-513.9062554E-03,+105.5468777E-03
-128.5000E-06,-517.8125055E-03,+106.7187527E-03
-128.0000E-06,-517.8125055E-03,+109.4531277E-03
-127.5000E-06,-517.4218805E-03,+112.5781278E-03
-127.0000E-06,-515.4687554E-03,+115.3125028E-03
-126.5000E-06,-512.7343804E-03,+116.4843779E-03
-126.0000E-06,-511.5625054E-03,+117.2656279E-03
-125.5000E-06,-509.6093804E-03,+115.7031278E-03
-125.0000E-06,-509.2187554E-03,+112.1875028E-03
-124.5000E-06,-507.2656303E-03,+108.6718777E-03
-124.0000E-06,-505.3125053E-03,+105.9375027E-03
-123.5000E-06,-502.5781303E-03,+101.6406276E-03
-123.0000E-06,-497.8906302E-03,+97.7343776E-03
-122.5000E-06,-492.8125051E-03,+93.4375025E-03
-122.0000E-06,-488.1250050E-03,+87.5781274E-03
-121.5000E-06,-482.6562550E-03,+80.9375023E-03
-121.0000E-06,-477.5781299E-03,+75.0781272E-03
-120.5000E-06,-472.5000048E-03,+68.4375021E-03
-120.0000E-06,-465.4687547E-03,+62.5781271E-03
-119.5000E-06,-458.8281296E-03,+56.7187520E-03
-119.0000E-06,-450.2343795E-03,+50.8593769E-03
-118.5000E-06,-443.2031294E-03,+45.7812518E-03
-118.0000E-06,-433.8281292E-03,+40.3125017E-03
-117.5000E-06,-426.4062541E-03,+35.2343766E-03
-117.0000E-06,-417.4218790E-03,+29.3750016E-03
-116.5000E-06,-408.0468788E-03,+25.0781265E-03
-116.0000E-06,-398.6718787E-03,+20.0000014E-03
-115.5000E-06,-388.5156286E-03,+16.4843764E-03
-115.0000E-06,-377.5781284E-03,+13.7500013E-03
-114.5000E-06,-367.4218782E-03,+11.7968763E-03
-114.0000E-06,-356.4843781E-03,+8.6718762E-03
-113.5000E-06,-345.9375029E-03,+6.3281262E-03
-113.0000E-06,-334.2187527E-03,+4.3750012E-03
-112.5000E-06,-321.7187526E-03,+2.8125012E-03
-112.0000E-06,-309.2187524E-03,+1.2500011E-03
-111.5000E-06,-295.9375022E-03,-312.4989E-06
-111.0000E-06,-283.4375020E-03,-1.0937489E-03
-110.5000E-06,-270.9375018E-03,-6.5624990E-03
-110.0000E-06,-253.7500015E-03,-703.1239E-06
-109.5000E-06,-242.4218764E-03,-8.1249990E-03
-109.0000E-06,-228.3593762E-03,-10.8593740E-03
-108.5000E-06,-213.9062510E-03,-13.2031241E-03
-108.0000E-06,-200.2343757E-03,-16.7187491E-03
-107.5000E-06,-185.3906255E-03,-21.4062492E-03
-107.0000E-06,-170.5468753E-03,-26.4843743E-03
-106.5000E-06,-155.7031251E-03,-31.5624994E-03
-106.0000E-06,-141.2499999E-03,-38.2031245E-03
-105.5000E-06,-125.6249996E-03,-46.0156246E-03
-105.0000E-06,-110.3906244E-03,-54.2187497E-03
-104.5000E-06,-94.7656242E-03,-62.8124998E-03
-104.0000E-06,-81.0937490E-03,-77.6562500E-03
-103.5000E-06,-64.6874987E-03,-83.9062501E-03
-103.0000E-06,-50.2343735E-03,-99.9218754E-03
-102.5000E-06,-35.3906233E-03,-113.2031256E-03
-102.0000E-06,-19.7656231E-03,-128.4375008E-03
-101.5000E-06,-2.5781228E-03,-144.4531260E-03
-101.0000E-06,+10.7031274E-03,-160.4687513E-03
-100.5000E-06,+27.1093776E-03,-177.6562515E-03
-100.0000E-06,+41.5625029E-03,-194.0625018E-03
-99.5000E-06,+56.4062531E-03,-213.5937521E-03
-99.0000E-06,+72.4218783E-03,-229.6093773E-03
-98.5000E-06,+87.6562535E-03,-247.9687526E-03
-98.0000E-06,+102.8906288E-03,-266.7187529E-03
-97.5000E-06,+118.1250040E-03,-285.8593781E-03
-97.0000E-06,+133.7500042E-03,-303.4375034E-03
-96.5000E-06,+148.9843795E-03,-321.4062537E-03
-96.0000E-06,+163.0468797E-03,-338.9843789E-03
-95.5000E-06,+176.7187549E-03,-356.1718792E-03
-95.0000E-06,+190.7812551E-03,-371.7968794E-03
-94.5000E-06,+204.0625053E-03,-387.0312546E-03
-94.0000E-06,+218.1250055E-03,-401.8750049E-03
-93.5000E-06,+231.4062557E-03,-415.5468801E-03
-93.0000E-06,+244.6875059E-03,-428.8281303E-03
