x-axis,B,2
second,Volt,Volt
-150.0000E-06,+261.3281289E-03,+304.3750047E-03
-149.5000E-06,+256.6406288E-03,+308.2812548E-03
-149.0000E-06,+251.1718787E-03,+321.1718800E-03
-148.5000E-06,+246.0937537E-03,+323.1250050E-03
-148.0000E-06,+241.4062536E-03,+323.1250050E-03
-147.5000E-06,+235.5468785E-03,+321.1718800E-03
-147.0000E-06,+230.0781284E-03,+319.2187549E-03
-146.5000E-06,+225.0000034E-03,+319.6093799E-03
-146.0000E-06,+219.9218783E-03,+320.3906300E-03
-145.5000E-06,+214.8437532E-03,+312.9687548E-03
-145.0000E-06,+208.9843781E-03,+302.4218797E-03
-144.5000E-06,+203.9062530E-03,+305.1562547E-03
-144.0000E-06,+200.0000030E-03,+311.7968798E-03
-143.5000E-06,+194.9218779E-03,+315.3125049E-03
-143.0000E-06,+189.4531278E-03,+316.0937549E-03
-142.5000E-06,+184.3750027E-03,+314.9218799E-03
-142.0000E-06,+179.6875027E-03,+322.3437550E-03
-141.5000E-06,+173.4375026E-03,+338.3593802E-03
-141.0000E-06,+167.1875025E-03,+333.6718802E-03
-140.5000E-06,+161.3281274E-03,+325.4687550E-03
-140.0000E-06,+155.0781273E-03,+321.5625050E-03
-139.5000E-06,+148.8281272E-03,+321.1718800E-03
-139.0000E-06,+143.3593771E-03,+322.3437550E-03
-138.5000E-06,+137.5000020E-03,+318.0468799E-03
-138.0000E-06,+132.8125020E-03,+300.8593797E-03
-137.5000E-06,+126.9531269E-03,+300.0781297E-03
-137.0000E-06,+121.4843768E-03,+304.3750047E-03
-136.5000E-06,+116.7968767E-03,+306.7187548E-03
-136.0000E-06,+112.1093767E-03,+306.7187548E-03
-135.5000E-06,+106.6406266E-03,+304.7656297E-03
-135.0000E-06,+100.7812515E-03,+300.0781297E-03
-134.5000E-06,+95.7031264E-03,+328.2031301E-03
-134.0000E-06,+90.2343763E-03,+318.0468799E-03
-133.5000E-06,+84.3750013E-03,+310.2343798E-03
-133.0000E-06,+77.7343762E-03,+306.3281298E-03
-132.5000E-06,+71.4843761E-03,+304.3750047E-03
-132.0000E-06,+66.0156260E-03,+302.0312547E-03
-131.5000E-06,+59.7656259E-03,+301.2500047E-03
-131.0000E-06,+53.5156258E-03,+286.4062545E-03
-130.5000E-06,+48.4375007E-03,+277.8125043E-03
-130.0000E-06,+42.9687506E-03,+280.1562544E-03
-129.5000E-06,+37.8906256E-03,+284.8437544E-03
-129.0000E-06,+32.4218755E-03,+286.0156294E-03
-128.5000E-06,+26.5625004E-03,+284.0625044E-03
-128.0000E-06,+20.7031253E-03,+281.7187544E-03
-127.5000E-06,+15.6250002E-03,+296.5625046E-03
-127.0000E-06,+8.5937501E-03,+295.0000046E-03
-126.5000E-06,+3.1250000E-03,+293.4375046E-03
-126.0000E-06,-2.7343750E-03,+288.7500045E-03
-125.5000E-06,-8.9843751E-03,+284.4531294E-03
-125.0000E-06,-15.2343752E-03,+282.5000044E-03
-124.5000E-06,-20.7031253E-03,+281.7187544E-03
-124.0000E-06,-25.3906254E-03,+273.5156293E-03
-123.5000E-06,-30.8593755E-03,+261.0156291E-03
-123.0000E-06,-37.1093756E-03,+261.7968791E-03
-122.5000E-06,-41.7968756E-03,+265.7031291E-03
-122.0000E-06,-46.8750007E-03,+268.0468792E-03
-121.5000E-06,-52.7343758E-03,+266.8750042E-03
-121.0000E-06,-59.7656259E-03,+264.5312541E-03
-120.5000E-06,-65.2343760E-03,+265.7031291E-03
-120.0000E-06,-70.3125010E-03,+287.5781295E-03
-119.5000E-06,-76.5625011E-03,+278.9843793E-03
-119.0000E-06,-83.9843763E-03,+268.8281292E-03
-118.5000E-06,-89.8437513E-03,+263.7500041E-03
-118.0000E-06,-96.0937514E-03,+262.5781291E-03
-117.5000E-06,-101.9531265E-03,+261.4062541E-03
-117.0000E-06,-107.8125016E-03,+258.2812540E-03
-116.5000E-06,-114.0625017E-03,+239.1406287E-03
-116.0000E-06,-119.1406268E-03,+236.0156287E-03
-115.5000E-06,-124.2187519E-03,+238.3593787E-03
-115.0000E-06,-129.2968769E-03,+240.7031288E-03
-114.5000E-06,-133.9843770E-03,+239.5312538E-03
-114.0000E-06,-139.0625021E-03,+236.4062537E-03
-113.5000E-06,-144.9218772E-03,+231.3281286E-03
-113.0000E-06,-150.3906272E-03,+253.2031290E-03
-112.5000E-06,-156.2500023E-03,+244.6093788E-03
-112.0000E-06,-161.3281274E-03,+236.7968787E-03
-111.5000E-06,-168.3593775E-03,+231.7187536E-03
-111.0000E-06,-174.2187526E-03,+227.4218786E-03
-110.5000E-06,-180.0781277E-03,+223.9062535E-03
-110.0000E-06,-185.5468778E-03,+220.7812535E-03
-109.5000E-06,-191.0156278E-03,+205.5468782E-03
-109.0000E-06,-197.6562529E-03,+193.0468781E-03
-108.5000E-06,-202.7343780E-03,+194.6093781E-03
-108.0000E-06,-207.4218781E-03,+196.9531281E-03
-107.5000E-06,-211.7187532E-03,+196.5625031E-03
-107.0000E-06,-217.9687532E-03,+193.0468781E-03
-106.5000E-06,-223.0468783E-03,+188.7500030E-03
-106.0000E-06,-227.7343784E-03,+200.0781282E-03
-105.5000E-06,-232.4218785E-03,+200.4687532E-03
-105.0000E-06,-238.6718786E-03,+197.3437531E-03
-104.5000E-06,-244.9218786E-03,+188.3593780E-03
-104.0000E-06,-250.7812537E-03,+181.3281279E-03
-103.5000E-06,-256.2500038E-03,+178.2031278E-03
-103.0000E-06,-261.7187539E-03,+175.8593778E-03
-102.5000E-06,-266.7968790E-03,+165.3125026E-03
-102.0000E-06,-271.4843790E-03,+150.4687524E-03
-101.5000E-06,-276.1718791E-03,+148.5156274E-03
-101.0000E-06,-280.8593792E-03,+151.2500024E-03
-100.5000E-06,-285.1562542E-03,+152.0312525E-03
-100.0000E-06,-289.8437543E-03,+149.2968774E-03
-99.5000E-06,-293.7500044E-03,+146.1718774E-03
-99.0000E-06,-299.2187545E-03,+141.8750023E-03
-98.5000E-06,-303.9062545E-03,+170.3906277E-03
-98.0000E-06,-308.2031296E-03,+157.1093775E-03
-97.5000E-06,-312.8906297E-03,+145.0000023E-03
-97.0000E-06,-318.3593797E-03,+139.5312523E-03
-96.5000E-06,-323.0468798E-03,+136.7968772E-03
-96.0000E-06,-327.3437549E-03,+135.2343772E-03
-95.5000E-06,-332.0312549E-03,+132.1093772E-03
-95.0000E-06,-336.7187550E-03,+111.0156268E-03
-94.5000E-06,-341.4062551E-03,+105.5468768E-03
-94.0000E-06,-345.7031302E-03,+106.7187518E-03
-93.5000E-06,-348.0468802E-03,+108.6718768E-03
-93.0000E-06,-352.7343803E-03,+107.8906268E-03
-92.5000E-06,-356.2500053E-03,+103.9843767E-03
-92.0000E-06,-360.5468804E-03,+100.8593767E-03
-91.5000E-06,-364.4531304E-03,+116.0937519E-03
-91.0000E-06,-368.7500055E-03,+109.4531268E-03
-90.5000E-06,-373.8281306E-03,+103.2031267E-03
-90.0000E-06,-378.9062556E-03,+97.3437516E-03
-89.5000E-06,-383.2031307E-03,+91.0937515E-03
-89.0000E-06,-387.1093808E-03,+87.5781265E-03
-88.5000E-06,-390.6250058E-03,+83.2812514E-03
-88.0000E-06,-394.5312559E-03,+70.7812512E-03
-87.5000E-06,-398.0468809E-03,+55.1562510E-03
-87.0000E-06,-402.3437560E-03,+55.1562510E-03
-86.5000E-06,-405.0781310E-03,+56.7187510E-03
-86.0000E-06,-408.5937561E-03,+55.5468760E-03
-85.5000E-06,-411.3281311E-03,+52.0312510E-03
-85.0000E-06,-415.2343812E-03,+46.9531259E-03
-84.5000E-06,-418.3593812E-03,+53.9843760E-03
-84.0000E-06,-421.4843813E-03,+60.2343761E-03
-83.5000E-06,-425.0000063E-03,+53.5937510E-03
-83.0000E-06,-429.2968814E-03,+42.6562508E-03
-82.5000E-06,-433.5937565E-03,+34.8437507E-03
-82.0000E-06,-437.5000065E-03,+31.3281257E-03
-81.5000E-06,-440.2343816E-03,+28.5937506E-03
-81.0000E-06,-443.7500066E-03,+19.6093755E-03
-80.5000E-06,-446.4843817E-03,+2.0312502E-03
-80.0000E-06,-449.2187567E-03,-703.1248E-06
-79.5000E-06,-451.5625067E-03,+468.7502E-06
-79.0000E-06,-453.9062568E-03,+859.3752E-06
-78.5000E-06,-456.6406318E-03,-1.0937498E-03
-78.0000E-06,-458.9843818E-03,-5.3906249E-03
-77.5000E-06,-461.3281319E-03,-10.8593750E-03
-77.0000E-06,-463.2812569E-03,+17.2656254E-03
-76.5000E-06,-466.7968820E-03,+3.5937502E-03
-76.0000E-06,-469.5312570E-03,-6.5624999E-03
-75.5000E-06,-473.0468820E-03,-12.4218750E-03
-75.0000E-06,-475.0000071E-03,-15.1562500E-03
-74.5000E-06,-477.3437571E-03,-17.8906251E-03
-74.0000E-06,-479.2968821E-03,-19.8437501E-03
-73.5000E-06,-482.4218822E-03,-38.9843754E-03
-73.0000E-06,-483.9843822E-03,-48.3593755E-03
-72.5000E-06,-486.3281322E-03,-46.0156255E-03
-72.0000E-06,-487.5000073E-03,-44.0625005E-03
-71.5000E-06,-488.6718823E-03,-44.8437505E-03
-71.0000E-06,-489.8437573E-03,-48.7500005E-03
-70.5000E-06,-491.7968823E-03,-49.1406255E-03
-70.0000E-06,-493.7500074E-03,-41.3281254E-03
-69.5000E-06,-495.3125074E-03,-43.2812505E-03
-69.0000E-06,-496.8750074E-03,-47.5781255E-03
-68.5000E-06,-499.6093824E-03,-54.2187506E-03
-68.0000E-06,-501.5625075E-03,-60.4687507E-03
-67.5000E-06,-502.7343825E-03,-64.7656258E-03
-67.0000E-06,-504.2968825E-03,-68.6718758E-03
-66.5000E-06,-505.0781325E-03,-81.1718760E-03
-66.0000E-06,-506.2500075E-03,-96.7968763E-03
-65.5000E-06,-507.4218826E-03,-97.5781263E-03
-65.0000E-06,-507.8125076E-03,-96.0156262E-03
-64.5000E-06,-507.8125076E-03,-96.4062513E-03
-64.0000E-06,-508.5937576E-03,-100.3125013E-03
-63.5000E-06,-509.3750076E-03,-104.6093764E-03
-63.0000E-06,-509.7656326E-03,-101.0937513E-03
-62.5000E-06,-509.7656326E-03,-87.0312511E-03
-62.0000E-06,-510.9375076E-03,-96.0156262E-03
-61.5000E-06,-512.1093826E-03,-106.9531264E-03
-61.0000E-06,-513.2812576E-03,-114.7656265E-03
-60.5000E-06,-514.0625077E-03,-117.1093766E-03
-60.0000E-06,-514.8437577E-03,-119.8437516E-03
-59.5000E-06,-514.0625077E-03,-126.8750017E-03
-59.0000E-06,-514.0625077E-03,-146.0156270E-03
-58.5000E-06,-514.4531327E-03,-148.7500020E-03
-58.0000E-06,-514.4531327E-03,-147.5781270E-03
-57.5000E-06,-513.6718827E-03,-146.4062520E-03
