x-axis,B,2
second,Volt,Volt
-250.0000E-06,+253.9062538E-03,+225.7812534E-03
-249.5000E-06,+257.8125038E-03,+199.2187530E-03
-249.0000E-06,+262.5000039E-03,+183.9843777E-03
-248.5000E-06,+267.9687540E-03,+177.3437526E-03
-248.0000E-06,+272.6562541E-03,+195.3125029E-03
-247.5000E-06,+277.3437541E-03,+208.9843781E-03
-247.0000E-06,+281.2500042E-03,+197.6562529E-03
-246.5000E-06,+285.9375043E-03,+178.5156277E-03
-246.0000E-06,+290.2343793E-03,+143.3593771E-03
-245.5000E-06,+294.9218794E-03,+152.3437523E-03
-245.0000E-06,+299.6093795E-03,+150.7812522E-03
-244.5000E-06,+303.9062545E-03,+168.3593775E-03
-244.0000E-06,+308.5937546E-03,+161.7187524E-03
-243.5000E-06,+312.5000047E-03,+151.9531273E-03
-243.0000E-06,+315.2343797E-03,+125.7812519E-03
-242.5000E-06,+320.3125048E-03,+111.7187517E-03
-242.0000E-06,+325.0000048E-03,+105.4687516E-03
-241.5000E-06,+329.6875049E-03,+126.1718769E-03
-241.0000E-06,+333.2031300E-03,+134.7656270E-03
-240.5000E-06,+337.5000050E-03,+124.6093769E-03
-240.0000E-06,+341.0156301E-03,+101.1718765E-03
-239.5000E-06,+344.5312551E-03,+73.8281261E-03
-239.0000E-06,+348.0468802E-03,+76.5625011E-03
-238.5000E-06,+351.9531302E-03,+85.1562513E-03
-238.0000E-06,+356.6406303E-03,+101.1718765E-03
-237.5000E-06,+360.5468804E-03,+93.7500014E-03
-237.0000E-06,+363.6718804E-03,+79.6875012E-03
-236.5000E-06,+367.5781305E-03,+46.0937507E-03
-236.0000E-06,+371.0937555E-03,+51.9531258E-03
-235.5000E-06,+374.6093806E-03,+48.4375007E-03
-235.0000E-06,+377.7343806E-03,+67.5781260E-03
-234.5000E-06,+381.2500057E-03,+67.9687510E-03
-234.0000E-06,+384.7656307E-03,+60.9375009E-03
-233.5000E-06,+387.5000058E-03,+33.9843755E-03
-233.0000E-06,+390.6250058E-03,+19.9218753E-03
-232.5000E-06,+394.1406309E-03,+16.4062502E-03
-232.0000E-06,+397.2656309E-03,+39.0625006E-03
-231.5000E-06,+401.1718810E-03,+53.5156258E-03
-231.0000E-06,+403.1250060E-03,+46.8750007E-03
-230.5000E-06,+406.2500061E-03,+30.4687505E-03
-230.0000E-06,+409.7656311E-03,+1.5625000E-03
-229.5000E-06,+412.5000061E-03,+13.2812502E-03
-229.0000E-06,+415.2343812E-03,+18.3593753E-03
-228.5000E-06,+418.7500062E-03,+40.2343756E-03
-228.0000E-06,+421.0937563E-03,+41.4062506E-03
-227.5000E-06,+423.8281313E-03,+34.3750005E-03
-227.0000E-06,+426.1718814E-03,+8.2031251E-03
-226.5000E-06,+428.5156314E-03,+11.7187502E-03
-226.0000E-06,+430.8593814E-03,+14.8437502E-03
-225.5000E-06,+433.9843815E-03,+39.8437506E-03
-225.0000E-06,+436.3281315E-03,+54.2968758E-03
-224.5000E-06,+438.6718815E-03,+51.9531258E-03
-224.0000E-06,+439.8437566E-03,+37.8906256E-03
-223.5000E-06,+441.7968816E-03,+23.4375003E-03
-223.0000E-06,+444.1406316E-03,+30.8593755E-03
-222.5000E-06,+446.0937566E-03,+55.4687508E-03
-222.0000E-06,+448.4375067E-03,+82.8125012E-03
-221.5000E-06,+450.0000067E-03,+81.6406262E-03
-221.0000E-06,+451.9531317E-03,+77.7343762E-03
-220.5000E-06,+452.7343817E-03,+56.6406258E-03
-220.0000E-06,+454.6875068E-03,+74.6093761E-03
-219.5000E-06,+456.6406318E-03,+83.5937512E-03
-219.0000E-06,+458.5937568E-03,+114.8437517E-03
-218.5000E-06,+459.3750068E-03,+125.3906269E-03
-218.0000E-06,+460.5468819E-03,+129.2968769E-03
-217.5000E-06,+462.1093819E-03,+113.6718767E-03
-217.0000E-06,+462.8906319E-03,+114.0625017E-03
-216.5000E-06,+464.4531319E-03,+121.4843768E-03
-216.0000E-06,+465.6250069E-03,+155.0781273E-03
-215.5000E-06,+466.4062569E-03,+182.4218777E-03
-215.0000E-06,+467.9687570E-03,+186.3281278E-03
-214.5000E-06,+469.1406320E-03,+178.5156277E-03
-214.0000E-06,+469.9218820E-03,+158.9843774E-03
-213.5000E-06,+470.3125070E-03,+181.6406277E-03
-213.0000E-06,+470.7031320E-03,+198.0468780E-03
-212.5000E-06,+471.4843820E-03,+225.3906284E-03
-212.0000E-06,+471.8750070E-03,+234.3750035E-03
-211.5000E-06,+472.2656320E-03,+237.5000035E-03
-211.0000E-06,+473.0468820E-03,+215.6250032E-03
-210.5000E-06,+473.4375071E-03,+224.2187533E-03
-210.0000E-06,+473.8281321E-03,+232.0312535E-03
-209.5000E-06,+474.2187571E-03,+263.6718789E-03
-209.0000E-06,+474.2187571E-03,+279.2968792E-03
