x-axis,B,2
second,Volt,Volt
-2.400000E-03,-434.765631E-03,-218.671878E-03
-2.395000E-03,-440.625007E-03,-201.484378E-03
-2.390000E-03,-447.265632E-03,-217.500003E-03
-2.385000E-03,-453.125007E-03,-234.296878E-03
-2.380000E-03,-458.593757E-03,-215.546878E-03
-2.375000E-03,-463.671882E-03,-232.343753E-03
-2.370000E-03,-468.750007E-03,-247.968754E-03
-2.365000E-03,-473.437507E-03,-229.218753E-03
-2.360000E-03,-478.125007E-03,-246.015628E-03
-2.355000E-03,-482.031257E-03,-260.468754E-03
-2.350000E-03,-486.328132E-03,-241.328128E-03
-2.345000E-03,-490.625007E-03,-258.906254E-03
-2.340000E-03,-493.359382E-03,-271.796879E-03
-2.335000E-03,-496.484382E-03,-251.484379E-03
-2.330000E-03,-500.390632E-03,-269.453129E-03
-2.325000E-03,-502.343757E-03,-281.562504E-03
-2.320000E-03,-504.296883E-03,-262.031254E-03
-2.315000E-03,-507.421883E-03,-279.609379E-03
-2.310000E-03,-508.984383E-03,-290.546879E-03
-2.305000E-03,-510.156258E-03,-269.062504E-03
-2.300000E-03,-511.718758E-03,-287.031254E-03
-2.295000E-03,-512.890633E-03,-297.187504E-03
-2.290000E-03,-513.281258E-03,-275.703129E-03
-2.285000E-03,-514.062508E-03,-293.281254E-03
-2.280000E-03,-514.062508E-03,-301.875004E-03
-2.275000E-03,-513.671883E-03,-280.390629E-03
-2.270000E-03,-513.671883E-03,-299.140629E-03
-2.265000E-03,-513.671883E-03,-306.562504E-03
-2.260000E-03,-512.500008E-03,-283.906254E-03
-2.255000E-03,-511.718758E-03,-302.265629E-03
-2.250000E-03,-510.156258E-03,-308.125004E-03
-2.245000E-03,-508.593758E-03,-286.250004E-03
-2.240000E-03,-507.031258E-03,-304.218754E-03
-2.235000E-03,-504.296883E-03,-309.296879E-03
-2.230000E-03,-501.953132E-03,-285.859379E-03
-2.225000E-03,-499.609382E-03,-305.390629E-03
-2.220000E-03,-496.093757E-03,-309.296879E-03
-2.215000E-03,-493.359382E-03,-285.078129E-03
-2.210000E-03,-489.843757E-03,-303.437504E-03
-2.205000E-03,-485.937507E-03,-306.171879E-03
-2.200000E-03,-481.640632E-03,-283.125004E-03
-2.195000E-03,-477.734382E-03,-301.875004E-03
-2.190000E-03,-472.656257E-03,-301.875004E-03
-2.185000E-03,-467.578132E-03,-279.218754E-03
-2.180000E-03,-463.281257E-03,-297.187504E-03
-2.175000E-03,-458.203132E-03,-296.796879E-03
-2.170000E-03,-452.343757E-03,-274.140629E-03
-2.165000E-03,-447.265632E-03,-291.718754E-03
-2.160000E-03,-440.234382E-03,-289.375004E-03
-2.155000E-03,-433.984381E-03,-267.500004E-03
-2.150000E-03,-427.343756E-03,-285.468754E-03
-2.145000E-03,-420.312506E-03,-281.171879E-03
-2.140000E-03,-412.890631E-03,-258.906254E-03
-2.135000E-03,-406.250006E-03,-275.703129E-03
-2.130000E-03,-398.437506E-03,-271.015629E-03
-2.125000E-03,-391.015631E-03,-249.921879E-03
-2.120000E-03,-383.203131E-03,-266.328129E-03
-2.115000E-03,-375.390631E-03,-259.687504E-03
-2.110000E-03,-366.796880E-03,-238.203128E-03
-2.105000E-03,-358.984380E-03,-255.390629E-03
-2.100000E-03,-349.609380E-03,-247.578129E-03
-2.095000E-03,-341.015630E-03,-225.312503E-03
-2.090000E-03,-332.812505E-03,-242.500003E-03
-2.085000E-03,-323.437505E-03,-233.125003E-03
-2.080000E-03,-314.453130E-03,-211.640628E-03
-2.075000E-03,-306.250005E-03,-228.828128E-03
-2.070000E-03,-296.093754E-03,-217.500003E-03
-2.065000E-03,-286.328129E-03,-196.796878E-03
-2.060000E-03,-276.953129E-03,-213.203128E-03
-2.055000E-03,-266.406254E-03,-201.484378E-03
-2.050000E-03,-255.859379E-03,-181.562503E-03
-2.045000E-03,-246.484379E-03,-196.406253E-03
-2.040000E-03,-235.546879E-03,-183.515628E-03
-2.035000E-03,-225.390628E-03,-164.375002E-03
-2.030000E-03,-214.062503E-03,-180.781253E-03
-2.025000E-03,-203.125003E-03,-166.328127E-03
-2.020000E-03,-191.406253E-03,-147.187502E-03
-2.015000E-03,-180.859378E-03,-161.640627E-03
-2.010000E-03,-169.140628E-03,-147.578127E-03
-2.005000E-03,-158.593752E-03,-128.437502E-03
-2.000000E-03,-146.875002E-03,-144.843752E-03
-1.995000E-03,-135.937502E-03,-128.046877E-03
-1.990000E-03,-125.000002E-03,-108.906251E-03
-1.985000E-03,-114.453127E-03,-125.703127E-03
-1.980000E-03,-101.562502E-03,-108.125001E-03
-1.975000E-03,-90.625001E-03,-88.984376E-03
-1.970000E-03,-78.906251E-03,-104.609376E-03
-1.965000E-03,-67.187501E-03,-86.250001E-03
-1.960000E-03,-54.687501E-03,-67.890626E-03
-1.955000E-03,-43.750001E-03,-84.687501E-03
-1.950000E-03,-31.640625E-03,-64.765626E-03
-1.945000E-03,-21.093750E-03,-46.796876E-03
-1.940000E-03,-9.765625E-03,-62.812501E-03
-1.935000E-03,+1.171875E-03,-44.062500E-03
-1.930000E-03,+12.500000E-03,-26.484375E-03
-1.925000E-03,+23.828125E-03,-42.109375E-03
-1.920000E-03,+36.718751E-03,-22.187500E-03
-1.915000E-03,+47.656251E-03,-6.953125E-03
-1.910000E-03,+59.765626E-03,-21.796875E-03
-1.905000E-03,+71.093751E-03,-1.484375E-03
-1.900000E-03,+82.812501E-03,+14.531250E-03
-1.895000E-03,+93.750001E-03,-1.875000E-03
-1.890000E-03,+105.078127E-03,+20.390625E-03
-1.885000E-03,+115.234377E-03,+36.406251E-03
-1.880000E-03,+126.562502E-03,+18.828125E-03
-1.875000E-03,+138.281252E-03,+42.265626E-03
-1.870000E-03,+149.218752E-03,+58.671876E-03
-1.865000E-03,+159.375002E-03,+41.093751E-03
-1.860000E-03,+171.093753E-03,+64.140626E-03
-1.855000E-03,+182.031253E-03,+79.765626E-03
-1.850000E-03,+192.968753E-03,+62.187501E-03
-1.845000E-03,+203.515628E-03,+86.015626E-03
-1.840000E-03,+214.453128E-03,+100.078127E-03
-1.835000E-03,+224.218753E-03,+82.500001E-03
-1.830000E-03,+234.765628E-03,+106.328127E-03
-1.825000E-03,+244.140629E-03,+120.390627E-03
-1.820000E-03,+253.906254E-03,+102.031252E-03
-1.815000E-03,+263.671879E-03,+127.031252E-03
-1.810000E-03,+273.046879E-03,+139.921877E-03
-1.805000E-03,+282.031254E-03,+122.343752E-03
-1.800000E-03,+291.796879E-03,+147.343752E-03
-1.795000E-03,+299.609379E-03,+159.843753E-03
-1.790000E-03,+308.593755E-03,+142.265627E-03
-1.785000E-03,+317.187505E-03,+167.265628E-03
-1.780000E-03,+325.000005E-03,+178.593753E-03
-1.775000E-03,+332.812505E-03,+160.625003E-03
-1.770000E-03,+341.796880E-03,+186.406253E-03
-1.765000E-03,+349.218755E-03,+196.953128E-03
-1.760000E-03,+357.031255E-03,+179.375003E-03
-1.755000E-03,+364.453130E-03,+204.375003E-03
-1.750000E-03,+371.484381E-03,+213.359378E-03
-1.745000E-03,+378.515631E-03,+196.562503E-03
-1.740000E-03,+385.937506E-03,+221.171878E-03
-1.735000E-03,+391.796881E-03,+228.593754E-03
-1.730000E-03,+398.046881E-03,+213.359378E-03
-1.725000E-03,+404.296881E-03,+237.187504E-03
-1.720000E-03,+410.546881E-03,+243.046879E-03
-1.715000E-03,+416.015631E-03,+227.421879E-03
-1.710000E-03,+421.484381E-03,+251.250004E-03
-1.705000E-03,+426.562506E-03,+256.718754E-03
-1.700000E-03,+431.640631E-03,+241.875004E-03
-1.695000E-03,+436.328132E-03,+265.312504E-03
-1.690000E-03,+440.625007E-03,+268.437504E-03
-1.685000E-03,+444.531257E-03,+253.984379E-03
-1.680000E-03,+448.828132E-03,+277.031254E-03
-1.675000E-03,+451.562507E-03,+279.375004E-03
-1.670000E-03,+455.468757E-03,+264.921879E-03
-1.665000E-03,+458.593757E-03,+287.578129E-03
-1.660000E-03,+460.937507E-03,+287.968754E-03
-1.655000E-03,+463.281257E-03,+274.687504E-03
-1.650000E-03,+466.406257E-03,+296.562505E-03
-1.645000E-03,+467.968757E-03,+296.171880E-03
-1.640000E-03,+469.531257E-03,+283.281254E-03
-1.635000E-03,+471.484382E-03,+305.156255E-03
-1.630000E-03,+472.656257E-03,+302.812505E-03
-1.625000E-03,+473.046882E-03,+289.140629E-03
-1.620000E-03,+474.218757E-03,+311.406255E-03
-1.615000E-03,+474.609382E-03,+308.281255E-03
-1.610000E-03,+474.218757E-03,+294.609380E-03
-1.605000E-03,+474.218757E-03,+316.875005E-03
-1.600000E-03,+473.437507E-03,+312.578130E-03
-1.595000E-03,+472.656257E-03,+298.515630E-03
-1.590000E-03,+471.875007E-03,+320.390630E-03
-1.585000E-03,+470.312507E-03,+314.140630E-03
-1.580000E-03,+469.140632E-03,+300.078130E-03
-1.575000E-03,+467.187507E-03,+323.125005E-03
-1.570000E-03,+464.453132E-03,+315.312505E-03
-1.565000E-03,+462.890632E-03,+301.640630E-03
-1.560000E-03,+460.156257E-03,+323.125005E-03
-1.555000E-03,+456.640632E-03,+314.140630E-03
-1.550000E-03,+453.906257E-03,+300.859380E-03
-1.545000E-03,+450.781257E-03,+322.734380E-03
-1.540000E-03,+446.484382E-03,+312.187505E-03
-1.535000E-03,+442.578132E-03,+298.515630E-03
-1.530000E-03,+439.062507E-03,+320.000005E-03
-1.525000E-03,+433.984381E-03,+308.281255E-03
-1.520000E-03,+429.296881E-03,+295.000005E-03
-1.515000E-03,+424.609381E-03,+316.484380E-03
