x-axis,B,2
second,Volt,Volt
-10.00000E-06,+429.68750640E-03,+57.03125085E-03
-9.98000E-06,+431.64063143E-03,+57.81250086E-03
-9.96000E-06,+433.98438147E-03,+57.42187586E-03
-9.94000E-06,+434.76563148E-03,+58.59375087E-03
-9.92000E-06,+437.10938151E-03,+58.20312587E-03
-9.90000E-06,+439.06250654E-03,+58.59375087E-03
-9.88000E-06,+440.62500657E-03,+60.93750091E-03
-9.86000E-06,+442.96875660E-03,+60.15625090E-03
-9.84000E-06,+444.53125662E-03,+60.15625090E-03
-9.82000E-06,+447.65625667E-03,+58.59375087E-03
-9.80000E-06,+450.00000671E-03,+60.15625090E-03
-9.78000E-06,+450.00000671E-03,+59.76562589E-03
-9.76000E-06,+451.17188172E-03,+60.54687590E-03
-9.74000E-06,+452.34375674E-03,+60.54687590E-03
-9.72000E-06,+452.73438175E-03,+58.59375087E-03
-9.70000E-06,+455.85938179E-03,+57.42187586E-03
-9.68000E-06,+456.25000680E-03,+59.37500088E-03
-9.66000E-06,+457.42188182E-03,+58.59375087E-03
-9.64000E-06,+458.98438184E-03,+59.37500088E-03
-9.62000E-06,+461.71875688E-03,+57.42187586E-03
-9.60000E-06,+461.71875688E-03,+56.25000084E-03
-9.58000E-06,+462.50000689E-03,+56.25000084E-03
-9.56000E-06,+460.93750687E-03,+57.42187586E-03
-9.54000E-06,+461.71875688E-03,+58.20312587E-03
-9.52000E-06,+462.89063190E-03,+57.81250086E-03
-9.50000E-06,+463.67188191E-03,+59.37500088E-03
-9.48000E-06,+464.45313192E-03,+56.64062584E-03
-9.46000E-06,+464.06250692E-03,+57.03125085E-03
-9.44000E-06,+464.45313192E-03,+57.81250086E-03
-9.42000E-06,+464.84375693E-03,+58.59375087E-03
-9.40000E-06,+465.62500694E-03,+59.37500088E-03
-9.38000E-06,+464.84375693E-03,+60.15625090E-03
-9.36000E-06,+464.84375693E-03,+59.37500088E-03
-9.34000E-06,+467.18750696E-03,+58.20312587E-03
-9.32000E-06,+466.79688196E-03,+58.98437588E-03
-9.30000E-06,+464.84375693E-03,+58.20312587E-03
-9.28000E-06,+461.32813187E-03,+58.20312587E-03
-9.26000E-06,+463.67188191E-03,+59.37500088E-03
-9.24000E-06,+465.62500694E-03,+59.37500088E-03
-9.22000E-06,+460.93750687E-03,+59.37500088E-03
-9.20000E-06,+462.89063190E-03,+58.59375087E-03
-9.18000E-06,+460.93750687E-03,+57.81250086E-03
-9.16000E-06,+461.71875688E-03,+57.81250086E-03
-9.14000E-06,+457.03125681E-03,+59.76562589E-03
-9.12000E-06,+459.37500685E-03,+57.42187586E-03
-9.10000E-06,+457.81250682E-03,+56.25000084E-03
-9.08000E-06,+457.81250682E-03,+55.07812582E-03
-9.06000E-06,+456.25000680E-03,+57.42187586E-03
-9.04000E-06,+453.90625676E-03,+56.64062584E-03
-9.02000E-06,+452.34375674E-03,+57.03125085E-03
-9.00000E-06,+451.56250673E-03,+55.85937583E-03
-8.98000E-06,+449.60938170E-03,+57.42187586E-03
-8.96000E-06,+448.04688168E-03,+57.03125085E-03
-8.94000E-06,+445.70313164E-03,+57.03125085E-03
-8.92000E-06,+444.53125662E-03,+57.81250086E-03
-8.90000E-06,+445.31250664E-03,+57.42187586E-03
-8.88000E-06,+438.67188154E-03,+58.20312587E-03
-8.86000E-06,+440.23438156E-03,+57.81250086E-03
-8.84000E-06,+435.93750650E-03,+57.03125085E-03
-8.82000E-06,+434.37500647E-03,+57.03125085E-03
-8.80000E-06,+431.25000643E-03,+57.81250086E-03
-8.78000E-06,+428.90625639E-03,+56.64062584E-03
-8.76000E-06,+426.95313136E-03,+57.81250086E-03
-8.74000E-06,+424.21875632E-03,+58.20312587E-03
-8.72000E-06,+421.48438128E-03,+56.64062584E-03
-8.70000E-06,+421.48438128E-03,+56.25000084E-03
-8.68000E-06,+417.96875623E-03,+57.42187586E-03
-8.66000E-06,+414.45313118E-03,+57.81250086E-03
-8.64000E-06,+412.50000615E-03,+56.25000084E-03
-8.62000E-06,+409.37500610E-03,+55.07812582E-03
-8.60000E-06,+405.85938105E-03,+55.85937583E-03
-8.58000E-06,+403.12500601E-03,+55.85937583E-03
-8.56000E-06,+400.00000596E-03,+55.46875083E-03
-8.54000E-06,+394.92188088E-03,+56.25000084E-03
-8.52000E-06,+393.75000587E-03,+56.25000084E-03
-8.50000E-06,+391.01563083E-03,+56.25000084E-03
-8.48000E-06,+388.28125579E-03,+57.03125085E-03
-8.46000E-06,+385.15625574E-03,+57.81250086E-03
-8.44000E-06,+381.64063069E-03,+55.85937583E-03
-8.42000E-06,+377.73438063E-03,+57.42187586E-03
-8.40000E-06,+374.21875558E-03,+57.03125085E-03
-8.38000E-06,+369.53125551E-03,+56.64062584E-03
-8.36000E-06,+365.62500545E-03,+56.25000084E-03
-8.34000E-06,+362.89063041E-03,+55.46875083E-03
-8.32000E-06,+358.59375534E-03,+55.46875083E-03
-8.30000E-06,+355.46875530E-03,+55.07812582E-03
