x-axis,B,2
second,Volt,Volt
-2.500000E-03,-414.453131E-03,-330.468755E-03
-2.495000E-03,-421.875006E-03,-341.796880E-03
-2.490000E-03,-428.125006E-03,-344.921880E-03
-2.485000E-03,-435.156256E-03,-355.859380E-03
-2.480000E-03,-441.796882E-03,-366.796880E-03
-2.475000E-03,-448.046882E-03,-368.750005E-03
-2.470000E-03,-453.515632E-03,-379.296881E-03
-2.465000E-03,-459.375007E-03,-389.062506E-03
-2.460000E-03,-464.062507E-03,-391.015631E-03
-2.455000E-03,-469.140632E-03,-402.343756E-03
-2.450000E-03,-473.828132E-03,-411.328131E-03
-2.445000E-03,-478.515632E-03,-411.328131E-03
-2.440000E-03,-482.812507E-03,-421.875006E-03
-2.435000E-03,-487.109382E-03,-430.078131E-03
-2.430000E-03,-490.625007E-03,-429.687506E-03
-2.425000E-03,-494.140632E-03,-440.234382E-03
-2.420000E-03,-497.265632E-03,-447.265632E-03
-2.415000E-03,-500.000007E-03,-446.484382E-03
-2.410000E-03,-503.125007E-03,-455.859382E-03
-2.405000E-03,-505.468758E-03,-462.890632E-03
-2.400000E-03,-507.421883E-03,-461.328132E-03
-2.395000E-03,-509.375008E-03,-469.921882E-03
-2.390000E-03,-510.937508E-03,-475.781257E-03
-2.385000E-03,-511.718758E-03,-473.828132E-03
-2.380000E-03,-512.890633E-03,-481.250007E-03
-2.375000E-03,-513.671883E-03,-485.937507E-03
-2.370000E-03,-514.062508E-03,-483.984382E-03
-2.365000E-03,-514.453133E-03,-490.234382E-03
-2.360000E-03,-514.453133E-03,-492.968757E-03
-2.355000E-03,-514.062508E-03,-491.406257E-03
-2.350000E-03,-513.281258E-03,-497.656257E-03
-2.345000E-03,-512.890633E-03,-498.828132E-03
-2.340000E-03,-511.718758E-03,-496.875007E-03
-2.335000E-03,-510.546883E-03,-500.781257E-03
-2.330000E-03,-508.984383E-03,-500.000007E-03
-2.325000E-03,-507.031258E-03,-498.437507E-03
-2.320000E-03,-505.078133E-03,-504.296883E-03
-2.315000E-03,-502.343757E-03,-501.171882E-03
-2.310000E-03,-499.218757E-03,-497.656257E-03
-2.305000E-03,-496.484382E-03,-503.125007E-03
-2.300000E-03,-493.359382E-03,-499.609382E-03
-2.295000E-03,-489.843757E-03,-495.312507E-03
-2.290000E-03,-486.328132E-03,-499.609382E-03
