x-axis,B,2
second,Volt,Volt
-10.00000E-06,+446.09375665E-03,+101.56250151E-03
-9.98000E-06,+449.21875669E-03,+102.73437653E-03
-9.96000E-06,+450.00000671E-03,+100.78125150E-03
-9.94000E-06,+453.12500675E-03,+101.17187651E-03
-9.92000E-06,+453.90625676E-03,+101.95312652E-03
-9.90000E-06,+454.29688177E-03,+100.00000149E-03
-9.88000E-06,+457.03125681E-03,+99.60937648E-03
-9.86000E-06,+458.98438184E-03,+100.00000149E-03
-9.84000E-06,+460.93750687E-03,+100.00000149E-03
-9.82000E-06,+460.93750687E-03,+99.21875148E-03
-9.80000E-06,+461.71875688E-03,+101.17187651E-03
-9.78000E-06,+465.23438193E-03,+101.56250151E-03
-9.76000E-06,+464.84375693E-03,+101.56250151E-03
-9.74000E-06,+463.28125690E-03,+101.17187651E-03
-9.72000E-06,+466.40625695E-03,+100.00000149E-03
-9.70000E-06,+466.40625695E-03,+100.00000149E-03
-9.68000E-06,+467.96875697E-03,+100.00000149E-03
-9.66000E-06,+468.75000698E-03,+99.60937648E-03
-9.64000E-06,+469.14063199E-03,+99.60937648E-03
-9.62000E-06,+470.70313201E-03,+100.39062650E-03
-9.60000E-06,+469.92188200E-03,+100.78125150E-03
-9.58000E-06,+470.31250701E-03,+96.87500144E-03
-9.56000E-06,+475.78125709E-03,+102.34375153E-03
-9.54000E-06,+470.70313201E-03,+99.60937648E-03
-9.52000E-06,+471.48438203E-03,+96.87500144E-03
-9.50000E-06,+471.09375702E-03,+99.21875148E-03
-9.48000E-06,+470.70313201E-03,+95.70312643E-03
-9.46000E-06,+471.09375702E-03,+100.39062650E-03
-9.44000E-06,+470.31250701E-03,+94.53125141E-03
-9.42000E-06,+471.09375702E-03,+100.78125150E-03
-9.40000E-06,+469.14063199E-03,+94.53125141E-03
-9.38000E-06,+471.48438203E-03,+102.34375153E-03
-9.36000E-06,+467.18750696E-03,+89.84375134E-03
-9.34000E-06,+473.43750705E-03,+104.68750156E-03
-9.32000E-06,+463.28125690E-03,+96.09375143E-03
-9.30000E-06,+471.48438203E-03,+97.65625146E-03
-9.28000E-06,+466.01563194E-03,+98.43750147E-03
-9.26000E-06,+466.79688196E-03,+98.04687646E-03
-9.24000E-06,+467.18750696E-03,+95.70312643E-03
-9.22000E-06,+462.50000689E-03,+96.09375143E-03
-9.20000E-06,+462.50000689E-03,+96.48437644E-03
-9.18000E-06,+462.10938189E-03,+96.87500144E-03
-9.16000E-06,+459.76563185E-03,+94.53125141E-03
-9.14000E-06,+458.59375683E-03,+99.60937648E-03
-9.12000E-06,+458.20313183E-03,+96.87500144E-03
-9.10000E-06,+456.64063180E-03,+98.43750147E-03
-9.08000E-06,+452.73438175E-03,+95.70312643E-03
-9.06000E-06,+452.73438175E-03,+96.87500144E-03
-9.04000E-06,+451.56250673E-03,+95.70312643E-03
-9.02000E-06,+448.43750668E-03,+96.09375143E-03
-9.00000E-06,+447.65625667E-03,+95.70312643E-03
-8.98000E-06,+445.70313164E-03,+95.70312643E-03
-8.96000E-06,+444.14063162E-03,+93.75000140E-03
-8.94000E-06,+442.18750659E-03,+94.53125141E-03
-8.92000E-06,+439.06250654E-03,+94.53125141E-03
-8.90000E-06,+436.71875651E-03,+96.48437644E-03
-8.88000E-06,+432.81250645E-03,+96.87500144E-03
-8.86000E-06,+430.46875641E-03,+96.09375143E-03
-8.84000E-06,+428.12500638E-03,+98.04687646E-03
-8.82000E-06,+427.34375637E-03,+96.09375143E-03
-8.80000E-06,+425.00000633E-03,+96.09375143E-03
-8.78000E-06,+421.09375627E-03,+95.70312643E-03
-8.76000E-06,+419.53125625E-03,+94.14062640E-03
-8.74000E-06,+416.01563120E-03,+96.87500144E-03
-8.72000E-06,+410.93750612E-03,+96.87500144E-03
-8.70000E-06,+407.81250608E-03,+95.31250142E-03
-8.68000E-06,+404.68750603E-03,+97.26562645E-03
-8.66000E-06,+401.17188098E-03,+95.31250142E-03
-8.64000E-06,+400.00000596E-03,+96.48437644E-03
-8.62000E-06,+395.31250589E-03,+96.87500144E-03
-8.60000E-06,+392.96875586E-03,+96.48437644E-03
-8.58000E-06,+387.89063078E-03,+96.09375143E-03
-8.56000E-06,+384.76563073E-03,+95.70312643E-03
-8.54000E-06,+380.46875567E-03,+96.87500144E-03
-8.52000E-06,+378.12500563E-03,+97.26562645E-03
-8.50000E-06,+375.39063059E-03,+97.65625146E-03
-8.48000E-06,+373.04688056E-03,+96.48437644E-03
-8.46000E-06,+368.75000549E-03,+97.26562645E-03
-8.44000E-06,+364.45313043E-03,+96.87500144E-03
-8.42000E-06,+360.15625537E-03,+99.21875148E-03
-8.40000E-06,+355.85938030E-03,+98.43750147E-03
-8.38000E-06,+352.34375525E-03,+98.04687646E-03
-8.36000E-06,+348.04688019E-03,+98.43750147E-03
-8.34000E-06,+342.96875511E-03,+98.43750147E-03
-8.32000E-06,+337.89063003E-03,+98.04687646E-03
-8.30000E-06,+334.37500498E-03,+97.26562645E-03
-8.28000E-06,+330.46875492E-03,+97.65625146E-03
-8.26000E-06,+325.39062985E-03,+100.00000149E-03
-8.24000E-06,+320.31250477E-03,+98.43750147E-03
-8.22000E-06,+317.18750473E-03,+98.04687646E-03
-8.20000E-06,+313.28125467E-03,+97.26562645E-03
-8.18000E-06,+310.93750463E-03,+99.21875148E-03
-8.16000E-06,+305.46875455E-03,+97.65625146E-03
-8.14000E-06,+300.00000447E-03,+98.82812647E-03
-8.12000E-06,+296.48437942E-03,+98.82812647E-03
-8.10000E-06,+291.01562934E-03,+98.04687646E-03
-8.08000E-06,+284.76562924E-03,+98.82812647E-03
-8.06000E-06,+280.46875418E-03,+99.21875148E-03
-8.04000E-06,+276.95312913E-03,+99.60937648E-03
-8.02000E-06,+270.31250403E-03,+98.82812647E-03
-8.00000E-06,+265.23437895E-03,+99.21875148E-03
-7.98000E-06,+260.93750389E-03,+99.21875148E-03
-7.96000E-06,+255.07812880E-03,+98.04687646E-03
-7.94000E-06,+250.00000373E-03,+99.21875148E-03
-7.92000E-06,+243.35937863E-03,+99.21875148E-03
-7.90000E-06,+240.23437858E-03,+100.39062650E-03
-7.88000E-06,+233.59375348E-03,+101.17187651E-03
-7.86000E-06,+228.51562841E-03,+100.00000149E-03
-7.84000E-06,+224.21875334E-03,+100.00000149E-03
-7.82000E-06,+218.75000326E-03,+98.43750147E-03
-7.80000E-06,+212.50000317E-03,+99.21875148E-03
-7.78000E-06,+208.20312810E-03,+100.00000149E-03
-7.76000E-06,+202.34375302E-03,+100.78125150E-03
-7.74000E-06,+196.09375292E-03,+100.78125150E-03
-7.72000E-06,+189.06250282E-03,+100.39062650E-03
-7.70000E-06,+183.20312773E-03,+100.00000149E-03
-7.68000E-06,+177.34375264E-03,+98.82812647E-03
-7.66000E-06,+172.65625257E-03,+100.00000149E-03
-7.64000E-06,+165.62500247E-03,+101.17187651E-03
-7.62000E-06,+159.76562738E-03,+99.60937648E-03
-7.60000E-06,+155.07812731E-03,+100.00000149E-03
-7.58000E-06,+150.39062724E-03,+100.00000149E-03
-7.56000E-06,+144.14062715E-03,+99.21875148E-03
-7.54000E-06,+136.71875204E-03,+99.60937648E-03
-7.52000E-06,+130.46875194E-03,+99.60937648E-03
-7.50000E-06,+125.00000186E-03,+100.00000149E-03
-7.48000E-06,+118.35937676E-03,+100.00000149E-03
-7.46000E-06,+113.28125169E-03,+101.17187651E-03
-7.44000E-06,+107.03125159E-03,+99.21875148E-03
-7.42000E-06,+100.78125150E-03,+100.00000149E-03
