x-axis,1,2,3,4
+30.000000E-06,-3.179687500000E+00,+140.625000000E-03,+207.031250000E-03,+39.062500000E-03
+30.002000E-06,-3.156250000000E+00,+101.562500000E-03,+218.750000000E-03,-39.062500000E-03
+30.004000E-06,-3.140625000000E+00,+54.687500000E-03,+214.843750000E-03,-117.187500000E-03
+30.006000E-06,-3.148437500000E+00,+31.250000000E-03,+210.937500000E-03,-78.125000000E-03
+30.008000E-06,-3.156250000000E+00,-15.625000000E-03,+207.031250000E-03,-78.125000000E-03
+30.010000E-06,-3.195312500000E+00,-54.687500000E-03,+207.031250000E-03,-39.062500000E-03
+30.012000E-06,-3.187500000000E+00,-93.750000000E-03,+210.937500000E-03,-117.187500000E-03
+30.014000E-06,-3.179687500000E+00,-117.187500000E-03,+210.937500000E-03,-117.187500000E-03
+30.016000E-06,-3.164062500000E+00,-164.062500000E-03,+210.937500000E-03,-78.125000000E-03
+30.018000E-06,-3.179687500000E+00,-210.937500000E-03,+207.031250000E-03,-117.187500000E-03
+30.020000E-06,-3.171875000000E+00,-265.625000000E-03,+203.125000000E-03,-156.249999999E-03
+30.022000E-06,-3.164062500000E+00,-296.875000000E-03,+210.937500000E-03,-78.125000000E-03
+30.024000E-06,-3.148437500000E+00,-328.125000000E-03,+214.843750000E-03,-117.187500000E-03
+30.026000E-06,-3.148437500000E+00,-367.187500001E-03,+214.843750000E-03,-78.125000000E-03
+30.028000E-06,-3.132812500000E+00,-437.500000000E-03,+203.125000000E-03,-78.125000000E-03
+30.030000E-06,-3.132812500000E+00,-468.750000000E-03,+210.937500000E-03,-78.125000001E-03
+30.032000E-06,-3.132812500000E+00,-515.625000000E-03,+218.750000000E-03,-156.249999999E-03
+30.034000E-06,-3.109375000000E+00,-539.062500001E-03,+218.750000000E-03,-78.125000001E-03
+30.036000E-06,-3.085937500000E+00,-593.750000000E-03,+199.218750000E-03,-156.250000000E-03
+30.038000E-06,-3.093750000000E+00,-625.000000001E-03,+210.937500000E-03,-117.187500000E-03
+30.040000E-06,-3.070312500000E+00,-679.687500001E-03,+218.750000000E-03,-156.250000000E-03
+30.042000E-06,-3.085937500000E+00,-726.562500000E-03,+218.750000000E-03,-117.187500000E-03
+30.044000E-06,-3.062500000000E+00,-765.625000000E-03,+210.937500000E-03,-78.125000000E-03
+30.046000E-06,-3.046875000000E+00,-796.875000001E-03,+210.937500000E-03,-78.124999999E-03
+30.048000E-06,-3.023437500000E+00,-843.750000001E-03,+207.031250000E-03,-39.062500000E-03
+30.050000E-06,-3.023437500000E+00,-890.625000001E-03,+214.843750000E-03,-39.062499999E-03
+30.052000E-06,-3.015625000000E+00,-937.500000001E-03,+218.750000000E-03,-1E-12
+30.054000E-06,-2.992187500000E+00,-984.375000001E-03,+214.843750000E-03,-78.124999996E-03
+30.056000E-06,-2.960937500000E+00,-1.031250000000E+00,+195.312500000E-03,+195.312500006E-03
+30.058000E-06,-2.953125000000E+00,-1.046875000001E+00,+203.125000000E-03,+585.937500014E-03
+30.060000E-06,-2.945312500000E+00,-1.101562500001E+00,+195.312500000E-03,+1.445312500013E+00
+30.062000E-06,-2.937500000000E+00,-1.140625000000E+00,+214.843750000E-03,+2.226562500013E+00
+30.064000E-06,-2.937500000000E+00,-1.148437500001E+00,+218.750000000E-03,+3.007812500011E+00
+30.066000E-06,-2.921874999999E+00,-1.187500000001E+00,+207.031249999E-03,+3.632812500009E+00
+30.068000E-06,-2.874999999999E+00,-1.250000000001E+00,+175.781250000E-03,+4.140625000010E+00
+30.070000E-06,-2.843750000000E+00,-1.296875000001E+00,+191.406250001E-03,+4.687500000009E+00
+30.072000E-06,-2.820312500000E+00,-1.335937500000E+00,+218.750000000E-03,+5.156250000009E+00
+30.074000E-06,-2.796874999999E+00,-1.328125000000E+00,+230.468750000E-03,+5.625000000006E+00
+30.076000E-06,-2.765625000000E+00,-1.335937500000E+00,+214.843750000E-03,+5.937500000008E+00
+30.078000E-06,-2.750000000000E+00,-1.343750000001E+00,+203.125000000E-03,+6.328125000007E+00
