x-axis,1,2,3,4
+29.998000E-06,-3.125000000000E+00,+265.625000000E-03,-112.999999896E-03,+9.804687500000E+00
+30.000000E-06,-3.117187500000E+00,+187.500000000E-03,-159.874999896E-03,+9.843750000000E+00
+30.002000E-06,-3.140625000000E+00,+156.250000000E-03,-198.937499896E-03,+9.765625000000E+00
+30.004000E-06,-3.164062500000E+00,+125.000000000E-03,-253.624999896E-03,+9.687500000000E+00
+30.006000E-06,-3.171875000000E+00,+93.750000000E-03,-300.499999896E-03,+9.804687500000E+00
+30.008000E-06,-3.164062500000E+00,+15.625000000E-03,-355.187499896E-03,+9.843750000000E+00
+30.010000E-06,-3.164062500000E+00,+15.625000000E-03,-386.437499896E-03,+9.726562500000E+00
+30.012000E-06,-3.179687500000E+00,-78.125000000E-03,-441.124999896E-03,+9.726562500000E+00
+30.014000E-06,-3.195312500000E+00,-93.750000000E-03,-511.437499896E-03,+9.804687500000E+00
+30.016000E-06,-3.187500000000E+00,-171.875000000E-03,-550.499999896E-03,+9.804687500000E+00
+30.018000E-06,-3.171875000000E+00,-171.875000000E-03,-605.187499896E-03,+9.765625000000E+00
+30.020000E-06,-3.156250000000E+00,-234.375000001E-03,-636.437499896E-03,+9.726562500000E+00
+30.022000E-06,-3.156250000000E+00,-312.500000000E-03,-683.312499896E-03,+9.726562500001E+00
+30.024000E-06,-3.187500000000E+00,-359.375000000E-03,-730.187499896E-03,+9.804687499999E+00
+30.026000E-06,-3.179687500000E+00,-359.375000001E-03,-792.687499896E-03,+9.687500000000E+00
+30.028000E-06,-3.179687500000E+00,-468.750000000E-03,-839.562499896E-03,+9.726562500001E+00
+30.030000E-06,-3.148437500000E+00,-500.000000000E-03,-855.187499896E-03,+9.843749999999E+00
+30.032000E-06,-3.156250000000E+00,-531.250000000E-03,-878.624999896E-03,+9.726562500000E+00
+30.034000E-06,-3.164062500000E+00,-546.875000001E-03,-933.312499896E-03,+9.687500000000E+00
+30.036000E-06,-3.179687500000E+00,-609.375000001E-03,-995.812499896E-03,+9.687500000001E+00
+30.038000E-06,-3.148437500000E+00,-671.875000001E-03,-1.066124999896E+00,+9.765625000000E+00
+30.040000E-06,-3.140625000000E+00,-734.375000001E-03,-1.112999999896E+00,+9.804687499999E+00
+30.042000E-06,-3.125000000000E+00,-781.250000001E-03,-1.144249999896E+00,+9.726562500000E+00
+30.044000E-06,-3.156250000000E+00,-843.750000001E-03,-1.159874999896E+00,+9.687500000002E+00
+30.046000E-06,-3.148437500000E+00,-890.625000000E-03,-1.206749999896E+00,+9.804687500000E+00
+30.048000E-06,-3.132812499999E+00,-921.875000000E-03,-1.245812499897E+00,+9.804687499999E+00
+30.050000E-06,-3.093750000000E+00,-953.125000001E-03,-1.308312499896E+00,+9.726562499999E+00
+30.052000E-06,-3.093750000000E+00,-1.015625000001E+00,-1.316124999897E+00,+9.648437499999E+00
+30.054000E-06,-3.093750000000E+00,-1.078125000001E+00,-1.370812499896E+00,+9.570312499993E+00
+30.056000E-06,-3.101562500000E+00,-1.125000000001E+00,-1.417687499897E+00,+9.140624999988E+00
+30.058000E-06,-3.085937499999E+00,-1.187500000001E+00,-1.487999999896E+00,+8.398437499986E+00
+30.060000E-06,-3.054687499999E+00,-1.265625000001E+00,-1.519249999896E+00,+7.578124999987E+00
+30.062000E-06,-3.015625000000E+00,-1.328125000001E+00,-1.558312499896E+00,+6.835937499988E+00
+30.064000E-06,-2.992187500000E+00,-1.406249999999E+00,-1.566124999897E+00,+6.171874999990E+00
+30.066000E-06,-2.992187500000E+00,-1.343750000000E+00,-1.620812499896E+00,+5.624999999991E+00
+30.068000E-06,-3.000000000000E+00,-1.343750000001E+00,-1.659874999896E+00,+5.117187499989E+00
+30.070000E-06,-2.984375000000E+00,-1.421875000002E+00,-1.691124999896E+00,+4.531249999993E+00
+30.072000E-06,-2.968750000000E+00,-1.546875000001E+00,-1.714562499897E+00,+4.179687499991E+00
+30.074000E-06,-2.960937500000E+00,-1.609375000001E+00,-1.769249999896E+00,+3.749999999993E+00
+30.076000E-06,-2.945312500000E+00,-1.640624999999E+00,-1.800499999896E+00,+3.398437499995E+00
+30.078000E-06,-2.937499999999E+00,-1.609375000002E+00,-1.800499999896E+00,+3.164062499992E+00
+30.080000E-06,-2.906249999999E+00,-1.703125000001E+00,-1.823937499897E+00,+2.812499999993E+00
+30.082000E-06,-2.882812500000E+00,-1.734375000002E+00,-1.902062499896E+00,+2.499999999995E+00
+30.084000E-06,-2.867187500000E+00,-1.828125000000E+00,-1.933312499896E+00,+2.265624999996E+00
+30.086000E-06,-2.851562499999E+00,-1.843750000003E+00,-1.956749999896E+00,+2.070312499998E+00
+30.088000E-06,-2.812499999999E+00,-1.953125000001E+00,-1.980187499896E+00,+1.992187499993E+00
+30.090000E-06,-2.773437500000E+00,-1.984375000002E+00,-2.011437499897E+00,+1.718749999994E+00
+30.092000E-06,-2.757812500000E+00,-2.062500000001E+00,-2.058312499896E+00,+1.484374999998E+00
+30.094000E-06,-2.750000000000E+00,-2.093750000002E+00,-2.089562499896E+00,+1.406249999997E+00
+30.096000E-06,-2.734374999999E+00,-2.187500000001E+00,-2.112999999896E+00,+1.289062499997E+00
+30.098000E-06,-2.695312499999E+00,-2.218750000001E+00,-2.136437499897E+00,+1.171874999996E+00
+30.100000E-06,-2.671874999999E+00,-2.265625000002E+00,-2.167687499897E+00,+1.015624999998E+00
+30.102000E-06,-2.632812500000E+00,-2.328125000003E+00,-2.198937499897E+00,+937.499999997E-03
+30.104000E-06,-2.617187500000E+00,-2.421875000000E+00,-2.245812499897E+00,+820.312499998E-03
+30.106000E-06,-2.601562500000E+00,-2.421875000002E+00,-2.292687499897E+00,+742.187499998E-03
+30.108000E-06,-2.593749999999E+00,-2.500000000001E+00,-2.323937499897E+00,+664.062499999E-03
+30.110000E-06,-2.554687500000E+00,-2.546875000003E+00,-2.355187499896E+00,+624.999999999E-03
