x-axis,1,2,3,4
-85.4000E-06,+2.1386718750E+00,+718.7500000E-03,+695.3125000E-03,+2.0117187500E+00
-85.2000E-06,+2.1113281250E+00,+1.1464843750E+00,+700.1953125E-03,+9.7363281250E+00
-85.0000E-06,+2.0976562500E+00,+699.2187500E-03,+702.1484375E-03,+9.7753906250E+00
-84.8000E-06,+2.0781250000E+00,+2.0371093750E+00,+714.8437500E-03,+9.7558593750E+00
-84.6000E-06,+2.0527343750E+00,+2.0585937500E+00,+734.3750000E-03,+9.7753906250E+00
-84.4000E-06,+2.0292968750E+00,+2.1113281250E+00,+751.9531250E-03,+9.7851562500E+00
-84.2000E-06,+2.0117187500E+00,+2.0703125000E+00,+767.5781250E-03,+9.7851562500E+00
-84.0000E-06,+1.9902343750E+00,+2.1054687500E+00,+786.1328125E-03,+9.7753906250E+00
-83.8000E-06,+1.9746093750E+00,+2.0644531250E+00,+806.6406250E-03,+9.7753906250E+00
-83.6000E-06,+1.9550781250E+00,+2.0683593750E+00,+821.2890625E-03,+9.7851562500E+00
-83.4000E-06,+1.9355468750E+00,+2.0449218750E+00,+832.0312500E-03,+9.7753906250E+00
-83.2000E-06,+1.9082031250E+00,+2.0507812500E+00,+852.5390625E-03,+9.7753906250E+00
-83.0000E-06,+1.8867187500E+00,+2.0332031250E+00,+871.0937500E-03,+9.7753906250E+00
-82.8000E-06,+1.8710937500E+00,+2.0234375000E+00,+883.7890625E-03,+9.7851562500E+00
-82.6000E-06,+1.8417968750E+00,+2.0097656250E+00,+899.4140625E-03,+9.7753906250E+00
-82.4000E-06,+1.8222656250E+00,+2.0000000000E+00,+912.1093750E-03,+9.7851562500E+00
-82.2000E-06,+1.8027343750E+00,+1.9843750000E+00,+926.7578125E-03,+9.7753906250E+00
-82.0000E-06,+1.7792968750E+00,+1.9746093750E+00,+940.4296875E-03,+9.7656250000E+00
-81.8000E-06,+1.7558593750E+00,+1.9609375000E+00,+954.1015625E-03,+9.7656250000E+00
-81.6000E-06,+1.7304687500E+00,+1.9492187500E+00,+966.7968750E-03,+9.7949218750E+00
-81.4000E-06,+1.7070312500E+00,+1.9375000000E+00,+981.4453125E-03,+9.7753906250E+00
-81.2000E-06,+1.6875000000E+00,+1.9179687500E+00,+990.2343750E-03,+9.7949218750E+00
-81.0000E-06,+1.6562500000E+00,+1.8984375000E+00,+1.0019531250E+00,+9.7851562500E+00
-80.8000E-06,+1.6269531250E+00,+1.8847656250E+00,+1.0126953125E+00,+9.7949218750E+00
-80.6000E-06,+1.6132812500E+00,+1.8671875000E+00,+1.0292968750E+00,+9.7851562500E+00
-80.4000E-06,+1.5859375000E+00,+1.8437500000E+00,+1.0361328125E+00,+9.7949218750E+00
-80.2000E-06,+1.5722656250E+00,+1.8281250000E+00,+1.0498046875E+00,+9.7949218750E+00
-80.0000E-06,+1.5410156250E+00,+1.8066406250E+00,+1.0585937500E+00,+9.7851562500E+00
-79.8000E-06,+1.5175781250E+00,+1.7851562500E+00,+1.0664062500E+00,+9.7949218750E+00
-79.6000E-06,+1.4960937500E+00,+1.7597656250E+00,+1.0761718750E+00,+9.7949218750E+00
-79.4000E-06,+1.4746093750E+00,+1.7363281250E+00,+1.0869140625E+00,+9.7851562500E+00
-79.2000E-06,+1.4511718750E+00,+1.7187500000E+00,+1.0957031250E+00,+9.7753906250E+00
-79.0000E-06,+1.4257812500E+00,+1.6933593750E+00,+1.1025390625E+00,+9.7851562500E+00
-78.8000E-06,+1.3964843750E+00,+1.6640625000E+00,+1.1064453125E+00,+9.7851562500E+00
-78.6000E-06,+1.3652343750E+00,+1.6367187500E+00,+1.1113281250E+00,+9.7753906250E+00
-78.4000E-06,+1.3476562500E+00,+1.6230468750E+00,+1.1210937500E+00,+9.7949218750E+00
-78.2000E-06,+1.3203125000E+00,+1.5898437500E+00,+1.1269531250E+00,+9.7851562500E+00
-78.0000E-06,+1.2871093750E+00,+1.5566406250E+00,+1.1259765625E+00,+9.7851562500E+00
-77.8000E-06,+1.2675781250E+00,+1.5390625000E+00,+1.1357421875E+00,+9.7949218750E+00
-77.6000E-06,+1.2402343750E+00,+1.5058593750E+00,+1.1416015625E+00,+9.7949218750E+00
-77.4000E-06,+1.2070312500E+00,+1.4804687500E+00,+1.1455078125E+00,+9.7949218750E+00
-77.2000E-06,+1.1835937500E+00,+1.4609375000E+00,+1.1474609375E+00,+9.7851562500E+00
-77.0000E-06,+1.1523437500E+00,+1.4316406250E+00,+1.1484375000E+00,+9.7753906250E+00
-76.8000E-06,+1.1328125000E+00,+1.4023437500E+00,+1.1542968750E+00,+9.7851562500E+00
-76.6000E-06,+1.1035156250E+00,+1.3769531250E+00,+1.1572265625E+00,+9.7949218750E+00
-76.4000E-06,+1.0761718750E+00,+1.3554687500E+00,+1.1582031250E+00,+9.7851562500E+00
-76.2000E-06,+1.0488281250E+00,+1.3222656250E+00,+1.1601562500E+00,+9.7851562500E+00
-76.0000E-06,+1.0175781250E+00,+1.2910156250E+00,+1.1572265625E+00,+9.7753906250E+00
-75.8000E-06,+988.2812500E-03,+1.2695312500E+00,+1.1621093750E+00,+9.7949218750E+00
-75.6000E-06,+955.0781250E-03,+1.2421875000E+00,+1.1611328125E+00,+9.7851562500E+00
-75.4000E-06,+933.5937500E-03,+1.2128906250E+00,+1.1640625000E+00,+9.7851562500E+00
-75.2000E-06,+904.2968750E-03,+1.1855468750E+00,+1.1630859375E+00,+9.7851562500E+00
-75.0000E-06,+871.0937500E-03,+1.1621093750E+00,+1.1611328125E+00,+9.7949218750E+00
-74.8000E-06,+835.9375000E-03,+1.1347656250E+00,+1.1601562500E+00,+9.7949218750E+00
-74.6000E-06,+806.6406250E-03,+1.1074218750E+00,+1.1582031250E+00,+9.7949218750E+00
-74.4000E-06,+789.0625000E-03,+1.0800781250E+00,+1.1591796875E+00,+9.7753906250E+00
-74.2000E-06,+750.0000000E-03,+1.0468750000E+00,+1.1542968750E+00,+9.8144531250E+00
-74.0000E-06,+722.6562500E-03,+1.0195312500E+00,+1.1533203125E+00,+9.7949218750E+00
-73.8000E-06,+691.4062500E-03,+986.3281250E-03,+1.1484375000E+00,+9.7753906250E+00
-73.6000E-06,+662.1093750E-03,+957.0312500E-03,+1.1474609375E+00,+9.7949218750E+00
