x-axis,1,2,3,4
-69.0020E-06,-7.5000000E-03,+1.8164062500E+00,+1.8108476564E+00,-97.8515625E-03
-68.8020E-06,-38.7500000E-03,+1.8164062500E+00,+1.8088945314E+00,-78.3203125E-03
-68.6020E-06,-70.0000000E-03,+1.8202734375E+00,+1.8069414064E+00,-97.4609375E-03
-68.4020E-06,-101.2500000E-03,+1.8125781250E+00,+1.8069218751E+00,-78.3203125E-03
-68.2020E-06,-128.6328125E-03,+1.8008984375E+00,+1.8030546876E+00,-97.4609375E-03
-68.0020E-06,-155.9765625E-03,+1.8201171875E+00,+1.8049492189E+00,-68.6523437E-03
-67.8020E-06,-173.6523438E-03,+1.8009765625E+00,+1.8011015626E+00,-97.3632813E-03
-67.6020E-06,-208.6328125E-03,+1.7930468750E+00,+1.7991289064E+00,-97.6562500E-03
-67.4020E-06,-251.5234375E-03,+1.8045703125E+00,+1.7991093751E+00,-78.3203125E-03
-67.2020E-06,-271.2890625E-03,+1.8008203125E+00,+1.7991093751E+00,-97.4609375E-03
-67.0020E-06,-310.1562500E-03,+1.8162500000E+00,+1.7952421876E+00,-87.9882812E-03
-66.8020E-06,-335.6835938E-03,+1.7932031250E+00,+1.7913359376E+00,-87.8906250E-03
-66.6020E-06,-366.8750000E-03,+1.7891015625E+00,+1.7932304689E+00,-87.8906250E-03
-66.4020E-06,-403.9257813E-03,+1.7890625000E+00,+1.7913164064E+00,-87.8906250E-03
-66.2020E-06,-437.1679688E-03,+1.7967968750E+00,+1.7893632814E+00,-78.2226562E-03
-66.0020E-06,-468.4375000E-03,+1.7968750000E+00,+1.7893437501E+00,-97.4609375E-03
-65.8020E-06,-497.7539063E-03,+1.7930078125E+00,+1.7854765626E+00,-87.9882812E-03
-65.6020E-06,-527.0507813E-03,+1.7813671875E+00,+1.7873710939E+00,-87.8906250E-03
-65.4020E-06,-560.2148438E-03,+1.8005859375E+00,+1.7815898439E+00,-68.5546875E-03
-65.2020E-06,-589.5507813E-03,+1.7891796875E+00,+1.7795976564E+00,-87.6953125E-03
-65.0020E-06,-616.9140625E-03,+1.7697265625E+00,+1.7737773439E+00,-97.5585938E-03
-64.8020E-06,-651.9921875E-03,+1.7772656250E+00,+1.7737187501E+00,-87.9882812E-03
-64.6020E-06,-679.4140625E-03,+1.7734765625E+00,+1.7795195314E+00,-97.5585938E-03
-64.4020E-06,-712.5585938E-03,+1.7734375000E+00,+1.7737773439E+00,-68.6523437E-03
-64.2020E-06,-739.9609375E-03,+1.7695703125E+00,+1.7775859376E+00,-87.6953125E-03
-64.0020E-06,-771.1718750E-03,+1.7772656250E+00,+1.7737578126E+00,-87.8906250E-03
-63.8020E-06,-806.2890625E-03,+1.7773437500E+00,+1.7679179689E+00,-87.8906250E-03
-63.6020E-06,-835.6445313E-03,+1.7618750000E+00,+1.7678593751E+00,-97.5585938E-03
-63.4020E-06,-861.0742188E-03,+1.7655859375E+00,+1.7659257814E+00,-87.9882812E-03
-63.2020E-06,-894.1992188E-03,+1.7733593750E+00,+1.7678398439E+00,-97.5585938E-03
-63.0020E-06,-927.4023438E-03,+1.7734375000E+00,+1.7678593751E+00,-107.3242188E-03
-62.8020E-06,-954.8046875E-03,+1.7657031250E+00,+1.7639921876E+00,-88.0859375E-03
-62.6020E-06,-984.0820313E-03,+1.7617578125E+00,+1.7600859376E+00,-97.5585938E-03
-62.4020E-06,-1.0172460938E+00,+1.7694531250E+00,+1.7561796876E+00,-78.3203125E-03
-62.2020E-06,-1.0465820313E+00,+1.7656640625E+00,+1.7600078126E+00,-87.7929688E-03
-62.0020E-06,-1.0778125000E+00,+1.7540234375E+00,+1.7561796876E+00,-87.8906250E-03
-61.8020E-06,-1.1090625000E+00,+1.7577734375E+00,+1.7542070314E+00,-87.8906250E-03
-61.6020E-06,-1.1383789063E+00,+1.7500781250E+00,+1.7483867189E+00,-97.5585938E-03
-61.4020E-06,-1.1638085938E+00,+1.7577343750E+00,+1.7502617189E+00,-97.6562500E-03
-61.2020E-06,-1.1988671875E+00,+1.7462109375E+00,+1.7483476564E+00,-87.9882812E-03
-61.0020E-06,-1.2204882813E+00,+1.7422265625E+00,+1.7483281251E+00,-78.2226562E-03
-60.8020E-06,-1.2497070313E+00,+1.7499218750E+00,+1.7483281251E+00,-97.4609375E-03
-60.6020E-06,-1.2790039063E+00,+1.7461328125E+00,+1.7444609376E+00,-97.6562500E-03
-60.4020E-06,-1.3141015625E+00,+1.7383593750E+00,+1.7444218751E+00,-87.9882812E-03
-60.2020E-06,-1.3434570313E+00,+1.7382812500E+00,+1.7386210939E+00,-87.8906250E-03
-60.0020E-06,-1.3669531250E+00,+1.7498828125E+00,+1.7308281251E+00,-78.2226562E-03
-59.8020E-06,-1.3961914063E+00,+1.7383984375E+00,+1.7365507814E+00,-87.7929688E-03
-59.6020E-06,-1.4254882813E+00,+1.7382812500E+00,+1.7404765626E+00,-97.5585938E-03
-59.4020E-06,-1.4547851563E+00,+1.7421484375E+00,+1.7327812501E+00,-87.9882812E-03
-59.2020E-06,-1.4860156250E+00,+1.7189843750E+00,+1.7307695314E+00,-87.8906250E-03
-59.0020E-06,-1.5133984375E+00,+1.7380859375E+00,+1.7307500001E+00,-97.5585938E-03
-58.8020E-06,-1.5330078125E+00,+1.7305468750E+00,+1.7307500001E+00,-87.9882812E-03
-58.6020E-06,-1.5602734375E+00,+1.7304687500E+00,+1.7326835939E+00,-87.8906250E-03
-58.4020E-06,-1.5914843750E+00,+1.7304687500E+00,+1.7249687501E+00,-78.2226562E-03
-58.2020E-06,-1.6208007813E+00,+1.7382031250E+00,+1.7306914064E+00,-87.7929688E-03
-58.0020E-06,-1.6442968750E+00,+1.7228125000E+00,+1.7230156251E+00,-97.5585938E-03
-57.8020E-06,-1.6677343750E+00,+1.7265234375E+00,+1.7248710939E+00,-97.6562500E-03
-57.6020E-06,-1.6969726563E+00,+1.7188281250E+00,+1.7210234376E+00,-78.3203125E-03
-57.4020E-06,-1.7243359375E+00,+1.7187500000E+00,+1.7151835939E+00,-78.1250000E-03
-57.2020E-06,-1.7516796875E+00,+1.7226171875E+00,+1.7131914064E+00,-87.7929688E-03
-57.0020E-06,-1.7751562500E+00,+2.0358984375E+00,+1.9993437501E+00,+6.9310546875E+00
-56.8020E-06,-1.8005273438E+00,+2.1589453125E+00,+2.1337187501E+00,+9.7476562500E+00
-56.6020E-06,-1.8278515625E+00,+56.4062500E-03,+193.7187501E-03,+9.7463867187E+00
-56.4020E-06,-1.8551953125E+00,-2.2348828125E+00,-1.9953828124E+00,+9.7557617188E+00
-56.2020E-06,-1.8864062500E+00,-1.9639062500E+00,-2.0172968749E+00,+9.7751953125E+00
-56.0020E-06,-1.9137890625E+00,-1.8990625000E+00,-1.9438203124E+00,+9.7560546875E+00
-55.8020E-06,-1.9275976563E+00,-1.8868359375E+00,-1.8889374999E+00,+9.7751953125E+00
-55.6020E-06,-1.9528710938E+00,-1.8248437500E+00,-1.8439179686E+00,+9.7560546875E+00
-55.4020E-06,-1.9821289063E+00,-1.8319531250E+00,-1.8589374999E+00,+9.7751953125E+00
-55.2020E-06,-2.0075585938E+00,-1.8513671875E+00,-1.8648945311E+00,+9.7657226562E+00
-55.0020E-06,-2.0348828125E+00,-1.8670312500E+00,-1.8842890624E+00,+9.7752929688E+00
-54.8020E-06,-2.0622265625E+00,-1.8865234375E+00,-1.9018867186E+00,+9.7753906250E+00
-54.6020E-06,-2.0837695313E+00,-1.9176562500E+00,-1.9291328124E+00,+9.7657226563E+00
-54.4020E-06,-2.1071875000E+00,-1.9411718750E+00,-1.9584101561E+00,+9.7752929688E+00
-54.2020E-06,-2.1306250000E+00,-1.9568750000E+00,-1.9741718749E+00,+9.7850585938E+00
-54.0020E-06,-2.1598632813E+00,-1.9879687500E+00,-2.0013984374E+00,+9.7948242188E+00
-53.8020E-06,-2.1794921875E+00,-1.9960156250E+00,-2.0210078124E+00,+9.7949218750E+00
-53.6020E-06,-2.1932226563E+00,-2.0115625000E+00,-2.0347382811E+00,+9.7852539063E+00
-53.4020E-06,-2.2262304688E+00,-2.0581250000E+00,-2.0619453124E+00,+9.7658203125E+00
-53.2020E-06,-2.2478320313E+00,-2.0663281250E+00,-2.0854218749E+00,+9.7752929688E+00
-53.0020E-06,-2.2770507813E+00,-2.0857421875E+00,-2.1146601561E+00,+9.7850585938E+00
-52.8020E-06,-2.2928125000E+00,-2.1207421875E+00,-2.1381562499E+00,+9.7851562500E+00
-52.6020E-06,-2.3161718750E+00,-2.1326953125E+00,-2.1596601561E+00,+9.7948242188E+00
-52.4020E-06,-2.3376757813E+00,-2.1753515625E+00,-2.1888789061E+00,+9.7755859375E+00
-52.2020E-06,-2.3591601563E+00,-2.1912500000E+00,-2.2065742186E+00,+9.7850585938E+00
-52.0020E-06,-2.3864453125E+00,-2.2107421875E+00,-2.2280195311E+00,+9.7948242188E+00
-51.8020E-06,-2.3983203125E+00,-2.2496093750E+00,-2.2553046874E+00,+9.7755859375E+00
-51.6020E-06,-2.4235742188E+00,-2.2383984375E+00,-2.2633124999E+00,+9.7850585938E+00
-51.4020E-06,-2.4431640625E+00,-2.2769531250E+00,-2.2904609374E+00,+9.7851562500E+00
-51.2020E-06,-2.4704296875E+00,-2.2850781250E+00,-2.3081367186E+00,+9.7851562500E+00
-51.0020E-06,-2.4823046875E+00,-2.3238281250E+00,-2.3373164061E+00,+9.7851562500E+00
-50.8020E-06,-2.5017578125E+00,-2.3474218750E+00,-2.3511445311E+00,+9.7948242188E+00
-50.6020E-06,-2.5290234375E+00,-2.3476562500E+00,-2.3706171874E+00,+9.7852539063E+00
-50.4020E-06,-2.5486328125E+00,-2.3940625000E+00,-2.3940156249E+00,+9.7948242188E+00
-50.2020E-06,-2.5604296875E+00,-2.3945312500E+00,-2.4135859374E+00,+9.7949218750E+00
-50.0020E-06,-2.5740820313E+00,-2.4177343750E+00,-2.4331171874E+00,+9.7852539063E+00
-49.8020E-06,-2.5954882813E+00,-2.4373046875E+00,-2.4545820311E+00,+9.7851562500E+00
-49.6020E-06,-2.6169726563E+00,-2.4568359375E+00,-2.4721992186E+00,+9.7851562500E+00
-49.4020E-06,-2.6249218750E+00,-2.4725000000E+00,-2.4839765624E+00,+9.7851562500E+00
-49.2020E-06,-2.6482031250E+00,-2.4881250000E+00,-2.4976289061E+00,+9.7754882813E+00
-49.0020E-06,-2.6716406250E+00,-2.5230859375E+00,-2.5190351561E+00,+9.7850585938E+00
-48.8020E-06,-2.6854101563E+00,-2.5389062500E+00,-2.5443867186E+00,+9.7851562500E+00
-48.6020E-06,-2.7029492188E+00,-2.5506640625E+00,-2.5678437499E+00,+9.7851562500E+00
-48.4020E-06,-2.7243945313E+00,-2.5662500000E+00,-2.5816132811E+00,+9.7948242188E+00
-48.2020E-06,-2.7362109375E+00,-2.5818750000E+00,-2.5933515624E+00,+9.7852539063E+00
-48.0020E-06,-2.7556640625E+00,-2.6129687500E+00,-2.6205390624E+00,+9.7851562500E+00
-47.8020E-06,-2.7674609375E+00,-2.6055468750E+00,-2.6227460936E+00,+9.7948242188E+00
-47.6020E-06,-2.7811132813E+00,-2.6402734375E+00,-2.6440351561E+00,+9.7852539063E+00
