x-axis,1,2,3,4
-85.4000E-06,+4.2039062493E+00,+3.7578125000E+00,+1.7070312500E+00,+6.1328125000E+00
-85.2000E-06,+4.1804687493E+00,+3.7500000000E+00,+1.7343750000E+00,+6.1230468750E+00
-85.0000E-06,+4.1609374993E+00,+3.7421875000E+00,+1.7578125000E+00,+6.1328125000E+00
-84.8000E-06,+4.1374999993E+00,+3.7421875000E+00,+1.7851562500E+00,+6.1425781250E+00
-84.6000E-06,+4.1179687493E+00,+3.7343750000E+00,+1.8164062500E+00,+6.1328125000E+00
-84.4000E-06,+4.0828124993E+00,+3.7304687500E+00,+1.8476562500E+00,+6.1328125000E+00
-84.2000E-06,+4.0554687493E+00,+3.7226562500E+00,+1.8750000000E+00,+6.1328125000E+00
-84.0000E-06,+4.0164062493E+00,+3.7109375000E+00,+1.8984375000E+00,+6.1230468750E+00
-83.8000E-06,+3.9773437493E+00,+3.7031250000E+00,+1.9218750000E+00,+6.1230468750E+00
-83.6000E-06,+3.9343749993E+00,+3.6992187500E+00,+1.9453125000E+00,+6.1328125000E+00
-83.4000E-06,+3.9109374993E+00,+3.6835937500E+00,+1.9726562500E+00,+6.1328125000E+00
-83.2000E-06,+3.8718749993E+00,+3.6796875000E+00,+1.9960937500E+00,+6.1230468750E+00
-83.0000E-06,+3.8445312493E+00,+3.6679687500E+00,+2.0156250000E+00,+6.1328125000E+00
-82.8000E-06,+3.8132812493E+00,+3.6562500000E+00,+2.0390625000E+00,+6.1328125000E+00
-82.6000E-06,+3.7859374993E+00,+3.6445312500E+00,+2.0546875000E+00,+6.1425781250E+00
-82.4000E-06,+3.7585937493E+00,+3.6289062500E+00,+2.0820312500E+00,+6.1328125000E+00
-82.2000E-06,+3.7390624993E+00,+3.6132812500E+00,+2.1093750000E+00,+6.1230468750E+00
-82.0000E-06,+3.6999999993E+00,+3.5976562500E+00,+2.1289062500E+00,+6.1230468750E+00
-81.8000E-06,+3.6726562493E+00,+3.5820312500E+00,+2.1523437500E+00,+6.1230468750E+00
-81.6000E-06,+3.6453124993E+00,+3.5664062500E+00,+2.1757812500E+00,+6.1328125000E+00
-81.4000E-06,+3.6179687493E+00,+3.5585937500E+00,+2.1953125000E+00,+6.1230468750E+00
-81.2000E-06,+3.5867187493E+00,+3.5312500000E+00,+2.2187500000E+00,+6.1425781250E+00
-81.0000E-06,+3.5515624993E+00,+3.5273437500E+00,+2.2382812500E+00,+6.1425781250E+00
-80.8000E-06,+3.5203124993E+00,+3.5039062500E+00,+2.2578125000E+00,+6.1328125000E+00
-80.6000E-06,+3.4812499993E+00,+3.4921875000E+00,+2.2695312500E+00,+6.1328125000E+00
-80.4000E-06,+3.4499999993E+00,+3.4765625000E+00,+2.2890625000E+00,+6.1328125000E+00
-80.2000E-06,+3.4148437493E+00,+3.4531250000E+00,+2.3007812500E+00,+6.1425781250E+00
-80.0000E-06,+3.3835937493E+00,+3.4296875000E+00,+2.3203125000E+00,+6.1230468750E+00
-79.8000E-06,+3.3484374993E+00,+3.4062500000E+00,+2.3359375000E+00,+6.1328125000E+00
-79.6000E-06,+3.3093749993E+00,+3.3867187500E+00,+2.3476562500E+00,+6.1328125000E+00
-79.4000E-06,+3.2703124993E+00,+3.3632812500E+00,+2.3632812500E+00,+6.1328125000E+00
-79.2000E-06,+3.2312499993E+00,+3.3359375000E+00,+2.3750000000E+00,+6.1328125000E+00
-79.0000E-06,+3.1882812493E+00,+3.3085937500E+00,+2.3867187500E+00,+6.1328125000E+00
-78.8000E-06,+3.1453124993E+00,+3.2812500000E+00,+2.4062500000E+00,+6.1230468750E+00
-78.6000E-06,+3.0984374993E+00,+3.2500000000E+00,+2.4179687500E+00,+6.1328125000E+00
-78.4000E-06,+3.0554687493E+00,+3.2148437500E+00,+2.4257812500E+00,+6.1230468750E+00
-78.2000E-06,+3.0124999993E+00,+3.1875000000E+00,+2.4453125000E+00,+6.1230468750E+00
-78.0000E-06,+2.9812499993E+00,+3.1523437500E+00,+2.4531250000E+00,+6.1328125000E+00
-77.8000E-06,+2.9539062493E+00,+3.1171875000E+00,+2.4648437500E+00,+6.1230468750E+00
-77.6000E-06,+2.9148437493E+00,+3.0859375000E+00,+2.4726562500E+00,+6.1328125000E+00
-77.4000E-06,+2.8757812493E+00,+3.0468750000E+00,+2.4843750000E+00,+6.1230468750E+00
-77.2000E-06,+2.8328124993E+00,+3.0156250000E+00,+2.4921875000E+00,+6.1230468750E+00
-77.0000E-06,+2.8015624993E+00,+2.9843750000E+00,+2.5039062500E+00,+6.1328125000E+00
-76.8000E-06,+2.7585937493E+00,+2.9492187500E+00,+2.5117187500E+00,+6.1328125000E+00
-76.6000E-06,+2.7273437493E+00,+2.9101562500E+00,+2.5195312500E+00,+6.1328125000E+00
-76.4000E-06,+2.6960937493E+00,+2.8710937500E+00,+2.5273437500E+00,+6.1425781250E+00
-76.2000E-06,+2.6492187493E+00,+2.8320312500E+00,+2.5312500000E+00,+6.1328125000E+00
-76.0000E-06,+2.5984374993E+00,+2.7929687500E+00,+2.5390625000E+00,+6.1328125000E+00
-75.8000E-06,+2.5398437493E+00,+2.7343750000E+00,+2.5429687500E+00,+2.7832031250E+00
-75.6000E-06,+2.4734374993E+00,+2.4570312500E+00,+2.5390625000E+00,+58.5937500E-03
-75.4000E-06,+2.4226562493E+00,+2.3710937500E+00,+2.5429687500E+00,+48.8281250E-03
-75.2000E-06,+2.3796874993E+00,+2.3671875000E+00,+2.5351562500E+00,+58.5937500E-03
-75.0000E-06,+2.3406249993E+00,+2.3750000000E+00,+2.5429687500E+00,+58.5937500E-03
-74.8000E-06,+2.3054687493E+00,+2.3632812500E+00,+2.5390625000E+00,+58.5937500E-03
-74.6000E-06,+2.2624999993E+00,+2.3671875000E+00,+2.5390625000E+00,+68.3593750E-03
-74.4000E-06,+2.2195312493E+00,+2.3671875000E+00,+2.5312500000E+00,+68.3593750E-03
-74.2000E-06,+2.1804687493E+00,+2.3750000000E+00,+2.5390625000E+00,+78.1250000E-03
-74.0000E-06,+2.1414062493E+00,+2.3671875000E+00,+2.5351562500E+00,+78.1250000E-03
-73.8000E-06,+2.1062499993E+00,+2.3710937500E+00,+2.5390625000E+00,+78.1250000E-03
-73.6000E-06,+2.0554687493E+00,+2.3710937500E+00,+2.5351562500E+00,+87.8906250E-03
-73.4000E-06,+2.0124999993E+00,+2.3671875000E+00,+2.5390625000E+00,+87.8906250E-03
-73.2000E-06,+1.9617187493E+00,+2.3671875000E+00,+2.5390625000E+00,+87.8906250E-03
-73.0000E-06,+1.9187499993E+00,+2.3671875000E+00,+2.5390625000E+00,+87.8906250E-03
-72.8000E-06,+1.8679687493E+00,+2.3671875000E+00,+2.5390625000E+00,+78.1250000E-03
-72.6000E-06,+1.8171874993E+00,+2.3671875000E+00,+2.5390625000E+00,+87.8906250E-03
-72.4000E-06,+1.7742187493E+00,+2.3671875000E+00,+2.5390625000E+00,+87.8906250E-03
-72.2000E-06,+1.7312499993E+00,+2.3671875000E+00,+2.5390625000E+00,+78.1250000E-03
-72.0000E-06,+1.6882812493E+00,+2.3710937500E+00,+2.5390625000E+00,+97.6562500E-03
-71.8000E-06,+1.6414062493E+00,+2.3750000000E+00,+2.5390625000E+00,+97.6562500E-03
-71.6000E-06,+1.5906249993E+00,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-71.4000E-06,+1.5398437493E+00,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-71.2000E-06,+1.4851562493E+00,+2.3671875000E+00,+2.5351562500E+00,+87.8906250E-03
-71.0000E-06,+1.4382812493E+00,+2.3710937500E+00,+2.5390625000E+00,+107.4218750E-03
-70.8000E-06,+1.3874999993E+00,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-70.6000E-06,+1.3328124993E+00,+2.3710937500E+00,+2.5312500000E+00,+97.6562500E-03
-70.4000E-06,+1.2820312493E+00,+2.3710937500E+00,+2.5351562500E+00,+97.6562500E-03
-70.2000E-06,+1.2273437493E+00,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-70.0000E-06,+1.1804687493E+00,+2.3671875000E+00,+2.5312500000E+00,+107.4218750E-03
-69.8000E-06,+1.1179687493E+00,+2.3710937500E+00,+2.5312500000E+00,+97.6562500E-03
-69.6000E-06,+1.0515624993E+00,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-69.4000E-06,+996.8749993E-03,+2.3671875000E+00,+2.5351562500E+00,+107.4218750E-03
-69.2000E-06,+942.1874993E-03,+2.3632812500E+00,+2.5312500000E+00,+107.4218750E-03
-69.0000E-06,+883.5937493E-03,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-68.8000E-06,+836.7187493E-03,+2.3632812500E+00,+2.5351562500E+00,+97.6562500E-03
-68.6000E-06,+793.7499993E-03,+2.3671875000E+00,+2.5351562500E+00,+107.4218750E-03
-68.4000E-06,+742.9687493E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-68.2000E-06,+688.2812493E-03,+2.3632812500E+00,+2.5351562500E+00,+97.6562500E-03
-68.0000E-06,+645.3124993E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-67.8000E-06,+590.6249993E-03,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-67.6000E-06,+532.0312493E-03,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-67.4000E-06,+481.2499993E-03,+2.3671875000E+00,+2.5312500000E+00,+107.4218750E-03
-67.2000E-06,+438.2812493E-03,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-67.0000E-06,+395.3124993E-03,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-66.8000E-06,+352.3437493E-03,+2.3671875000E+00,+2.5312500000E+00,+107.4218750E-03
-66.6000E-06,+309.3749993E-03,+2.3710937500E+00,+2.5312500000E+00,+97.6562500E-03
-66.4000E-06,+266.4062493E-03,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-66.2000E-06,+215.6249993E-03,+2.3671875000E+00,+2.5312500000E+00,+107.4218750E-03
-66.0000E-06,+172.6562493E-03,+2.3671875000E+00,+2.5312500000E+00,+107.4218750E-03
-65.8000E-06,+133.5937493E-03,+2.3632812500E+00,+2.5312500000E+00,+107.4218750E-03
-65.6000E-06,+71.0937493E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-65.4000E-06,+4.6874993E-03,+2.3632812500E+00,+2.5312500000E+00,+107.4218750E-03
-65.2000E-06,-61.7187507E-03,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-65.0000E-06,-120.3125007E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-64.8000E-06,-167.1875007E-03,+2.3632812500E+00,+2.5351562500E+00,+107.4218750E-03
-64.6000E-06,-206.2500007E-03,+2.3671875000E+00,+2.5312500000E+00,+107.4218750E-03
-64.4000E-06,-253.1250007E-03,+2.3671875000E+00,+2.5312500000E+00,+107.4218750E-03
-64.2000E-06,-300.0000007E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-64.0000E-06,-346.8750007E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-63.8000E-06,-389.8437507E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-63.6000E-06,-436.7187507E-03,+2.3632812500E+00,+2.5351562500E+00,+97.6562500E-03
-63.4000E-06,-491.4062507E-03,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-63.2000E-06,-550.0000007E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-63.0000E-06,-604.6875007E-03,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-62.8000E-06,-659.3750007E-03,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-62.6000E-06,-702.3437507E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-62.4000E-06,-745.3125007E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-62.2000E-06,-796.0937507E-03,+2.3671875000E+00,+2.5351562500E+00,+107.4218750E-03
-62.0000E-06,-850.7812507E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-61.8000E-06,-905.4687507E-03,+2.3710937500E+00,+2.5312500000E+00,+107.4218750E-03
