time	V(cap)	V(logic)	V(signal_in)	V(signal_out)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	6.174558e-018	1.000000e+000	2.607522e-007	1.163862e-016
7.445314903051040e-010	-3.886651e-008	1.000000e+000	1.941382e-004	-6.252574e-007
1.488062980610208e-009	1.097491e-009	1.000000e+000	3.880157e-004	1.002919e-007
2.231594470915312e-009	1.198920e-007	1.000000e+000	5.818932e-004	2.176648e-006
2.975125961220416e-009	3.175170e-007	1.000000e+000	7.757706e-004	5.603810e-006
3.718657451525520e-009	5.939726e-007	1.000000e+000	9.696481e-004	1.038178e-005
4.462188941830624e-009	9.492586e-007	1.000000e+000	1.163526e-003	1.651056e-005
5.205720432135726e-009	1.383375e-006	1.000000e+000	1.357403e-003	2.399014e-005
6.584959332825269e-009	2.794814e-006	1.000000e+000	1.717043e-003	4.742818e-005
8.370955023067695e-009	5.723702e-006	1.000000e+000	2.182745e-003	9.445936e-005
1.071853201716566e-008	1.177325e-005	1.000000e+000	2.794881e-003	1.878514e-004
1.336374938599190e-008	2.247493e-005	1.000000e+000	3.484627e-003	3.449009e-004
1.698865354942678e-008	4.520528e-005	1.000000e+000	4.429828e-003	6.583694e-004
2.149895125099294e-008	8.898885e-005	1.000000e+000	5.605897e-003	1.214343e-003
2.782240933109792e-008	1.839062e-004	1.000000e+000	7.254751e-003	2.294099e-003
3.655236774002857e-008	3.820095e-004	1.000000e+000	9.531103e-003	4.244612e-003
4.811550190098941e-008	7.584467e-004	1.000000e+000	1.254621e-002	7.353583e-003
6.128807263073300e-008	1.335868e-003	1.000000e+000	1.598097e-002	1.121816e-002
7.673794104783803e-008	2.198263e-003	1.000000e+000	2.000953e-002	1.573087e-002
9.662194100000516e-008	3.579649e-003	1.000000e+000	2.519426e-002	2.117594e-002
1.309756227658930e-007	6.486863e-003	1.000000e+000	3.415189e-002	3.007557e-002
1.653454107360314e-007	1.005673e-002	1.000000e+000	4.311359e-002	3.893470e-002
2.225016468380713e-007	1.747745e-002	1.000000e+000	5.801624e-002	5.383801e-002
3.259156244512943e-007	3.387669e-002	1.000000e+000	8.497838e-002	8.082853e-002
4.478855332504216e-007	5.691479e-002	1.000000e+000	1.167747e-001	1.126182e-001
6.257390241371639e-007	9.540547e-002	1.000000e+000	1.631294e-001	1.589789e-001
8.472242196211614e-007	1.477018e-001	1.000000e+000	2.208359e-001	2.166865e-001
1.081599219621161e-006	2.059619e-001	1.000000e+000	2.818693e-001	2.777230e-001
1.315974219621161e-006	2.657389e-001	1.000000e+000	3.428611e-001	3.387172e-001
1.784724219621161e-006	3.868907e-001	1.000000e+000	4.646818e-001	4.605452e-001
2.722224219621162e-006	6.313526e-001	1.000000e+000	7.088330e-001	7.047180e-001
3.659724219621162e-006	8.729019e-001	1.000000e+000	9.498720e-001	9.457883e-001
4.597224219621162e-006	1.111539e+000	1.000000e+000	1.187799e+000	1.183756e+000
5.534724219621163e-006	1.347263e+000	1.000000e+000	1.422614e+000	1.418621e+000
6.472224219621164e-006	1.580074e+000	1.000000e+000	1.654316e+000	1.650384e+000
7.409724219621163e-006	1.809973e+000	1.000000e+000	1.882907e+000	1.879044e+000
8.347224219621162e-006	2.036959e+000	1.000000e+000	2.108385e+000	2.104601e+000
9.954367076764023e-006	2.417712e+000	1.000000e+000	2.486148e+000	2.482523e+000
1.156150993390689e-005	2.775682e+000	1.000000e+000	2.840714e+000	2.837272e+000
1.316865279104975e-005	3.110868e+000	1.000000e+000	3.172086e+000	3.168847e+000
1.477579564819261e-005	3.423271e+000	1.000000e+000	3.480262e+000	3.477248e+000
1.638293850533547e-005	3.712890e+000	1.000000e+000	3.765242e+000	3.762475e+000
1.799008136247834e-005	3.979726e+000	1.000000e+000	4.027027e+000	4.024529e+000
1.959722421962119e-005	4.223779e+000	1.000000e+000	4.265616e+000	4.263409e+000
2.036904947396102e-005	4.328294e+000	1.000000e+000	4.367426e+000	4.365362e+000
2.114087472830085e-005	4.425456e+000	1.000000e+000	4.461831e+000	4.459914e+000
2.191269998264068e-005	4.515265e+000	1.000000e+000	4.548831e+000	4.547064e+000
2.268452523698051e-005	4.597721e+000	1.000000e+000	4.628427e+000	4.626812e+000
2.345635049132034e-005	4.672825e+000	1.000000e+000	4.700618e+000	4.699158e+000
2.422817574566017e-005	4.740576e+000	1.000000e+000	4.765405e+000	4.764102e+000
2.500000100000000e-005	4.800974e+000	1.000000e+000	4.822787e+000	4.821644e+000
2.500000110000000e-005	4.800974e+000	9.000000e-001	4.822787e+000	4.821644e+000
2.500000130000000e-005	4.800974e+000	7.000000e-001	4.822787e+000	4.821644e+000
2.500000170000000e-005	4.800974e+000	3.000000e-001	4.822787e+000	4.821644e+000
2.500000200000000e-005	4.800974e+000	0.000000e+000	4.822787e+000	4.821643e+000
2.500000208000000e-005	4.800974e+000	0.000000e+000	4.822787e+000	4.821643e+000
2.500000224000000e-005	4.800974e+000	0.000000e+000	4.822787e+000	4.821643e+000
2.500000256000000e-005	4.800974e+000	0.000000e+000	4.822787e+000	4.821643e+000
2.500000320000000e-005	4.800974e+000	0.000000e+000	4.822787e+000	4.821642e+000
2.500000448000000e-005	4.800974e+000	0.000000e+000	4.822787e+000	4.821640e+000
2.500000704000000e-005	4.800974e+000	0.000000e+000	4.822788e+000	4.821637e+000
2.500001215999999e-005	4.800974e+000	0.000000e+000	4.822788e+000	4.821630e+000
2.500002239999999e-005	4.800974e+000	0.000000e+000	4.822789e+000	4.821617e+000
2.500004287999997e-005	4.800974e+000	0.000000e+000	4.822790e+000	4.821590e+000
2.500008383999995e-005	4.800974e+000	0.000000e+000	4.822793e+000	4.821537e+000
2.500016575999990e-005	4.800974e+000	0.000000e+000	4.822799e+000	4.821432e+000
2.500032959999980e-005	4.800974e+000	0.000000e+000	4.822810e+000	4.821222e+000
2.500065727999960e-005	4.800974e+000	0.000000e+000	4.822832e+000	4.820812e+000
2.500131263999920e-005	4.800974e+000	0.000000e+000	4.822877e+000	4.820022e+000
2.500262335999841e-005	4.800974e+000	0.000000e+000	4.822968e+000	4.818554e+000
2.501048767999363e-005	4.800974e+000	0.000000e+000	4.823508e+000	4.812135e+000
2.502097343998726e-005	4.800974e+000	0.000000e+000	4.824226e+000	4.807373e+000
2.504194495997451e-005	4.800976e+000	0.000000e+000	4.825659e+000	4.803266e+000
2.508388799994903e-005	4.800981e+000	0.000000e+000	4.828501e+000	4.801270e+000
2.516777407989805e-005	4.801003e+000	0.000000e+000	4.834100e+000	4.801001e+000
2.533554623979610e-005	4.801070e+000	0.000000e+000	4.845049e+000	4.801152e+000
2.549097646527095e-005	4.801148e+000	0.000000e+000	4.854864e+000	4.801250e+000
2.572535146527095e-005	4.801278e+000	0.000000e+000	4.869058e+000	4.801390e+000
