time	V(logic)	V(signal_in)	V(signal_out)	V(vc)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	1.000000e+000	2.261947e-005	4.297644e-015	3.799985e-018
4.108702831216416e-010	1.000000e+000	9.293821e-003	-3.658311e-006	-3.417631e-009
8.207405662432832e-010	1.000000e+000	1.856471e-002	2.230078e-007	5.898926e-011
1.230610849364925e-009	1.000000e+000	2.783529e-002	1.164395e-005	1.042986e-008
1.640481132486567e-009	1.000000e+000	3.710556e-002	3.060453e-005	2.769499e-008
2.050351415608208e-009	1.000000e+000	4.637552e-002	5.710474e-005	5.185436e-008
2.460221698729849e-009	1.000000e+000	5.564517e-002	9.114457e-005	8.290799e-008
2.870091981851490e-009	1.000000e+000	6.491450e-002	1.327240e-004	1.208559e-007
3.573263073088259e-009	1.000000e+000	8.081480e-002	2.541316e-004	2.330600e-007
4.459726983489863e-009	1.000000e+000	1.008562e-001	4.893608e-004	4.528054e-007
5.556732933841142e-009	1.000000e+000	1.256508e-001	9.355368e-004	8.752263e-007
6.936024158759807e-009	1.000000e+000	1.568123e-001	1.792317e-003	1.699928e-006
8.651575321737134e-009	1.000000e+000	1.955448e-001	3.413462e-003	3.292825e-006
1.080834509388905e-008	1.000000e+000	2.441880e-001	6.497463e-003	6.401377e-006
1.350751830032305e-008	1.000000e+000	3.049644e-001	1.230013e-002	1.243898e-005
1.691681107995523e-008	1.000000e+000	3.815314e-001	2.322689e-002	2.426728e-005
2.123041191825988e-008	1.000000e+000	4.780074e-001	4.361702e-002	4.746582e-005
2.675644527288675e-008	1.000000e+000	6.007745e-001	8.159324e-002	9.348984e-005
3.392363880194732e-008	1.000000e+000	7.582402e-001	1.517958e-001	1.858329e-004
4.347271062241403e-008	1.000000e+000	9.640206e-001	2.809320e-001	3.756519e-004
5.680789858564186e-008	1.000000e+000	1.242390e+000	5.132265e-001	7.680004e-004
7.208966277886355e-008	1.000000e+000	1.544912e+000	8.260714e-001	1.401024e-003
9.139208608226413e-008	1.000000e+000	1.896322e+000	1.247050e+000	2.459778e-003
1.126361764622542e-007	1.000000e+000	2.231191e+000	1.692445e+000	3.932692e-003
1.432535037657373e-007	1.000000e+000	2.620183e+000	2.262565e+000	6.462947e-003
1.660167465419014e-007	1.000000e+000	2.845264e+000	2.626720e+000	8.555574e-003
1.696948574198239e-007	1.000000e+000	2.872483e+000	2.676096e+000	8.916019e-003
1.770510791756690e-007	1.000000e+000	2.912436e+000	2.758426e+000	9.660133e-003
1.917635226873593e-007	1.000000e+000	2.976617e+000	2.904325e+000	1.116473e-002
1.917645226873593e-007	1.000000e+000	2.976621e+000	2.904334e+000	1.116484e-002
1.917665226873593e-007	1.000000e+000	2.976626e+000	2.904351e+000	1.116504e-002
1.917705226873593e-007	1.000000e+000	2.976638e+000	2.904383e+000	1.116546e-002
1.917785226873593e-007	1.000000e+000	2.976660e+000	2.904448e+000	1.116629e-002
