time	V(logic)	V(signal_in)	V(signal_out)	V(vc)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	1.000000e+000	2.261947e-005	1.200389e-014	6.368354e-018
2.977646977903089e-010	1.000000e+000	6.735338e-003	-3.840186e-006	-2.177455e-009
5.945293955806177e-010	1.000000e+000	1.344794e-002	2.416533e-007	2.206888e-011
8.912940933709266e-010	1.000000e+000	2.016042e-002	1.224552e-005	6.598573e-009
1.188058791161236e-009	1.000000e+000	2.687278e-002	3.217141e-005	1.755206e-008
1.484823488951545e-009	1.000000e+000	3.358503e-002	6.001932e-005	3.288252e-008
1.781588186741853e-009	1.000000e+000	4.029715e-002	9.578926e-005	5.258996e-008
2.078352884532161e-009	1.000000e+000	4.700916e-002	1.394812e-004	7.667438e-008
2.604054986737596e-009	1.000000e+000	5.889827e-002	2.711623e-004	1.503702e-007
3.240745297093312e-009	1.000000e+000	7.329609e-002	5.164537e-004	2.894566e-007
4.048428310663898e-009	1.000000e+000	9.155801e-002	9.921121e-004	5.635389e-007
5.045257928726214e-009	1.000000e+000	1.140915e-001	1.885784e-003	1.088917e-006
6.305718698666737e-009	1.000000e+000	1.425742e-001	3.596800e-003	2.120038e-006
7.874990831551676e-009	1.000000e+000	1.780166e-001	6.740339e-003	4.068864e-006
9.583975206551676e-009	1.000000e+000	2.165868e-001	1.159010e-002	7.168257e-006
1.129295958155168e-008	1.000000e+000	2.551216e-001	1.815043e-002	1.149520e-005
1.300194395655168e-008	1.000000e+000	2.936140e-001	2.662136e-002	1.726360e-005
1.471092833155168e-008	1.000000e+000	3.320577e-001	3.713522e-002	2.465618e-005
1.641991270655168e-008	1.000000e+000	3.704462e-001	4.978815e-002	3.384297e-005
1.812889708155168e-008	1.000000e+000	4.087733e-001	6.464265e-002	4.498066e-005
1.983788145655168e-008	1.000000e+000	4.470325e-001	8.173026e-002	5.821217e-005
2.154686583155168e-008	1.000000e+000	4.852174e-001	1.010543e-001	7.366644e-005
2.325585020655168e-008	1.000000e+000	5.233217e-001	1.225925e-001	9.145834e-005
2.496483458155168e-008	1.000000e+000	5.613393e-001	1.463001e-001	1.116888e-004
2.667381895655169e-008	1.000000e+000	5.992635e-001	1.721122e-001	1.344450e-004
2.838280333155169e-008	1.000000e+000	6.370884e-001	1.999466e-001	1.598007e-004
3.009178770655169e-008	1.000000e+000	6.748074e-001	2.297063e-001	1.878167e-004
3.180077208155169e-008	1.000000e+000	7.124144e-001	2.612821e-001	2.185416e-004
3.350975645655169e-008	1.000000e+000	7.499031e-001	2.945547e-001	2.520120e-004
3.692772520655170e-008	1.000000e+000	8.245008e-001	3.656769e-001	3.272808e-004
4.034569395655170e-008	1.000000e+000	8.985509e-001	4.419991e-001	4.137065e-004
4.547264708155171e-008	1.000000e+000	1.008492e+000	5.638110e-001	5.641000e-004
4.889061583155171e-008	1.000000e+000	1.080959e+000	6.483301e-001	6.779058e-004
5.230858458155171e-008	1.000000e+000	1.152708e+000	7.343297e-001	8.022041e-004
5.572655333155172e-008	1.000000e+000	1.223692e+000	8.209245e-001	9.366415e-004
5.914452208155172e-008	1.000000e+000	1.293863e+000	9.073530e-001	1.080836e-003
6.109764708155172e-008	1.000000e+000	1.333599e+000	9.565879e-001	1.167638e-003
6.305077208155173e-008	1.000000e+000	1.373024e+000	1.005279e+000	1.257248e-003
6.500389708155173e-008	1.000000e+000	1.412139e+000	1.053426e+000	1.349666e-003
6.695702208155173e-008	1.000000e+000	1.450944e+000	1.101029e+000	1.444891e-003
