time	V(logic)	V(signal_in)	V(signal_out)	V(vc)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	1.000000e+000	2.261947e-005	1.074416e-015	1.899978e-015
1.957115140488495e-010	1.000000e+000	4.426907e-003	-1.030286e-007	-1.803702e-007
3.904230280976990e-010	1.000000e+000	8.831161e-003	1.848585e-009	4.659565e-009
5.851345421465485e-010	1.000000e+000	1.323538e-002	3.146316e-007	5.550892e-007
7.798460561953980e-010	1.000000e+000	1.763957e-002	8.353205e-007	1.470919e-006
9.745575702442475e-010	1.000000e+000	2.204372e-002	1.563915e-006	2.752148e-006
1.169269084293097e-009	1.000000e+000	2.644784e-002	2.500416e-006	4.398777e-006
1.363980598341946e-009	1.000000e+000	3.085193e-002	3.644822e-006	6.410806e-006
1.701657184557511e-009	1.000000e+000	3.848945e-002	7.065997e-006	1.241179e-005
2.123528157447765e-009	1.000000e+000	4.803087e-002	1.370441e-005	2.403282e-005
2.650734207516093e-009	1.000000e+000	5.995390e-002	2.658854e-005	4.653148e-005
3.310193902598419e-009	1.000000e+000	7.486646e-002	5.161631e-005	9.010093e-005
4.135699320700001e-009	1.000000e+000	9.353100e-002	1.002658e-004	1.744673e-004
5.170407481245931e-009	1.000000e+000	1.169200e-001	1.949446e-004	3.378742e-004
6.469169970799647e-009	1.000000e+000	1.462667e-001	3.794397e-004	6.544121e-004
8.102718642894089e-009	1.000000e+000	1.831563e-001	7.396307e-004	1.267856e-003
1.016257395890768e-008	1.000000e+000	2.296293e-001	1.444471e-003	2.457351e-003
1.276914137547622e-008	1.000000e+000	2.883491e-001	2.828225e-003	4.766253e-003
1.608302546480814e-008	1.000000e+000	3.628247e-001	5.556680e-003	9.255290e-003
2.032412083045751e-008	1.000000e+000	4.577694e-001	1.097007e-002	1.800749e-002
2.580349414163070e-008	1.000000e+000	5.796549e-001	2.180766e-002	3.515220e-002
3.298490221531195e-008	1.000000e+000	7.376900e-001	4.380853e-002	6.901995e-002
4.261745570259549e-008	1.000000e+000	9.456834e-001	8.950634e-002	1.369585e-001
5.609269894035515e-008	1.000000e+000	1.226734e+000	1.867528e-001	2.752040e-001
7.491754817441423e-008	1.000000e+000	1.597477e+000	3.784176e-001	5.342042e-001
9.450835204269521e-008	1.000000e+000	1.946984e+000	6.362809e-001	8.617724e-001
1.204177952045213e-007	1.000000e+000	2.340441e+000	1.035985e+000	1.336064e+000
1.482594068472557e-007	1.000000e+000	2.675101e+000	1.493732e+000	1.844426e+000
1.694651626000467e-007	1.000000e+000	2.870139e+000	1.845113e+000	2.214499e+000
1.717608125517806e-007	1.000000e+000	2.886230e+000	1.882336e+000	2.252230e+000
1.763521124552484e-007	1.000000e+000	2.911454e+000	1.954708e+000	2.323731e+000
1.855347122621840e-007	1.000000e+000	2.954079e+000	2.096320e+000	2.461699e+000
1.899691337194618e-007	1.000000e+000	2.969625e+000	2.162462e+000	2.524924e+000
1.988379766340173e-007	1.000000e+000	2.992315e+000	2.290818e+000	2.645575e+000
1.988389766340173e-007	1.000000e+000	2.992316e+000	2.290833e+000	2.645588e+000
1.988409766340173e-007	1.000000e+000	2.992320e+000	2.290861e+000	2.645614e+000
1.988449766340173e-007	1.000000e+000	2.992326e+000	2.290917e+000	2.645666e+000
1.988529766340173e-007	1.000000e+000	2.992339e+000	2.291029e+000	2.645769e+000
1.988689766340173e-007	1.000000e+000	2.992365e+000	2.291253e+000	2.645976e+000
1.989649766340175e-007	1.000000e+000	2.992519e+000	2.292596e+000	2.647216e+000
1.990929766340176e-007	1.000000e+000	2.992721e+000	2.294385e+000	2.648868e+000
2.042383333333284e-007	1.000000e+000	2.998487e+000	2.365007e+000	2.713484e+000
2.057236199347202e-007	1.000000e+000	2.999419e+000	2.384982e+000	2.731581e+000
2.057246199347202e-007	1.000000e+000	2.999420e+000	2.384995e+000	2.731593e+000
2.057266199347202e-007	1.000000e+000	2.999421e+000	2.385022e+000	2.731617e+000
2.057306199347202e-007	1.000000e+000	2.999422e+000	2.385075e+000	2.731665e+000
2.057386199347202e-007	1.000000e+000	2.999426e+000	2.385182e+000	2.731761e+000
2.057546199347202e-007	1.000000e+000	2.999433e+000	2.385396e+000	2.731954e+000
2.057866199347203e-007	1.000000e+000	2.999447e+000	2.385822e+000	2.732339e+000
2.058506199347203e-007	1.000000e+000	2.999474e+000	2.386676e+000	2.733109e+000
2.059786199347205e-007	1.000000e+000	2.999526e+000	2.388381e+000	2.734647e+000
2.067466199347214e-007	1.000000e+000	2.999773e+000	2.398573e+000	2.743824e+000
2.073103333333318e-007	1.000000e+000	2.999911e+000	2.406029e+000	2.750525e+000
2.073113333333318e-007	1.000000e+000	2.999911e+000	2.406042e+000	2.750537e+000
2.073133333333318e-007	1.000000e+000	2.999911e+000	2.406069e+000	2.750561e+000
2.073173333333318e-007	1.000000e+000	2.999912e+000	2.406121e+000	2.750608e+000
2.073253333333319e-007	1.000000e+000	2.999913e+000	2.406227e+000	2.750703e+000
2.073413333333319e-007	1.000000e+000	2.999916e+000	2.406438e+000	2.750892e+000
2.073733333333319e-007	1.000000e+000	2.999921e+000	2.406860e+000	2.751271e+000
2.074373333333320e-007	1.000000e+000	2.999931e+000	2.407703e+000	2.752027e+000
2.075653333333321e-007	1.000000e+000	2.999948e+000	2.409387e+000	2.753538e+000
2.078213333333324e-007	1.000000e+000	2.999978e+000	2.412754e+000	2.756556e+000
2.078223333333324e-007	1.000000e+000	2.999978e+000	2.412767e+000	2.756567e+000
2.078243333333324e-007	1.000000e+000	2.999978e+000	2.412793e+000	2.756591e+000
2.078283333333324e-007	1.000000e+000	2.999978e+000	2.412846e+000	2.756638e+000
2.078363333333324e-007	1.000000e+000	2.999979e+000	2.412951e+000	2.756732e+000
2.078523333333324e-007	1.000000e+000	2.999980e+000	2.413161e+000	2.756920e+000
2.078843333333325e-007	1.000000e+000	2.999983e+000	2.413581e+000	2.757297e+000
2.079483333333326e-007	1.000000e+000	2.999987e+000	2.414421e+000	2.758049e+000
2.080763333333327e-007	1.000000e+000	2.999994e+000	2.416100e+000	2.759552e+000
2.080783333333327e-007	1.000000e+000	2.999995e+000	2.416126e+000	2.759575e+000
2.080823333333327e-007	1.000000e+000	2.999995e+000	2.416178e+000	2.759622e+000
2.080903333333327e-007	1.000000e+000	2.999995e+000	2.416283e+000	2.759716e+000
2.081063333333327e-007	1.000000e+000	2.999996e+000	2.416493e+000	2.759903e+000
2.081383333333328e-007	1.000000e+000	2.999997e+000	2.416912e+000	2.760279e+000
2.082023333333328e-007	1.000000e+000	2.999999e+000	2.417750e+000	2.761029e+000
2.082063333333328e-007	1.000000e+000	2.999999e+000	2.417803e+000	2.761076e+000
2.082143333333329e-007	1.000000e+000	2.999999e+000	2.417907e+000	2.761169e+000
2.082623333333329e-007	1.000000e+000	3.000000e+000	2.418536e+000	2.761731e+000
2.082703333333329e-007	1.000000e+000	3.000000e+000	2.418641e+000	2.761825e+000
2.082863333333329e-007	1.000000e+000	3.000000e+000	2.418850e+000	2.762012e+000
2.083023333333330e-007	1.000000e+000	3.000000e+000	2.419059e+000	2.762200e+000
2.083033333333330e-007	1.000000e+000	3.000000e+000	2.419072e+000	2.762211e+000
2.083053333333330e-007	1.000000e+000	3.000000e+000	2.419099e+000	2.762235e+000
2.083093333333330e-007	1.000000e+000	3.000000e+000	2.419151e+000	2.762282e+000
2.083173333333330e-007	1.000000e+000	3.000000e+000	2.419256e+000	2.762375e+000
2.083183333333330e-007	1.000000e+000	3.000000e+000	2.419269e+000	2.762387e+000
2.083203333333330e-007	1.000000e+000	3.000000e+000	2.419295e+000	2.762410e+000
2.083243333333330e-007	1.000000e+000	3.000000e+000	2.419347e+000	2.762457e+000
2.083263333333330e-007	1.000000e+000	3.000000e+000	2.419374e+000	2.762480e+000
2.083303333333330e-007	1.000000e+000	3.000000e+000	2.419426e+000	2.762527e+000
2.083313333333330e-007	1.000000e+000	3.000000e+000	2.419439e+000	2.762539e+000
2.083323333333330e-007	1.000000e+000	3.000000e+000	2.419452e+000	2.762551e+000
2.083333333333330e-007	1.000000e+000	3.000000e+000	2.419465e+000	2.762562e+000
2.083343333333330e-007	1.000000e+000	3.000000e+000	2.419478e+000	2.762574e+000
2.083344333333330e-007	9.000000e-001	3.000000e+000	2.419479e+000	2.762575e+000
2.083346333333330e-007	7.000000e-001	3.000000e+000	2.419482e+000	2.762577e+000
2.083350333333330e-007	3.000000e-001	3.000000e+000	2.419486e+000	2.762579e+000
2.083353333333330e-007	0.000000e+000	3.000000e+000	2.419488e+000	2.762580e+000
2.083354133333330e-007	0.000000e+000	3.000000e+000	2.419488e+000	2.762580e+000
2.083355733333330e-007	0.000000e+000	3.000000e+000	2.419489e+000	2.762580e+000
2.083358933333330e-007	0.000000e+000	3.000000e+000	2.419491e+000	2.762580e+000
2.083365333333330e-007	0.000000e+000	3.000000e+000	2.419496e+000	2.762580e+000
2.083378133333330e-007	0.000000e+000	3.000000e+000	2.419504e+000	2.762580e+000
2.083403733333330e-007	0.000000e+000	3.000000e+000	2.419520e+000	2.762580e+000
2.083454933333330e-007	0.000000e+000	3.000000e+000	2.419554e+000	2.762580e+000
2.083557333333330e-007	0.000000e+000	3.000000e+000	2.419620e+000	2.762580e+000
2.083762133333330e-007	0.000000e+000	3.000000e+000	2.419752e+000	2.762580e+000
2.084171733333331e-007	0.000000e+000	2.999999e+000	2.420016e+000	2.762580e+000
2.084990933333332e-007	0.000000e+000	2.999997e+000	2.420545e+000	2.762580e+000
2.086629333333333e-007	0.000000e+000	2.999988e+000	2.421598e+000	2.762580e+000
2.089906133333337e-007	0.000000e+000	2.999954e+000	2.423693e+000	2.762580e+000
2.135781333333389e-007	0.000000e+000	2.997069e+000	2.451403e+000	2.762580e+000
2.188210133333449e-007	0.000000e+000	2.988292e+000	2.479725e+000	2.762580e+000
2.293067733333568e-007	0.000000e+000	2.953362e+000	2.527500e+000	2.762581e+000
2.502782933333805e-007	0.000000e+000	2.819207e+000	2.597755e+000	2.762582e+000
2.886959514748044e-007	0.000000e+000	2.411484e+000	2.678672e+000	2.762583e+000
3.296200831741380e-007	0.000000e+000	1.794519e+000	2.725627e+000	2.762584e+000
3.629148445069757e-007	0.000000e+000	1.168673e+000	2.744364e+000	2.762583e+000
3.870101818845622e-007	0.000000e+000	6.635970e-001	2.751823e+000	2.762581e+000
3.930262417431578e-007	0.000000e+000	5.314057e-001	2.753065e+000	2.762580e+000
