time	V(logic)	V(signal_in)	V(signal_out)	V(vc)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	1.000000e+000	2.261947e-005	1.200389e-014	6.368304e-015
1.526712531052304e-010	1.000000e+000	3.453350e-003	-5.299557e-007	-2.856796e-007
3.043425062104609e-010	1.000000e+000	6.884065e-003	1.934659e-008	6.821899e-009
4.560137593156913e-010	1.000000e+000	1.031476e-002	1.647907e-006	8.775045e-007
6.076850124209217e-010	1.000000e+000	1.374545e-002	4.355725e-006	2.326368e-006
7.593562655261521e-010	1.000000e+000	1.717611e-002	8.142801e-006	4.353413e-006
9.110275186313826e-010	1.000000e+000	2.060677e-002	1.300913e-005	6.958639e-006
1.062698771736613e-009	1.000000e+000	2.403740e-002	1.895473e-005	1.014205e-005
1.327983214814282e-009	1.000000e+000	3.003773e-002	3.683147e-005	1.974898e-005
1.660558695527238e-009	1.000000e+000	3.755990e-002	7.162767e-005	3.850809e-005
2.078279185397685e-009	1.000000e+000	4.700749e-002	1.394745e-004	7.523117e-005
2.603938610486619e-009	1.000000e+000	5.889563e-002	2.715891e-004	1.470925e-004
3.254613941201944e-009	1.000000e+000	7.360967e-002	5.242880e-004	2.853893e-004
4.079247895971163e-009	1.000000e+000	9.225473e-002	1.017630e-003	5.574452e-004
5.113742435764941e-009	1.000000e+000	1.156392e-001	1.968923e-003	1.087044e-003
6.430837253237663e-009	1.000000e+000	1.454005e-001	3.825205e-003	2.132759e-003
8.104016450667717e-009	1.000000e+000	1.831870e-001	7.318115e-003	4.126212e-003
9.813000825667717e-009	1.000000e+000	2.217532e-001	1.236942e-002	7.049010e-003
1.152198520066772e-008	1.000000e+000	2.602827e-001	1.917899e-002	1.104484e-002
1.323096957566772e-008	1.000000e+000	2.987689e-001	2.792032e-002	1.624646e-002
1.493995395066772e-008	1.000000e+000	3.372056e-001	3.872102e-002	2.276346e-002
1.664893832566772e-008	1.000000e+000	3.755863e-001	5.167281e-002	3.068689e-002
1.835792270066772e-008	1.000000e+000	4.139046e-001	6.683412e-002	4.008975e-002
2.006690707566772e-008	1.000000e+000	4.521542e-001	8.423277e-002	5.102761e-002
2.177589145066772e-008	1.000000e+000	4.903287e-001	1.038686e-001	6.353930e-002
2.348487582566772e-008	1.000000e+000	5.284218e-001	1.257165e-001	7.764788e-002
2.519386020066773e-008	1.000000e+000	5.664272e-001	1.497288e-001	9.336153e-002
2.690284457566773e-008	1.000000e+000	6.043385e-001	1.758382e-001	1.106747e-001
2.861182895066773e-008	1.000000e+000	6.421495e-001	2.039605e-001	1.295690e-001
3.032081332566773e-008	1.000000e+000	6.798539e-001	2.339968e-001	1.500149e-001
3.202979770066773e-008	1.000000e+000	7.174454e-001	2.658364e-001	1.719721e-001
3.373878207566774e-008	1.000000e+000	7.549177e-001	2.993589e-001	1.953913e-001
3.544776645066774e-008	1.000000e+000	7.922648e-001	3.344362e-001	2.202153e-001
3.715675082566774e-008	1.000000e+000	8.294803e-001	3.709349e-001	2.463797e-001
4.057471957566774e-008	1.000000e+000	9.034920e-001	4.476458e-001	3.024449e-001
4.399268832566775e-008	1.000000e+000	9.769036e-001	5.283810e-001	3.629757e-001
4.741065707566775e-008	1.000000e+000	1.049667e+000	6.120490e-001	4.273172e-001
5.082862582566775e-008	1.000000e+000	1.121732e+000	6.976186e-001	4.948012e-001
5.424659457566776e-008	1.000000e+000	1.193053e+000	7.841542e-001	5.647732e-001
5.766456332566776e-008	1.000000e+000	1.263582e+000	8.708370e-001	6.366137e-001
6.279151645066776e-008	1.000000e+000	1.367787e+000	9.996614e-001	7.466467e-001
6.791846957566777e-008	1.000000e+000	1.469948e+000	1.125492e+000	8.579391e-001
7.304542270066777e-008	1.000000e+000	1.569913e+000	1.247113e+000	9.691288e-001
7.817237582566778e-008	1.000000e+000	1.667532e+000	1.363810e+000	1.079162e+000
8.232276645066778e-008	1.000000e+000	1.744917e+000	1.454027e+000	1.167088e+000
8.647315707566779e-008	1.000000e+000	1.820414e+000	1.541192e+000	1.253177e+000
9.062354770066780e-008	1.000000e+000	1.894023e+000	1.625307e+000	1.337430e+000
9.477393832566780e-008	1.000000e+000	1.965744e+000	1.706369e+000	1.419846e+000
9.892432895066780e-008	1.000000e+000	2.035577e+000	1.784381e+000	1.500427e+000
1.030747195756678e-007	1.000000e+000	2.103523e+000	1.859341e+000	1.579171e+000
1.072251102006678e-007	1.000000e+000	2.169580e+000	1.931249e+000	1.656078e+000
1.133286258256678e-007	1.000000e+000	2.263015e+000	2.033352e+000	1.765665e+000
1.194321414506678e-007	1.000000e+000	2.351225e+000	2.131135e+000	1.871241e+000
1.255356570756678e-007	1.000000e+000	2.434209e+000	2.224599e+000	1.972806e+000
1.316391727006677e-007	1.000000e+000	2.511966e+000	2.313745e+000	2.070359e+000
1.377426883256677e-007	1.000000e+000	2.584498e+000	2.398571e+000	2.163901e+000
1.438462039506677e-007	1.000000e+000	2.651804e+000	2.479079e+000	2.253431e+000
1.499497195756676e-007	1.000000e+000	2.713884e+000	2.555267e+000	2.338950e+000
1.572739383256676e-007	1.000000e+000	2.780642e+000	2.640905e+000	2.436211e+000
1.645981570756675e-007	1.000000e+000	2.838560e+000	2.718025e+000	2.525623e+000
1.719223758256675e-007	1.000000e+000	2.887640e+000	2.786629e+000	2.607185e+000
1.792465945756674e-007	1.000000e+000	2.927879e+000	2.846714e+000	2.680899e+000
1.865708133256674e-007	1.000000e+000	2.959279e+000	2.898283e+000	2.746764e+000
1.938950320756674e-007	1.000000e+000	2.981840e+000	2.941334e+000	2.804779e+000
2.012192508256673e-007	1.000000e+000	2.995561e+000	2.975868e+000	2.854946e+000
2.020713062753812e-007	1.000000e+000	2.996526e+000	2.979199e+000	2.860120e+000
2.029233617250951e-007	1.000000e+000	2.997375e+000	2.982414e+000	2.865183e+000
2.037754171748090e-007	1.000000e+000	2.998109e+000	2.985511e+000	2.870134e+000
2.046274726245228e-007	1.000000e+000	2.998727e+000	2.988492e+000	2.874974e+000
2.054795280742367e-007	1.000000e+000	2.999229e+000	2.991355e+000	2.879702e+000
2.063315835239506e-007	1.000000e+000	2.999616e+000	2.994101e+000	2.884319e+000
2.071836389736645e-007	1.000000e+000	2.999887e+000	2.996730e+000	2.888824e+000
2.072859819606810e-007	1.000000e+000	2.999906e+000	2.997033e+000	2.889353e+000
2.074224392767030e-007	1.000000e+000	2.999928e+000	2.997432e+000	2.890053e+000
2.076953539087469e-007	1.000000e+000	2.999964e+000	2.998223e+000	2.891448e+000
2.077885040692451e-007	1.000000e+000	2.999974e+000	2.998491e+000	2.891921e+000
2.079748043902416e-007	1.000000e+000	2.999989e+000	2.999021e+000	2.892863e+000
2.079758043902416e-007	1.000000e+000	2.999989e+000	2.999024e+000	2.892868e+000
2.079778043902416e-007	1.000000e+000	2.999989e+000	2.999029e+000	2.892878e+000
2.079818043902416e-007	1.000000e+000	2.999990e+000	2.999041e+000	2.892898e+000
2.079898043902416e-007	1.000000e+000	2.999990e+000	2.999063e+000	2.892939e+000
2.080058043902416e-007	1.000000e+000	2.999991e+000	2.999108e+000	2.893019e+000
2.080378043902416e-007	1.000000e+000	2.999993e+000	2.999198e+000	2.893180e+000
2.081018043902417e-007	1.000000e+000	2.999995e+000	2.999378e+000	2.893501e+000
2.082063333333328e-007	1.000000e+000	2.999999e+000	2.999671e+000	2.894025e+000
2.082073333333329e-007	1.000000e+000	2.999999e+000	2.999673e+000	2.894030e+000
2.082093333333329e-007	1.000000e+000	2.999999e+000	2.999679e+000	2.894040e+000
2.082133333333329e-007	1.000000e+000	2.999999e+000	2.999690e+000	2.894060e+000
2.082213333333329e-007	1.000000e+000	2.999999e+000	2.999712e+000	2.894100e+000
2.082373333333329e-007	1.000000e+000	2.999999e+000	2.999757e+000	2.894180e+000
2.082693333333329e-007	1.000000e+000	3.000000e+000	2.999846e+000	2.894340e+000
2.082703333333329e-007	1.000000e+000	3.000000e+000	2.999848e+000	2.894345e+000
2.082723333333329e-007	1.000000e+000	3.000000e+000	2.999854e+000	2.894355e+000
2.082763333333329e-007	1.000000e+000	3.000000e+000	2.999865e+000	2.894375e+000
2.082843333333329e-007	1.000000e+000	3.000000e+000	2.999887e+000	2.894415e+000
2.083003333333330e-007	1.000000e+000	3.000000e+000	2.999932e+000	2.894495e+000
2.083023333333330e-007	1.000000e+000	3.000000e+000	2.999937e+000	2.894505e+000
2.083063333333330e-007	1.000000e+000	3.000000e+000	2.999948e+000	2.894524e+000
2.083143333333330e-007	1.000000e+000	3.000000e+000	2.999970e+000	2.894564e+000
2.083183333333330e-007	1.000000e+000	3.000000e+000	2.999981e+000	2.894584e+000
2.083263333333330e-007	1.000000e+000	3.000000e+000	3.000003e+000	2.894624e+000
2.083293333333330e-007	1.000000e+000	3.000000e+000	3.000012e+000	2.894639e+000
2.083303333333330e-007	1.000000e+000	3.000000e+000	3.000015e+000	2.894644e+000
2.083323333333330e-007	1.000000e+000	3.000000e+000	3.000020e+000	2.894654e+000
2.083333333333330e-007	1.000000e+000	3.000000e+000	3.000023e+000	2.894659e+000
2.083343333333330e-007	1.000000e+000	3.000000e+000	3.000026e+000	2.894664e+000
2.083344333333330e-007	9.000000e-001	3.000000e+000	3.000026e+000	2.894664e+000
2.083346333333330e-007	7.000000e-001	3.000000e+000	3.000026e+000	2.894665e+000
2.083350333333330e-007	3.000000e-001	3.000000e+000	3.000025e+000	2.894666e+000
2.083353333333330e-007	0.000000e+000	3.000000e+000	3.000024e+000	2.894666e+000
2.083354133333330e-007	0.000000e+000	3.000000e+000	3.000023e+000	2.894666e+000
2.083355733333330e-007	0.000000e+000	3.000000e+000	3.000022e+000	2.894666e+000
2.083358933333330e-007	0.000000e+000	3.000000e+000	3.000020e+000	2.894666e+000
2.083365333333330e-007	0.000000e+000	3.000000e+000	3.000015e+000	2.894666e+000
2.083378133333330e-007	0.000000e+000	3.000000e+000	3.000007e+000	2.894666e+000
2.083403733333330e-007	0.000000e+000	3.000000e+000	2.999990e+000	2.894666e+000
2.083454933333330e-007	0.000000e+000	3.000000e+000	2.999956e+000	2.894666e+000
2.083557333333330e-007	0.000000e+000	3.000000e+000	2.999889e+000	2.894666e+000
2.083762133333330e-007	0.000000e+000	3.000000e+000	2.999753e+000	2.894666e+000
2.084171733333331e-007	0.000000e+000	2.999999e+000	2.999484e+000	2.894666e+000
2.084990933333332e-007	0.000000e+000	2.999997e+000	2.998947e+000	2.894667e+000
2.086629333333333e-007	0.000000e+000	2.999988e+000	2.997883e+000	2.894667e+000
2.089906133333337e-007	0.000000e+000	2.999954e+000	2.995795e+000	2.894667e+000
2.126656777083359e-007	0.000000e+000	2.998275e+000	2.975150e+000	2.894673e+000
2.153512245833359e-007	0.000000e+000	2.995671e+000	2.963239e+000	2.894677e+000
2.180367714583359e-007	0.000000e+000	2.991844e+000	2.952643e+000	2.894681e+000
2.207223183333359e-007	0.000000e+000	2.986794e+000	2.943360e+000	2.894686e+000
2.234078652083359e-007	0.000000e+000	2.980522e+000	2.935392e+000	2.894691e+000
2.260934120833358e-007	0.000000e+000	2.973026e+000	2.928739e+000	2.894695e+000
2.287789589583358e-007	0.000000e+000	2.964308e+000	2.923400e+000	2.894700e+000
2.314645058333358e-007	0.000000e+000	2.954367e+000	2.919375e+000	2.894706e+000
2.365914589583358e-007	0.000000e+000	2.932043e+000	2.912586e+000	2.894717e+000
2.417184120833358e-007	0.000000e+000	2.905338e+000	2.907672e+000	2.894727e+000
2.468453652083358e-007	0.000000e+000	2.874291e+000	2.904115e+000	2.894738e+000
2.519723183333359e-007	0.000000e+000	2.838951e+000	2.901540e+000	2.894748e+000
2.570992714583359e-007	0.000000e+000	2.799368e+000	2.899676e+000	2.894757e+000
2.605172402083360e-007	0.000000e+000	2.770652e+000	2.898729e+000	2.894763e+000
2.639352089583360e-007	0.000000e+000	2.740096e+000	2.897964e+000	2.894767e+000
2.673531777083360e-007	0.000000e+000	2.707721e+000	2.897346e+000	2.894770e+000
2.707711464583361e-007	0.000000e+000	2.673547e+000	2.896845e+000	2.894772e+000
2.724801308333361e-007	0.000000e+000	2.655793e+000	2.896631e+000	2.894772e+000
2.741891152083361e-007	0.000000e+000	2.637598e+000	2.896439e+000	2.894772e+000
2.776070839583361e-007	0.000000e+000	2.599897e+000	2.896107e+000	2.894770e+000
