time	V(logic)	V(signal_in)	V(signal_out)	V(vc)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	1.000000e+000	1.564513e-007	6.526971e-018	1.338503e-012
3.409790176141865e-009	1.000000e+000	5.334662e-004	-3.035737e-006	1.653683e-005
6.818580352283730e-009	1.000000e+000	1.066776e-003	7.040597e-007	6.422466e-005
1.022737052842559e-008	1.000000e+000	1.600085e-003	1.121939e-005	1.430635e-004
1.363616070456746e-008	1.000000e+000	2.133395e-003	2.851026e-005	2.530533e-004
1.704495088070933e-008	1.000000e+000	2.666704e-003	5.257666e-005	3.941942e-004
2.045374105685119e-008	1.000000e+000	3.200014e-003	8.341859e-005	5.664861e-004
2.386253123299305e-008	1.000000e+000	3.733323e-003	1.210361e-004	7.699289e-004
3.040253216460252e-008	1.000000e+000	4.756514e-003	2.418804e-004	1.238503e-003
3.906046806308931e-008	1.000000e+000	6.111057e-003	4.845214e-004	2.006913e-003
4.922912059230491e-008	1.000000e+000	7.701952e-003	9.076687e-004	3.108677e-003
6.226786708383894e-008	1.000000e+000	9.741871e-003	1.692812e-003	4.799674e-003
7.916448266195197e-008	1.000000e+000	1.238535e-002	3.122653e-003	7.351717e-003
1.022909711836417e-007	1.000000e+000	1.600347e-002	5.776354e-003	1.126780e-002
1.353288551342284e-007	1.000000e+000	2.117218e-002	1.058390e-002	1.718206e-002
1.757886802365499e-007	1.000000e+000	2.750195e-002	1.740777e-002	2.431502e-002
2.218932211323835e-007	1.000000e+000	3.471465e-002	2.559319e-002	3.183031e-002
2.774177423395530e-007	1.000000e+000	4.340073e-002	3.513086e-002	3.999539e-002
3.542279365727698e-007	1.000000e+000	5.541598e-002	4.745447e-002	5.060470e-002
4.542279365727698e-007	1.000000e+000	7.105742e-002	6.285916e-002	6.444123e-002
8.970850794299125e-007	1.000000e+000	1.403899e-001	1.321514e-001	1.274306e-001
1.339942222287055e-006	1.000000e+000	2.095556e-001	2.012917e-001	1.902698e-001
1.782799365144198e-006	1.000000e+000	2.785544e-001	2.702802e-001	2.529589e-001
2.225656508001340e-006	1.000000e+000	3.473864e-001	3.391168e-001	3.154979e-001
2.668513650858483e-006	1.000000e+000	4.160515e-001	4.078016e-001	3.778868e-001
3.111370793715626e-006	1.000000e+000	4.845498e-001	4.763344e-001	4.401255e-001
3.554227936572767e-006	1.000000e+000	5.528813e-001	5.447154e-001	5.022142e-001
4.768513650858486e-006	1.000000e+000	7.401335e-001	7.320808e-001	6.724379e-001
5.982799365144205e-006	1.000000e+000	9.226458e-001	9.147368e-001	8.384166e-001
7.197085079429923e-006	1.000000e+000	1.100418e+000	1.092683e+000	1.000150e+000
8.411370793715642e-006	1.000000e+000	1.273450e+000	1.265920e+000	1.157639e+000
9.625656508001361e-006	1.000000e+000	1.441743e+000	1.434448e+000	1.310883e+000
1.083994222228708e-005	1.000000e+000	1.605295e+000	1.598266e+000	1.459881e+000
1.205422793657280e-005	1.000000e+000	1.764107e+000	1.757375e+000	1.604635e+000
