time	V(logic)	V(signal_in)	V(signal_out)	V(vc)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	1.000000e+000	1.564513e-007	6.983172e-017	3.704737e-020
1.111271391938802e-009	1.000000e+000	1.738599e-004	-1.135126e-006	-7.749329e-010
2.221542783877604e-009	1.000000e+000	3.475633e-004	2.914865e-007	2.859819e-011
3.331814175816406e-009	1.000000e+000	5.212667e-004	4.279837e-006	2.410593e-009
4.442085567755208e-009	1.000000e+000	6.949701e-004	1.082993e-005	6.371052e-009
5.552356959694010e-009	1.000000e+000	8.686736e-004	1.994175e-005	1.190998e-008
6.662628351632812e-009	1.000000e+000	1.042377e-003	3.161532e-005	1.902736e-008
7.772899743571610e-009	1.000000e+000	1.216080e-003	4.585062e-005	2.772321e-008
9.927659167089875e-009	1.000000e+000	1.553195e-003	9.197613e-005	5.762971e-008
1.280358686593764e-008	1.000000e+000	2.003138e-003	1.843464e-004	1.205636e-007
1.594635451528062e-008	1.000000e+000	2.494828e-003	3.333799e-004	2.288830e-007
2.036292467616436e-008	1.000000e+000	3.185806e-003	6.331838e-004	4.647916e-007
2.584709983673729e-008	1.000000e+000	4.043811e-003	1.150455e-003	9.182924e-007
3.379471130339181e-008	1.000000e+000	5.287224e-003	2.149482e-003	1.931933e-006
4.483708919364360e-008	1.000000e+000	7.014814e-003	3.859018e-003	4.012537e-006
5.773364588378125e-008	1.000000e+000	9.032490e-003	6.097074e-003	7.404671e-006
7.239049847825949e-008	1.000000e+000	1.132556e-002	8.688183e-003	1.250362e-005
9.076334624333209e-008	1.000000e+000	1.419999e-002	1.176493e-002	2.072572e-005
1.526988579973837e-007	1.000000e+000	2.388966e-002	2.139734e-002	6.153125e-005
2.021908184119844e-007	1.000000e+000	3.163234e-002	2.911588e-002	1.104246e-004
2.871533993612543e-007	1.000000e+000	4.492350e-002	4.242834e-002	2.271400e-004
4.168853593683372e-007	1.000000e+000	6.521559e-002	6.271785e-002	4.902345e-004
6.610259843683372e-007	1.000000e+000	1.033937e-001	1.008962e-001	1.205175e-003
9.051666093683372e-007	1.000000e+000	1.415562e-001	1.390595e-001	2.188006e-003
1.149307234368337e-006	1.000000e+000	1.796957e-001	1.772004e-001	3.472088e-003
1.393447859368337e-006	1.000000e+000	2.178061e-001	2.153127e-001	5.054767e-003
1.637588484368337e-006	1.000000e+000	2.558812e-001	2.533898e-001	6.933362e-003
1.881729109368337e-006	1.000000e+000	2.939148e-001	2.914262e-001	9.105165e-003
2.125869734368337e-006	1.000000e+000	3.319008e-001	3.294149e-001	1.156744e-002
2.370010359368338e-006	1.000000e+000	3.698329e-001	3.673508e-001	1.431741e-002
2.614150984368338e-006	1.000000e+000	4.077051e-001	4.052265e-001	1.735230e-002
2.858291609368338e-006	1.000000e+000	4.455113e-001	4.430371e-001	2.066927e-002
3.102432234368338e-006	1.000000e+000	4.832452e-001	4.807754e-001	2.426549e-002
3.346572859368338e-006	1.000000e+000	5.209007e-001	5.184361e-001	2.813809e-002
3.590713484368339e-006	1.000000e+000	5.584719e-001	5.560125e-001	3.228415e-002
3.834854109368339e-006	1.000000e+000	5.959525e-001	5.934991e-001	3.670076e-002
4.078994734368339e-006	1.000000e+000	6.333364e-001	6.308892e-001	4.138496e-002
4.323135359368339e-006	1.000000e+000	6.706178e-001	6.681771e-001	4.633378e-002
4.811416609368340e-006	1.000000e+000	7.448483e-001	7.424220e-001	5.701324e-002
5.299697859368340e-006	1.000000e+000	8.185958e-001	8.161855e-001	6.871485e-002
5.787979109368341e-006	1.000000e+000	8.918126e-001	8.894197e-001	8.141391e-002
6.276260359368341e-006	1.000000e+000	9.644511e-001	9.620774e-001	9.508535e-002
7.008682234368342e-006	1.000000e+000	1.072222e+000	1.069880e+000	1.173601e-001
7.741104109368342e-006	1.000000e+000	1.178428e+000	1.176121e+000	1.416782e-001
8.473525984368343e-006	1.000000e+000	1.282916e+000	1.280647e+000	1.679508e-001
9.380334020082630e-006	1.000000e+000	1.410332e+000	1.408115e+000	2.035061e-001
