time	V(logic)	V(signal_in)	V(signal_out)	V(vc)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	1.000000e+000	2.607522e-007	1.163863e-016	6.174523e-017
5.908038155521300e-010	1.000000e+000	1.540534e-004	-3.243043e-007	-1.830384e-007
1.180607631104260e-009	1.000000e+000	3.078460e-004	4.025663e-008	1.322739e-008
1.770411446656390e-009	1.000000e+000	4.616386e-004	1.093683e-006	5.887972e-007
2.360215262208520e-009	1.000000e+000	6.154313e-004	2.835974e-006	1.543671e-006
2.950019077760650e-009	1.000000e+000	7.692239e-004	5.267130e-006	2.877849e-006
3.539822893312780e-009	1.000000e+000	9.230166e-004	8.387152e-006	4.591331e-006
4.129626708864909e-009	1.000000e+000	1.076809e-003	1.219604e-005	6.684118e-006
5.205291390059213e-009	1.000000e+000	1.357291e-003	2.398741e-005	1.325476e-005
6.584261447475338e-009	1.000000e+000	1.716861e-003	4.742117e-005	2.647703e-005
8.369801362543304e-009	1.000000e+000	2.182444e-003	9.444095e-005	5.343260e-005
1.071657752469588e-008	1.000000e+000	2.794371e-003	1.889254e-004	1.086611e-004
1.360487514005918e-008	1.000000e+000	3.547501e-003	3.655477e-004	2.145258e-004
1.759348600609007e-008	1.000000e+000	4.587539e-003	7.312496e-004	4.409228e-004
2.304480628151180e-008	1.000000e+000	6.008982e-003	1.472971e-003	9.214794e-004
3.164208808116790e-008	1.000000e+000	8.250739e-003	3.109055e-003	2.040120e-003
4.153620534929064e-008	1.000000e+000	1.083065e-002	5.528881e-003	3.806914e-003
5.430642111005084e-008	1.000000e+000	1.416050e-002	9.155647e-003	6.655429e-003
6.799251779352729e-008	1.000000e+000	1.772916e-002	1.320734e-002	1.010313e-002
8.539664309225724e-008	1.000000e+000	2.226728e-002	1.816835e-002	1.467500e-002
1.077134349655130e-007	1.000000e+000	2.808635e-002	2.410849e-002	2.048452e-002
1.434290444181433e-007	1.000000e+000	3.739905e-002	3.328644e-002	2.966600e-002
1.848723336340511e-007	1.000000e+000	4.820502e-002	4.401950e-002	4.038253e-002
2.530643099136908e-007	1.000000e+000	6.598482e-002	6.183267e-002	5.815915e-002
9.340958057569693e-007	1.000000e+000	2.440184e-001	2.398700e-001	2.362028e-001
1.615127301600248e-006	1.000000e+000	4.211890e-001	4.170494e-001	4.133930e-001
2.296158797443526e-006	1.000000e+000	5.974967e-001	5.933708e-001	5.897295e-001
2.977190293286805e-006	1.000000e+000	7.729415e-001	7.688342e-001	7.652125e-001
3.658221789130083e-006	1.000000e+000	9.475234e-001	9.434397e-001	9.398420e-001
4.339253284973362e-006	1.000000e+000	1.121242e+000	1.117187e+000	1.113618e+000
5.020284780816639e-006	1.000000e+000	1.294098e+000	1.290077e+000	1.286540e+000
6.359570495102356e-006	1.000000e+000	1.631750e+000	1.627812e+000	1.624354e+000
7.698856209388072e-006	1.000000e+000	1.957642e+000	1.953804e+000	1.950441e+000
9.038141923673789e-006	1.000000e+000	2.271774e+000	2.268055e+000	2.264802e+000
1.037742763795951e-005	1.000000e+000	2.574146e+000	2.570563e+000	2.567435e+000
1.171671335224522e-005	1.000000e+000	2.864757e+000	2.861328e+000	2.858342e+000
1.305599906653094e-005	1.000000e+000	3.143609e+000	3.140352e+000	3.137522e+000
1.439528478081665e-005	1.000000e+000	3.410701e+000	3.407633e+000	3.404975e+000
1.583501692367380e-005	1.000000e+000	3.678260e+000	3.675413e+000	3.672957e+000
1.727474906653095e-005	1.000000e+000	3.922054e+000	3.919442e+000	3.917197e+000
1.871448120938810e-005	1.000000e+000	4.142084e+000	4.139719e+000	4.137696e+000
2.015421335224524e-005	1.000000e+000	4.338350e+000	4.336244e+000	4.334455e+000
2.159394549510239e-005	1.000000e+000	4.510852e+000	4.509018e+000	4.507472e+000
2.303367763795953e-005	1.000000e+000	4.659589e+000	4.658040e+000	4.656748e+000
2.447340978081668e-005	1.000000e+000	4.784562e+000	4.783310e+000	4.782283e+000
2.500000100000000e-005	1.000000e+000	4.822787e+000	4.821644e+000	4.820714e+000
2.500000110000000e-005	9.000000e-001	4.822787e+000	4.821644e+000	4.820714e+000
2.500000130000000e-005	7.000000e-001	4.822787e+000	4.821644e+000	4.820714e+000
2.500000170000000e-005	3.000000e-001	4.822787e+000	4.821644e+000	4.820714e+000
2.500000200000000e-005	0.000000e+000	4.822787e+000	4.821644e+000	4.820714e+000
2.500000208000000e-005	0.000000e+000	4.822787e+000	4.821644e+000	4.820714e+000
2.500000224000000e-005	0.000000e+000	4.822787e+000	4.821644e+000	4.820714e+000
2.500000256000000e-005	0.000000e+000	4.822787e+000	4.821644e+000	4.820714e+000
2.500000320000000e-005	0.000000e+000	4.822787e+000	4.821644e+000	4.820714e+000
2.500000448000000e-005	0.000000e+000	4.822787e+000	4.821644e+000	4.820714e+000
2.500000704000000e-005	0.000000e+000	4.822788e+000	4.821643e+000	4.820714e+000
2.500001215999999e-005	0.000000e+000	4.822788e+000	4.821643e+000	4.820714e+000
2.500002239999999e-005	0.000000e+000	4.822789e+000	4.821642e+000	4.820714e+000
2.500004287999997e-005	0.000000e+000	4.822790e+000	4.821641e+000	4.820714e+000
2.500008383999995e-005	0.000000e+000	4.822793e+000	4.821639e+000	4.820714e+000
2.500016575999990e-005	0.000000e+000	4.822799e+000	4.821634e+000	4.820714e+000
2.500032959999980e-005	0.000000e+000	4.822810e+000	4.821624e+000	4.820714e+000
2.500065727999960e-005	0.000000e+000	4.822832e+000	4.821605e+000	4.820714e+000
2.500131263999920e-005	0.000000e+000	4.822877e+000	4.821568e+000	4.820714e+000
2.500262335999841e-005	0.000000e+000	4.822968e+000	4.821498e+000	4.820714e+000
2.501048767999363e-005	0.000000e+000	4.823508e+000	4.821196e+000	4.820715e+000
2.504194495997451e-005	0.000000e+000	4.825659e+000	4.820780e+000	4.820718e+000
2.508388799994903e-005	0.000000e+000	4.828501e+000	4.820699e+000	4.820730e+000
2.516777407989805e-005	0.000000e+000	4.834100e+000	4.820769e+000	4.820806e+000
2.533554623979610e-005	0.000000e+000	4.845006e+000	4.821166e+000	4.821178e+000
2.556992123979610e-005	0.000000e+000	4.859687e+000	4.822089e+000	4.822073e+000
2.579958896380661e-005	0.000000e+000	4.873416e+000	4.823244e+000	4.823217e+000
2.603396396380661e-005	0.000000e+000	4.886703e+000	4.824527e+000	4.824497e+000
2.626833896380662e-005	0.000000e+000	4.899263e+000	4.825849e+000	4.825817e+000
2.650271396380662e-005	0.000000e+000	4.911091e+000	4.827207e+000	4.827172e+000
2.673708896380662e-005	0.000000e+000	4.922185e+000	4.828595e+000	4.828559e+000
2.697146396380662e-005	0.000000e+000	4.932545e+000	4.830012e+000	4.829975e+000
2.720583896380662e-005	0.000000e+000	4.942167e+000	4.831454e+000	4.831415e+000
2.744021396380662e-005	0.000000e+000	4.951050e+000	4.832919e+000	4.832879e+000
2.767458896380662e-005	0.000000e+000	4.959195e+000	4.834404e+000	4.834363e+000
2.790896396380662e-005	0.000000e+000	4.966598e+000	4.835906e+000	4.835864e+000
2.814333896380662e-005	0.000000e+000	4.973259e+000	4.837424e+000	4.837381e+000
2.837771396380662e-005	0.000000e+000	4.979177e+000	4.838956e+000	4.838912e+000
2.884646396380662e-005	0.000000e+000	4.988782e+000	4.842051e+000	4.842006e+000
2.931521396380662e-005	0.000000e+000	4.995405e+000	4.845173e+000	4.845128e+000
2.978396396380662e-005	0.000000e+000	4.999043e+000	4.848307e+000	4.848261e+000
3.001833896380663e-005	0.000000e+000	4.999743e+000	4.849873e+000	4.849827e+000
3.025271396380663e-005	0.000000e+000	4.999694e+000	4.851435e+000	4.851390e+000
3.048708896380663e-005	0.000000e+000	4.998899e+000	4.852993e+000	4.852948e+000
3.072146396380662e-005	0.000000e+000	4.997358e+000	4.854542e+000	4.854498e+000
3.095583896380662e-005	0.000000e+000	4.995070e+000	4.856082e+000	4.856039e+000
3.119021396380662e-005	0.000000e+000	4.992035e+000	4.857611e+000	4.857568e+000
3.142458896380662e-005	0.000000e+000	4.988255e+000	4.859125e+000	4.859083e+000
3.165896396380661e-005	0.000000e+000	4.983729e+000	4.860624e+000	4.860583e+000
3.189333896380661e-005	0.000000e+000	4.978459e+000	4.862105e+000	4.862065e+000
3.212771396380661e-005	0.000000e+000	4.972445e+000	4.863565e+000	4.863527e+000
3.236208896380660e-005	0.000000e+000	4.965689e+000	4.865003e+000	4.864966e+000
3.259646396380660e-005	0.000000e+000	4.958190e+000	4.866416e+000	4.866380e+000
3.283083896380660e-005	0.000000e+000	4.949951e+000	4.867801e+000	4.867766e+000
3.306521396380660e-005	0.000000e+000	4.940973e+000	4.869154e+000	4.869123e+000
3.329958896380659e-005	0.000000e+000	4.931256e+000	4.870474e+000	4.870444e+000
3.353396396380659e-005	0.000000e+000	4.920802e+000	4.871757e+000	4.871729e+000
3.376833896380659e-005	0.000000e+000	4.909614e+000	4.872994e+000	4.872970e+000
3.400271396380658e-005	0.000000e+000	4.897691e+000	4.874181e+000	4.874159e+000
3.423708896380658e-005	0.000000e+000	4.885037e+000	4.875292e+000	4.875276e+000
3.447146396380658e-005	0.000000e+000	4.871654e+000	4.876251e+000	4.876246e+000
3.470583896380658e-005	0.000000e+000	4.857543e+000	4.876847e+000	4.876870e+000
3.494021396380657e-005	0.000000e+000	4.842706e+000	4.876796e+000	4.876864e+000
3.517458896380657e-005	0.000000e+000	4.827145e+000	4.876036e+000	4.876146e+000
3.540896396380657e-005	0.000000e+000	4.810863e+000	4.874844e+000	4.874970e+000
3.564333896380657e-005	0.000000e+000	4.793862e+000	4.873509e+000	4.873640e+000
3.587771396380656e-005	0.000000e+000	4.776146e+000	4.872124e+000	4.872257e+000
3.611208896380656e-005	0.000000e+000	4.757716e+000	4.870689e+000	4.870825e+000
3.634646396380656e-005	0.000000e+000	4.738575e+000	4.869204e+000	4.869343e+000
3.658083896380655e-005	0.000000e+000	4.718726e+000	4.867668e+000	4.867810e+000
3.681521396380655e-005	0.000000e+000	4.698173e+000	4.866080e+000	4.866226e+000
3.704958896380655e-005	0.000000e+000	4.676917e+000	4.864441e+000	4.864590e+000
3.728396396380655e-005	0.000000e+000	4.654963e+000	4.862748e+000	4.862900e+000
3.751833896380654e-005	0.000000e+000	4.632313e+000	4.861001e+000	4.861156e+000
3.775271396380654e-005	0.000000e+000	4.608971e+000	4.859199e+000	4.859357e+000
3.798708896380654e-005	0.000000e+000	4.584940e+000	4.857340e+000	4.857502e+000
3.845583896380653e-005	0.000000e+000	4.534829e+000	4.853448e+000	4.853617e+000
3.915896396380652e-005	0.000000e+000	4.454589e+000	4.847156e+000	4.847335e+000
3.986208896380652e-005	0.000000e+000	4.368361e+000	4.840289e+000	4.840480e+000
4.090003539237793e-005	0.000000e+000	4.229142e+000	4.829271e+000	4.829481e+000
4.193798182094935e-005	0.000000e+000	4.078733e+000	4.816577e+000	4.816807e+000
4.297592824952077e-005	0.000000e+000	3.917133e+000	4.802206e+000	4.802457e+000
4.401387467809218e-005	0.000000e+000	3.744344e+000	4.786158e+000	4.786432e+000
4.505182110666360e-005	0.000000e+000	3.560365e+000	4.768433e+000	4.768730e+000
4.608976753523501e-005	0.000000e+000	3.365196e+000	4.749031e+000	4.749354e+000
4.712771396380643e-005	0.000000e+000	3.158838e+000	4.727952e+000	4.728301e+000
4.750455839754837e-005	0.000000e+000	3.081978e+000	4.719735e+000	4.720093e+000
4.788140283129031e-005	0.000000e+000	3.004012e+000	4.711247e+000	4.711616e+000
4.825824726503225e-005	0.000000e+000	2.924942e+000	4.702491e+000	4.702869e+000
4.863509169877419e-005	0.000000e+000	2.844766e+000	4.693465e+000	4.693853e+000
4.901193613251613e-005	0.000000e+000	2.763485e+000	4.684169e+000	4.684567e+000
4.938878056625807e-005	0.000000e+000	2.681098e+000	4.674603e+000	4.675012e+000
4.976562500000001e-005	0.000000e+000	2.597606e+000	4.664768e+000	4.665188e+000
4.988519807238722e-005	0.000000e+000	2.570927e+000	4.661587e+000	4.662009e+000
4.988520007238723e-005	0.000000e+000	2.570927e+000	4.661587e+000	4.662009e+000
4.988522807238731e-005	0.000000e+000	2.570921e+000	4.661586e+000	4.662009e+000
4.989458592955618e-005	0.000000e+000	2.568827e+000	4.661335e+000	4.661758e+000
4.990394378672506e-005	0.000000e+000	2.566734e+000	4.661085e+000	4.661507e+000
4.991330164389393e-005	0.000000e+000	2.564639e+000	4.660834e+000	4.661257e+000
4.992265950106281e-005	0.000000e+000	2.562544e+000	4.660583e+000	4.661006e+000
4.993201735823169e-005	0.000000e+000	2.560449e+000	4.660332e+000	4.660755e+000
4.994137521540056e-005	0.000000e+000	2.558353e+000	4.660081e+000	4.660504e+000
4.995073307256944e-005	0.000000e+000	2.556256e+000	4.659829e+000	4.660254e+000
4.995073507256944e-005	0.000000e+000	2.556256e+000	4.659829e+000	4.660254e+000
4.995073907256946e-005	0.000000e+000	2.556255e+000	4.659829e+000	4.660253e+000
4.995076307256952e-005	0.000000e+000	2.556249e+000	4.659828e+000	4.660253e+000
4.995543978686824e-005	0.000000e+000	2.555201e+000	4.659702e+000	4.660127e+000
4.996011650116696e-005	0.000000e+000	2.554153e+000	4.659576e+000	4.660001e+000
4.996479321546567e-005	0.000000e+000	2.553104e+000	4.659451e+000	4.659875e+000
4.996946992976440e-005	0.000000e+000	2.552056e+000	4.659325e+000	4.659750e+000
4.997414664406311e-005	0.000000e+000	2.551007e+000	4.659199e+000	4.659624e+000
4.997882335836183e-005	0.000000e+000	2.549958e+000	4.659073e+000	4.659498e+000
4.998350007266055e-005	0.000000e+000	2.548909e+000	4.658947e+000	4.659372e+000
4.998350207266055e-005	0.000000e+000	2.548909e+000	4.658947e+000	4.659372e+000
4.998350607266056e-005	0.000000e+000	2.548908e+000	4.658947e+000	4.659372e+000
4.998353007266063e-005	0.000000e+000	2.548903e+000	4.658946e+000	4.659371e+000
4.999799034219614e-005	0.000000e+000	2.545658e+000	4.658556e+000	4.658982e+000
4.999813619933940e-005	0.000000e+000	2.545625e+000	4.658552e+000	4.658978e+000
4.999828205648266e-005	0.000000e+000	2.545593e+000	4.658548e+000	4.658974e+000
4.999842791362593e-005	0.000000e+000	2.545560e+000	4.658544e+000	4.658970e+000
4.999857377076919e-005	0.000000e+000	2.545527e+000	4.658540e+000	4.658966e+000
