x-axis,1,2,3
second,Volt,Volt,Volt
-100.0330E-06,-25.0000954E-03,+3.4739062500E+00,+177.1875000E-03
-99.8330E-06,-25.0000954E-03,+3.4426562500E+00,+239.6875000E-03
-99.6330E-06,-25.0000954E-03,+3.4635937500E+00,+250.0000000E-03
-99.4330E-06,+27.1874046E-03,+3.4426562500E+00,+250.0000000E-03
-99.2330E-06,-14.6875954E-03,+3.4114062500E+00,+197.8125000E-03
-99.0330E-06,-25.0000954E-03,+3.4062500000E+00,+239.6875000E-03
-98.8330E-06,-25.0000954E-03,+3.4062500000E+00,+302.1875000E-03
-98.6330E-06,+1.0936546E-03,+3.4323437500E+00,+260.3125000E-03
-98.4330E-06,-19.8438454E-03,+3.4375000000E+00,+250.0000000E-03
-98.2330E-06,-25.0000954E-03,+3.4114062500E+00,+302.1875000E-03
-98.0330E-06,-25.0000954E-03,+3.3801562500E+00,+208.1250000E-03
-97.8330E-06,+1.0936546E-03,+3.4010937500E+00,+291.8750000E-03
-97.6330E-06,-19.8438454E-03,+3.4062500000E+00,+208.1250000E-03
-97.4330E-06,+1.0936546E-03,+3.3801562500E+00,+187.5000000E-03
-97.2330E-06,+32.3436546E-03,+3.3750000000E+00,+239.6875000E-03
-97.0330E-06,-14.6875954E-03,+3.3750000000E+00,+197.8125000E-03
-96.8330E-06,-25.0000954E-03,+3.4010937500E+00,+187.5000000E-03
-96.6330E-06,+1.0936546E-03,+3.3801562500E+00,+239.6875000E-03
-96.4330E-06,+6.2499046E-03,+3.3489062500E+00,+197.8125000E-03
-96.2330E-06,-19.8438454E-03,+3.3437500000E+00,+291.8750000E-03
-96.0330E-06,-25.0000954E-03,+3.3437500000E+00,+260.3125000E-03
-95.8330E-06,+1.0936546E-03,+3.3437500000E+00,+250.0000000E-03
-95.6330E-06,+6.2499046E-03,+3.3176562500E+00,+250.0000000E-03
-95.4330E-06,+32.3436546E-03,+3.3125000000E+00,+197.8125000E-03
-95.2330E-06,+11.4061546E-03,+3.3125000000E+00,+239.6875000E-03
-95.0330E-06,+6.2499046E-03,+3.2864062500E+00,+250.0000000E-03
-94.8330E-06,+6.2499046E-03,+3.2551562500E+00,+197.8125000E-03
-94.6330E-06,+6.2499046E-03,+3.2500000000E+00,+187.5000000E-03
-94.4330E-06,-19.8438454E-03,+3.2500000000E+00,+187.5000000E-03
-94.2330E-06,-25.0000954E-03,+3.2500000000E+00,+187.5000000E-03
-94.0330E-06,+4.0456249046E+00,+3.2239062500E+00,+291.8750000E-03
-93.8330E-06,+4.9543749046E+00,+3.2187500000E+00,+364.6875000E-03
-93.6330E-06,+4.9749999046E+00,+3.1926562500E+00,+270.6250000E-03
-93.4330E-06,+4.9749999046E+00,+3.1614062500E+00,+1.4503125000E+00
-93.2330E-06,+4.9749999046E+00,+3.1823437500E+00,+2.4703125000E+00
-93.0330E-06,+4.9749999046E+00,+3.1614062500E+00,+2.6250000000E+00
-92.8330E-06,+4.9749999046E+00,+3.1562500000E+00,+2.6250000000E+00
-92.6330E-06,+4.9749999046E+00,+3.1301562500E+00,+2.5728125000E+00
-92.4330E-06,+4.9749999046E+00,+3.1250000000E+00,+2.5625000000E+00
-92.2330E-06,+4.9749999046E+00,+3.0989062500E+00,+2.5625000000E+00
-92.0330E-06,+1.0609374046E+00,+3.0937500000E+00,+2.6146875000E+00
-91.8330E-06,+26.5624046E-03,+3.0676562500E+00,+1.2681250000E+00
-91.6330E-06,-25.0000954E-03,+3.0364062500E+00,+582.5000000E-03
-91.4330E-06,-25.0000954E-03,+3.0573437500E+00,+500.0000000E-03
-91.2330E-06,-25.0000954E-03,+3.0103125000E+00,+500.0000000E-03
-91.0330E-06,-25.0000954E-03,+2.9739062500E+00,+500.0000000E-03
-90.8330E-06,-25.0000954E-03,+2.9687500000E+00,+500.0000000E-03
-90.6330E-06,-25.0000954E-03,+2.9426562500E+00,+500.0000000E-03
-90.4330E-06,-25.0000954E-03,+2.9375000000E+00,+500.0000000E-03
-90.2330E-06,-25.0000954E-03,+2.9114062500E+00,+500.0000000E-03
-90.0330E-06,-25.0000954E-03,+2.8801562500E+00,+500.0000000E-03
-89.8330E-06,-25.0000954E-03,+2.8750000000E+00,+447.8125000E-03
-89.6330E-06,-25.0000954E-03,+2.8750000000E+00,+489.6875000E-03
-89.4330E-06,-25.0000954E-03,+2.8489062500E+00,+447.8125000E-03
-89.2330E-06,+1.0936546E-03,+2.8176562500E+00,+489.6875000E-03
-89.0330E-06,+6.2499046E-03,+2.7864062500E+00,+500.0000000E-03
-88.8330E-06,+6.2499046E-03,+2.7551562500E+00,+447.8125000E-03
-88.6330E-06,-19.8438454E-03,+2.7500000000E+00,+489.6875000E-03
-88.4330E-06,-25.0000954E-03,+2.7239062500E+00,+447.8125000E-03
-88.2330E-06,+27.1874046E-03,+2.7187500000E+00,+489.6875000E-03
-88.0330E-06,-14.6875954E-03,+2.6926562500E+00,+447.8125000E-03
-87.8330E-06,+1.0936546E-03,+2.6614062500E+00,+489.6875000E-03
-87.6330E-06,+6.2499046E-03,+2.6301562500E+00,+500.0000000E-03
-87.4330E-06,-19.8438454E-03,+2.6250000000E+00,+447.8125000E-03
-87.2330E-06,-25.0000954E-03,+2.5989062500E+00,+437.5000000E-03
-87.0330E-06,+27.1874046E-03,+2.5676562500E+00,+489.6875000E-03
-86.8330E-06,+11.4061546E-03,+2.5364062500E+00,+447.8125000E-03
-86.6330E-06,+6.2499046E-03,+2.5051562500E+00,+489.6875000E-03
-86.4330E-06,+6.2499046E-03,+2.5000000000E+00,+447.8125000E-03
-86.2330E-06,+6.2499046E-03,+2.4739062500E+00,+489.6875000E-03
-86.0330E-06,+6.2499046E-03,+2.4687500000E+00,+500.0000000E-03
-85.8330E-06,+6.2499046E-03,+2.4426562500E+00,+447.8125000E-03
-85.6330E-06,-19.8438454E-03,+2.3853125000E+00,+437.5000000E-03
-85.4330E-06,+1.0936546E-03,+2.3489062500E+00,+489.6875000E-03
-85.2330E-06,+32.3436546E-03,+2.3437500000E+00,+552.1875000E-03
-85.0330E-06,+11.4061546E-03,+2.2915625000E+00,+458.1250000E-03
-84.8330E-06,+6.2499046E-03,+2.2812500000E+00,+489.6875000E-03
-84.6330E-06,+6.2499046E-03,+2.2551562500E+00,+500.0000000E-03
-84.4330E-06,+6.2499046E-03,+2.2500000000E+00,+500.0000000E-03
-84.2330E-06,+6.2499046E-03,+2.2239062500E+00,+500.0000000E-03
-84.0330E-06,+4.0768749046E+00,+2.1665625000E+00,+552.1875000E-03
-83.8330E-06,+4.9595311546E+00,+2.1301562500E+00,+666.8750000E-03
-83.6330E-06,+5.0010936546E+00,+2.1250000000E+00,+426.5625000E-03
-83.4330E-06,+4.9801561546E+00,+2.0989062500E+00,+1.4709375000E+00
-83.2330E-06,+4.9749999046E+00,+2.0676562500E+00,+1.8440625000E+00
-83.0330E-06,+5.0010936546E+00,+2.0364062500E+00,+1.8750000000E+00
-82.8330E-06,+4.9801561546E+00,+2.0051562500E+00,+1.8750000000E+00
-82.6330E-06,+4.9489061546E+00,+2.0000000000E+00,+1.8228125000E+00
-82.4330E-06,+4.9437499046E+00,+1.9217187500E+00,+1.8125000000E+00
-82.2330E-06,+4.9698436546E+00,+1.9062500000E+00,+1.8646875000E+00
-82.0330E-06,+1.0609374046E+00,+1.8801562500E+00,+1.8228125000E+00
-81.8330E-06,+26.5624046E-03,+1.8489062500E+00,+925.3125000E-03
-81.6330E-06,-25.0000954E-03,+1.8176562500E+00,+697.8125000E-03
