x-axis,1,2,3
-100.0330E-06,+6.2499046E-03,+3.4271875000E+00,+3.3323437504E+00
-99.8330E-06,+6.2499046E-03,+3.4896875000E+00,+3.3635937504E+00
-99.6330E-06,+6.2499046E-03,+3.4478125000E+00,+3.3426562504E+00
-99.4330E-06,+6.2499046E-03,+3.4375000000E+00,+3.3635937504E+00
-99.2330E-06,+6.2499046E-03,+3.4375000000E+00,+3.3687500004E+00
-99.0330E-06,-19.8438454E-03,+3.4375000000E+00,+3.3426562504E+00
-98.8330E-06,+1.0936546E-03,+3.4114062500E+00,+3.3635937504E+00
-98.6330E-06,-19.8438454E-03,+3.4062500000E+00,+3.3426562504E+00
-98.4330E-06,+1.0936546E-03,+3.4062500000E+00,+3.3375000004E+00
-98.2330E-06,+6.2499046E-03,+3.4062500000E+00,+3.3635937504E+00
-98.0330E-06,+4.1551561546E+00,+3.4062500000E+00,+3.8123437504E+00
-97.8330E-06,+4.9749999046E+00,+3.4062500000E+00,+3.7173437504E+00
-97.6330E-06,+4.9749999046E+00,+3.4062500000E+00,+3.5768750004E+00
-97.4330E-06,+5.0010936546E+00,+3.4062500000E+00,+3.5301562504E+00
-97.2330E-06,+4.9801561546E+00,+3.3801562500E+00,+3.4467187504E+00
-97.0330E-06,+4.9749999046E+00,+3.4010937500E+00,+3.4312500004E+00
-96.8330E-06,+4.9489061546E+00,+3.4062500000E+00,+3.4312500004E+00
-96.6330E-06,+4.9698436546E+00,+3.3540625000E+00,+3.4051562504E+00
-96.4330E-06,+5.0010936546E+00,+3.3437500000E+00,+3.3739062504E+00
-96.2330E-06,+4.9540624046E+00,+3.3437500000E+00,+3.3687500004E+00
-96.0330E-06,+794.8436546E-03,+3.3437500000E+00,+3.3426562504E+00
-95.8330E-06,-51.0938454E-03,+3.3437500000E+00,+3.3635937504E+00
-95.6330E-06,-56.2500954E-03,+3.2915625000E+00,+3.3687500004E+00
-95.4330E-06,-30.1563454E-03,+3.3073437500E+00,+3.3687500004E+00
-95.2330E-06,+1.0936546E-03,+3.3125000000E+00,+3.3948437504E+00
-95.0330E-06,-19.8438454E-03,+3.2603125000E+00,+3.3478125004E+00
-94.8330E-06,-25.0000954E-03,+3.2760937500E+00,+3.3375000004E+00
-94.6330E-06,+1.0936546E-03,+3.2551562500E+00,+3.3896875004E+00
-94.4330E-06,-19.8438454E-03,+3.2760937500E+00,+3.3478125004E+00
