x-axis,1,2,3
second,Volt,Volt,Volt
-2.500000E-06,-37.500023842E-03,+2.625000000000E+00,+44.999999460E-03
-2.495000E-06,-37.500023842E-03,+2.687500000000E+00,+57.499999646E-03
-2.490000E-06,-6.250023842E-03,+2.750000000000E+00,+51.249999553E-03
-2.485000E-06,-37.500023842E-03,+2.875000000000E+00,+60.624999693E-03
-2.480000E-06,-37.500023842E-03,+2.906250000000E+00,+54.374999600E-03
-2.475000E-06,-6.250023842E-03,+3.000000000000E+00,+63.749999739E-03
-2.470000E-06,-6.250023842E-03,+3.031250000000E+00,+54.374999600E-03
-2.465000E-06,+24.999976158E-03,+3.125000000000E+00,+69.999999832E-03
-2.460000E-06,+306.249976158E-03,+3.125000000000E+00,+51.249999553E-03
-2.455000E-06,+1.118749976158E+00,+3.187500000000E+00,+82.500000019E-03
-2.450000E-06,+1.993749976158E+00,+3.218750000000E+00,+51.249999553E-03
-2.445000E-06,+2.618749976158E+00,+3.281250000000E+00,+76.249999925E-03
-2.440000E-06,+3.118749976158E+00,+3.281250000000E+00,+63.749999739E-03
-2.435000E-06,+3.524999976158E+00,+3.375000000000E+00,+91.875000158E-03
-2.430000E-06,+3.868749976158E+00,+3.375000000000E+00,+57.499999646E-03
-2.425000E-06,+4.087499976158E+00,+3.406250000000E+00,+98.125000251E-03
-2.420000E-06,+4.274999976158E+00,+3.406250000000E+00,+60.624999693E-03
-2.415000E-06,+4.431249976158E+00,+3.406250000000E+00,+91.875000158E-03
-2.410000E-06,+4.587499976158E+00,+3.406250000000E+00,+66.874999786E-03
-2.405000E-06,+4.649999976158E+00,+3.406250000000E+00,+104.375000345E-03
-2.400000E-06,+4.712499976158E+00,+3.406250000000E+00,+91.875000158E-03
-2.395000E-06,+4.806249976158E+00,+3.406250000000E+00,+123.125000624E-03
-2.390000E-06,+4.806249976158E+00,+3.406250000000E+00,+126.250000671E-03
-2.385000E-06,+4.868749976158E+00,+3.406250000000E+00,+141.875000903E-03
-2.380000E-06,+4.868749976158E+00,+3.375000000000E+00,+145.000000950E-03
-2.375000E-06,+4.899999976158E+00,+3.343750000000E+00,+154.375001090E-03
-2.370000E-06,+4.899999976158E+00,+3.312500000000E+00,+154.375001090E-03
-2.365000E-06,+4.962499976158E+00,+3.250000000000E+00,+154.375001090E-03
-2.360000E-06,+4.931249976158E+00,+3.218750000000E+00,+157.500001136E-03
-2.355000E-06,+4.806249976158E+00,+3.187500000000E+00,+157.500001136E-03
-2.350000E-06,+4.212499976158E+00,+3.156250000000E+00,+160.625001183E-03
-2.345000E-06,+3.337499976158E+00,+3.125000000000E+00,+163.750001229E-03
-2.340000E-06,+2.556249976158E+00,+3.000000000000E+00,+182.500001509E-03
-2.335000E-06,+2.056249976158E+00,+3.000000000000E+00,+182.500001509E-03
-2.330000E-06,+1.618749976158E+00,+2.906250000000E+00,+179.375001462E-03
-2.325000E-06,+1.274999976158E+00,+2.781250000000E+00,+201.250001788E-03
-2.320000E-06,+931.249976158E-03,+2.718750000000E+00,+204.375001835E-03
-2.315000E-06,+774.999976158E-03,+2.625000000000E+00,+207.500001881E-03
-2.310000E-06,+556.249976158E-03,+2.562500000000E+00,+216.875002021E-03
-2.305000E-06,+462.499976158E-03,+2.468750000000E+00,+216.875002021E-03
-2.300000E-06,+306.249976158E-03,+2.375000000000E+00,+207.500001881E-03
-2.295000E-06,+274.999976158E-03,+2.281250000000E+00,+207.500001881E-03
-2.290000E-06,+149.999976158E-03,+2.156250000000E+00,+201.250001788E-03
